Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,TDs,YPG
1,Baylor (Big 12),13,11-2,"1,074","8,044",7.49,82,91,618.8
2,Oregon (Pac-12),13,11-2,973,"7,345",7.55,74,81,565
3,Fresno St. (Mountain West),13,11-2,"1,088","7,122",6.55,71,76,547.8
4,Texas A&M (SEC),13,9-4,954,"6,999",7.34,73,78,538.4
5,NIU (MAC),14,12-2,"1,073","7,277",6.78,68,71,519.8
6,Florida St. (ACC),14,14-0,947,"7,267",7.67,84,94,519.1
7,Ohio St. (Big Ten),14,12-2,"1,003","7,167",7.15,83,87,511.9
8,Texas Tech (Big 12),13,8-5,"1,136","6,643",5.85,54,57,511
9,Indiana (Big Ten),12,5-7,928,"6,102",6.58,61,62,508.5
10,Clemson (ACC),13,11-2,"1,037","6,600",6.36,65,69,507.7
11,Auburn (SEC),14,12-2,"1,014","7,018",6.92,68,73,501.3
12,Marshall (C-USA),14,10-4,"1,093","7,005",6.41,76,80,500.4
13,Washington (Pac-12),13,9-4,"1,023","6,491",6.35,60,64,499.3
14,BYU (FBS Independent),13,8-5,"1,111","6,417",5.78,43,47,493.6
15,San Jose St. (Mountain West),12,6-6,928,"5,919",6.38,46,46,493.3
16,Missouri (SEC),14,12-2,"1,042","6,870",6.59,66,71,490.7
17,Georgia (SEC),13,8-5,945,"6,294",6.66,57,58,484.2
18,Wisconsin (Big Ten),13,9-4,912,"6,251",6.85,57,59,480.8
19,Ball St. (MAC),13,10-3,960,"6,202",6.46,63,64,477.1
20,Boise St. (Mountain West),13,8-5,"1,029","6,188",6.01,61,63,476
21,Ole Miss (SEC),13,8-5,"1,018","6,153",6.04,46,49,473.3
22,Wyoming (Mountain West),12,5-7,922,"5,674",6.15,50,52,472.8
23,Cincinnati (AAC),13,9-4,985,"6,137",6.23,56,57,472.1
24,Colorado St. (Mountain West),14,8-6,"1,051","6,591",6.27,61,63,470.8
25,East Carolina (C-USA),13,10-3,"1,028","6,086",5.92,65,68,468.2
26,Oregon St. (Pac-12),13,7-6,980,"6,071",6.19,53,59,467
27,Troy (Sun Belt),12,6-6,920,"5,559",6.04,51,54,463.3
28,Louisville (AAC),13,12-1,894,"5,991",6.70,51,57,460.8
29,Bowling Green (MAC),14,10-4,983,"6,432",6.54,57,62,459.4
30,Western Ky. (Sun Belt),12,8-4,875,"5,502",6.29,46,47,458.5
31,Arizona (Pac-12),13,8-5,"1,030","5,960",5.79,52,57,458.5
32,Arizona St. (Pac-12),14,10-4,"1,102","6,402",5.81,64,69,457.3
33,Alabama (SEC),13,11-2,826,"5,903",7.15,58,65,454.1
34,California (Pac-12),12,1-11,"1,045","5,443",5.21,32,32,453.6
35,LSU (SEC),13,10-3,849,"5,893",6.94,60,61,453.3
36,South Carolina (SEC),13,11-2,920,"5,880",6.39,57,57,452.3
37,Oklahoma St. (Big 12),13,10-3,987,"5,834",5.91,61,68,448.8
38,UCLA (Pac-12),13,10-3,956,"5,830",6.10,61,63,448.5
39,Toledo (MAC),12,7-5,843,"5,368",6.37,45,49,447.3
40,UCF (AAC),13,12-1,875,"5,740",6.56,54,55,441.5
41,SMU (AAC),12,5-7,945,"5,222",5.53,36,38,435.2
42,Mississippi St. (SEC),13,7-6,956,"5,647",5.91,47,48,434.4
43,Penn St. (Big Ten),12,7-5,910,"5,198",5.71,43,43,433.2
44,Georgia Tech (ACC),13,7-6,916,"5,586",6.10,58,61,429.7
45,Nevada (Mountain West),12,4-8,974,"5,151",5.29,40,41,429.3
46,Illinois (Big Ten),12,4-8,866,"5,120",5.91,43,45,426.7
