Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,TDs,YPG
47,Duke (ACC),14,10-4,"1,016","5,966",5.87,54,60,426.1
48,Miami (FL) (ACC),13,9-4,820,"5,536",6.75,50,57,425.8
49,North Carolina (ACC),13,7-6,943,"5,534",5.87,47,55,425.7
50,South Alabama (Sun Belt),12,6-6,882,"5,106",5.79,41,43,425.5
51,San Diego St. (Mountain West),13,8-5,972,"5,524",5.68,49,52,424.9
52,Oklahoma (Big 12),13,11-2,942,"5,499",5.84,43,50,423
53,New Mexico (Mountain West),12,3-9,781,"5,062",6.48,49,53,421.8
54,Washington St. (Pac-12),13,6-7,999,"5,478",5.48,46,51,421.4
55,Houston (AAC),13,8-5,953,"5,454",5.72,49,54,419.5
56,Louisiana (Sun Belt),13,9-4,883,"5,418",6.14,54,59,416.8
57,Hawaii (Mountain West),12,1-11,947,"4,992",5.27,43,44,416
58,Nebraska (Big Ten),13,9-4,962,"5,361",5.57,49,54,412.4
59,Utah St. (Mountain West),14,9-5,"1,073","5,761",5.37,51,56,411.5
60,UNLV (Mountain West),13,7-6,990,"5,348",5.40,52,52,411.4
61,Navy (FBS Independent),13,9-4,921,"5,347",5.81,58,58,411.3
62,West Virginia (Big 12),12,4-8,892,"4,932",5.53,34,38,411
63,North Texas (C-USA),13,9-4,951,"5,336",5.61,47,55,410.5
64,Texas (Big 12),13,8-5,"1,005","5,313",5.29,43,46,408.7
65,Arkansas St. (Sun Belt),13,8-5,947,"5,301",5.60,45,48,407.8
66,Middle Tenn. (C-USA),13,8-5,929,"5,298",5.70,42,49,407.5
67,Notre Dame (FBS Independent),13,9-4,869,"5,280",6.08,39,42,406.2
68,Rice (C-USA),14,10-4,"1,046","5,678",5.43,51,54,405.6
69,Stanford (Pac-12),14,11-3,895,"5,675",6.34,51,56,405.4
70,NC State (ACC),12,3-9,945,"4,842",5.12,28,31,403.5
71,Kansas St. (Big 12),13,8-5,828,"5,235",6.32,51,56,402.7
72,Southern California (Pac-12),14,10-4,924,"5,599",6.06,49,53,399.9
73,Northwestern (Big Ten),12,5-7,889,"4,795",5.39,31,35,399.6
74,Temple (AAC),12,2-10,840,"4,788",5.70,40,42,399
75,Maryland (ACC),13,7-6,891,"5,160",5.79,36,39,396.9
76,Utah (Pac-12),12,5-7,864,"4,759",5.51,41,43,396.6
77,Buffalo (MAC),13,8-5,965,"5,131",5.32,46,51,394.7
78,UAB (C-USA),12,2-10,808,"4,715",5.84,36,38,392.9
79,Army West Point (FBS Independent),12,3-9,847,"4,648",5.49,38,38,387.3
80,Michigan St. (Big Ten),14,13-1,999,"5,397",5.40,46,51,385.5
81,New Mexico St. (FBS Independent),12,2-10,851,"4,622",5.43,32,32,385.2
82,Fla. Atlantic (C-USA),12,6-6,852,"4,575",5.37,37,41,381.3
83,Ohio (MAC),13,7-6,887,"4,932",5.56,38,43,379.4
84,Iowa (Big Ten),13,8-5,932,"4,901",5.26,37,42,377
85,Syracuse (ACC),13,7-6,958,"4,899",5.11,38,38,376.8
86,Michigan (Big Ten),13,7-6,893,"4,855",5.44,48,52,373.5
87,Colorado (Pac-12),12,4-8,832,"4,439",5.34,31,36,369.9
88,Kent St. (MAC),12,4-8,797,"4,427",5.55,30,31,368.9
89,Virginia (ACC),12,2-10,995,"4,421",4.44,27,27,368.4
90,Idaho (FBS Independent),12,1-11,925,"4,420",4.78,27,27,368.3
91,Air Force (Mountain West),12,2-10,811,"4,411",5.44,38,38,367.6
92,Boston College (ACC),13,7-6,791,"4,774",6.04,41,43,367.2
93,Vanderbilt (SEC),13,9-4,880,"4,765",5.41,49,49,366.5
94,Louisiana Tech (C-USA),12,4-8,858,"4,394",5.12,24,25,366.2
95,Rutgers (AAC),13,6-7,897,"4,747",5.29,39,44,365.2
96,Iowa St. (Big 12),12,3-9,903,"4,356",4.82,35,37,363
97,Pittsburgh (ACC),13,7-6,853,"4,708",5.52,41,43,362.2
98,ULM (Sun Belt),12,6-6,860,"4,324",5.03,32,36,360.3
99,Arkansas (SEC),12,3-9,775,"4,286",5.53,29,30,357.2
100,Tulsa (C-USA),12,3-9,912,"4,274",4.69,27,29,356.2
101,Virginia Tech (ACC),13,8-5,925,"4,628",5.00,33,35,356
102,Tennessee (SEC),12,5-7,804,"4,240",5.27,30,35,353.3
103,UTEP (C-USA),12,2-10,826,"4,175",5.05,31,34,347.9
104,TCU (Big 12),12,4-8,822,"4,138",5.03,34,37,344.8
105,Minnesota (Big Ten),13,8-5,853,"4,463",5.23,35,42,343.3
106,Akron (MAC),12,5-7,837,"4,104",4.90,30,31,342
107,Kentucky (SEC),12,2-10,774,"4,094",5.29,30,30,341.2
108,Central Mich. (MAC),12,6-6,756,"4,093",5.41,31,35,341.1
109,Eastern Mich. (MAC),12,2-10,781,"4,033",5.16,27,30,336.1
110,Western Mich. (MAC),12,1-11,827,"3,926",4.75,22,23,327.2
111,Texas St. (Sun Belt),12,6-6,771,"3,915",5.08,33,37,326.3
112,UConn (AAC),12,3-9,827,"3,823",4.62,28,31,318.6
113,Florida (SEC),12,4-8,793,"3,800",4.79,25,27,316.7
114,Southern Miss. (C-USA),12,1-11,820,"3,786",4.62,24,24,315.5
115,Tulane (C-USA),13,7-6,870,"4,053",4.66,34,39,311.8
116,Memphis (AAC),12,3-9,799,"3,738",4.68,23,27,311.5
117,Kansas (Big 12),12,3-9,825,"3,534",4.28,21,22,294.5
118,Wake Forest (ACC),12,4-8,802,"3,488",4.35,25,28,290.7
119,Purdue (Big Ten),12,1-11,745,"3,395",4.56,21,23,282.9
120,Massachusetts (MAC),12,1-11,787,"3,379",4.29,14,15,281.6
121,South Fla. (AAC),12,2-10,716,"3,066",4.28,11,16,255.5
122,Miami (OH) (MAC),12,0-12,737,"2,710",3.68,13,14,225.8
123,FIU (C-USA),12,1-11,738,"2,628",3.56,13,13,219
