Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,TDs,YPG
1,Baylor (Big 12),13,10-3,"1,103","8,011",7.26,85,49,616.2
2,Texas Tech (Big 12),13,7-6,"1,084","7,533",6.95,73,77,579.5
3,TCU (Big 12),13,11-2,"1,078","7,317",6.79,65,45,562.8
4,Bowling Green (MAC),14,10-4,"1,136","7,655",6.74,81,50,546.8
5,Oregon (Pac-12),13,9-4,993,"6,997",7.05,67,62,538.2
6,Cincinnati (AAC),13,7-6,"1,059","6,992",6.60,54,51,537.8
7,Oklahoma (Big 12),13,11-2,"1,013","6,893",6.80,70,34,530.2
8,California (Pac-12),13,8-5,989,"6,879",6.96,60,48,529.2
9,Western Ky. (C-USA),14,12-2,"1,019","7,369",7.23,80,48,526.4
10,Ole Miss (SEC),13,10-3,952,"6,731",7.07,64,33,517.8
11,Clemson (ACC),15,14-1,"1,207","7,718",6.39,69,41,514.5
12,Southern Miss. (C-USA),14,9-5,"1,033","7,133",6.91,71,42,509.5
13,Tulsa (AAC),13,6-7,"1,083","6,596",6.09,58,66,507.4
14,Indiana (Big Ten),13,6-7,"1,053","6,556",6.23,54,65,504.3
15,Boise St. (Mountain West),13,9-4,"1,079","6,520",6.04,60,33,501.5
16,Arizona (Pac-12),13,7-6,993,"6,434",6.48,58,60,494.9
17,Western Mich. (MAC),13,8-5,930,"6,380",6.86,58,49,490.8
18,North Carolina (ACC),14,11-3,936,"6,817",7.28,71,44,486.9
19,Memphis (AAC),13,9-4,"1,028","6,330",6.16,59,46,486.9
20,Houston (AAC),14,13-1,"1,101","6,778",6.16,68,36,484.1
21,Louisiana Tech (C-USA),13,9-4,910,"6,276",6.90,55,42,482.8
22,Oklahoma St. (Big 12),13,10-3,977,"6,240",6.39,60,51,480
23,West Virginia (Big 12),13,8-5,"1,051","6,236",5.93,51,36,479.7
24,Arizona St. (Pac-12),13,6-7,"1,070","6,207",5.80,49,55,477.5
25,Washington St. (Pac-12),13,9-4,"1,032","6,105",5.92,49,45,469.6
26,App State (Sun Belt),13,11-2,902,"6,075",6.74,58,29,467.3
27,Notre Dame (FBS Independent),13,10-3,864,"6,063",7.02,54,40,466.4
28,UCLA (Pac-12),13,8-5,969,"6,057",6.25,49,39,465.9
29,Arkansas (SEC),13,8-5,886,"6,051",6.83,62,44,465.5
30,Toledo (MAC),12,10-2,903,"5,531",6.13,50,28,460.9
31,Mississippi St. (SEC),13,9-4,927,"5,986",6.46,54,34,460.5
32,Middle Tenn. (C-USA),13,7-6,"1,004","5,946",5.92,54,44,457.4
33,Air Force (Mountain West),14,8-6,986,"6,315",6.40,60,45,451.1
34,Nebraska (Big Ten),13,6-7,954,"5,810",6.09,51,45,446.9
35,South Fla. (AAC),13,8-5,893,"5,741",6.43,54,35,441.6
36,Duke (ACC),13,8-5,"1,033","5,712",5.53,43,42,439.4
37,Arkansas St. (Sun Belt),13,9-4,973,"5,700",5.86,58,52,438.5
38,Southern California (Pac-12),14,8-6,990,"6,131",6.19,56,44,437.9
39,LSU (SEC),12,9-3,783,"5,247",6.70,49,38,437.3
40,Stanford (Pac-12),14,12-2,928,"6,097",6.57,63,36,435.5
41,Ohio St. (Big Ten),13,12-1,892,"5,643",6.33,58,24,434.1
42,New Mexico St. (Sun Belt),12,3-9,896,"5,200",5.80,42,71,433.3
43,Georgia St. (Sun Belt),13,6-7,903,"5,627",6.23,43,44,432.8
44,Idaho (Sun Belt),12,4-8,930,"5,141",5.53,40,66,428.4
45,Alabama (SEC),15,14-1,"1,088","6,406",5.89,55,26,427.1
46,Ga. Southern (Sun Belt),13,9-4,865,"5,543",6.41,58,39,426.4
47,Colorado St. (Mountain West),13,7-6,926,"5,536",5.98,44,42,425.8
