Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,TDs,YPG
48,Navy (AAC),13,11-2,870,"5,527",6.35,62,36,425.2
49,BYU (FBS Independent),13,9-4,917,"5,522",6.02,54,38,424.8
50,Texas A&M (SEC),13,8-5,987,"5,521",5.59,38,33,424.7
51,Florida St. (ACC),13,10-3,844,"5,512",6.53,49,26,424
52,Tennessee (SEC),13,9-4,988,"5,490",5.56,49,33,422.3
53,Texas St. (Sun Belt),12,3-9,901,"5,000",5.55,39,62,416.7
54,Louisville (ACC),13,8-5,900,"5,409",6.01,44,39,416.1
55,East Carolina (AAC),12,5-7,877,"4,975",5.67,40,39,414.6
56,Ohio (MAC),13,8-5,950,"5,370",5.65,40,41,413.1
57,NC State (ACC),13,7-6,953,"5,367",5.63,56,43,412.8
58,Iowa St. (Big 12),12,3-9,909,"4,900",5.39,36,51,408.3
59,UNLV (Mountain West),12,3-9,865,"4,861",5.62,41,53,405.1
60,San Jose St. (Mountain West),13,6-7,922,"5,260",5.70,45,46,404.6
61,Washington (Pac-12),13,7-6,873,"5,240",6.00,44,28,403.1
62,Rice (C-USA),12,5-7,906,"4,822",5.32,41,59,401.8
63,Central Mich. (MAC),13,7-6,915,"5,222",5.71,41,37,401.7
64,Marshall (C-USA),13,10-3,967,"5,205",5.38,44,28,400.4
65,Massachusetts (MAC),12,3-9,887,"4,797",5.41,33,45,399.8
66,NIU (MAC),14,8-6,"1,047","5,579",5.33,53,45,398.5
67,Colorado (Pac-12),13,4-9,"1,008","5,159",5.12,36,44,396.8
68,Miami (FL) (ACC),13,8-5,873,"5,154",5.90,38,43,396.5
69,Michigan (Big Ten),13,10-3,906,"5,147",5.68,48,24,395.9
70,New Mexico (Mountain West),13,7-6,868,"5,046",5.81,48,45,388.2
71,Buffalo (MAC),12,5-7,880,"4,637",5.27,33,43,386.4
72,Iowa (Big Ten),14,12-2,937,"5,406",5.77,52,32,386.1
73,Michigan St. (Big Ten),14,12-2,992,"5,397",5.44,50,39,385.5
74,Virginia Tech (ACC),13,7-6,939,"5,006",5.33,43,42,385.1
75,Virginia (ACC),12,4-8,837,"4,596",5.49,34,45,383
76,SMU (AAC),12,2-10,869,"4,594",5.29,42,75,382.8
77,Louisiana (Sun Belt),12,4-8,837,"4,565",5.45,38,49,380.4
78,Eastern Mich. (MAC),12,1-11,830,"4,560",5.49,38,68,380
79,Wisconsin (Big Ten),13,10-3,931,"4,922",5.29,41,22,378.6
80,Georgia Tech (ACC),12,3-9,775,"4,536",5.85,44,38,378
81,Fla. Atlantic (C-USA),12,3-9,891,"4,534",5.09,27,44,377.8
82,Pittsburgh (ACC),13,8-5,852,"4,907",5.76,40,38,377.5
83,Georgia (SEC),13,10-3,813,"4,904",6.03,36,26,377.2
84,Rutgers (Big Ten),12,4-8,806,"4,524",5.61,36,55,377
85,San Diego St. (Mountain West),14,11-3,927,"5,254",5.67,49,29,375.3
86,Nevada (Mountain West),13,7-6,887,"4,877",5.50,39,42,375.2
87,Maryland (Big Ten),12,3-9,829,"4,500",5.43,35,53,375
88,Illinois (Big Ten),12,5-7,907,"4,472",4.93,29,34,372.7
89,Kentucky (SEC),12,5-7,816,"4,464",5.47,32,41,372
90,Ball St. (MAC),12,3-9,896,"4,459",4.98,32,56,371.6
91,Old Dominion (C-USA),12,5-7,834,"4,455",5.34,36,54,371.3
92,Texas (Big 12),12,5-7,781,"4,449",5.70,36,46,370.8
93,Utah St. (Mountain West),13,6-7,884,"4,818",5.45,43,45,370.6
94,Auburn (SEC),13,7-6,893,"4,810",5.39,39,39,370
95,Purdue (Big Ten),12,2-10,921,"4,423",4.80,40,57,368.6
96,Temple (AAC),14,10-4,956,"5,134",5.37,45,31,366.7
97,Utah (Pac-12),13,10-3,923,"4,719",5.11,39,35,363
98,UTSA (C-USA),12,3-9,870,"4,347",5.00,33,50,362.3
99,South Carolina (SEC),12,3-9,774,"4,346",5.61,28,42,362.2
100,Wyoming (Mountain West),12,2-10,786,"4,328",5.51,32,53,360.7
101,South Alabama (Sun Belt),12,5-7,833,"4,322",5.19,33,58,360.2
102,Troy (Sun Belt),12,4-8,799,"4,319",5.41,35,43,359.9
103,Minnesota (Big Ten),13,6-7,873,"4,666",5.34,32,40,358.9
104,Akron (),13,8-5,905,"4,642",5.13,38,37,357.1
105,Penn St. (Big Ten),13,7-6,829,"4,532",5.47,35,37,348.6
106,FIU (C-USA),12,5-7,825,"4,173",5.06,37,47,347.8
107,UTEP (C-USA),12,5-7,834,"4,107",4.92,26,51,342.3
108,Army West Point (FBS Independent),12,2-10,724,"4,059",5.61,34,40,338.3
109,Miami (OH) (MAC),12,3-9,802,"4,058",5.06,25,48,338.2
110,Oregon St. (Pac-12),12,2-10,789,"4,037",5.12,25,57,336.4
111,Florida (SEC),14,10-4,915,"4,676",5.11,39,30,334
112,Kansas St. (Big 12),13,6-7,876,"4,338",4.95,43,52,333.7
113,Wake Forest (ACC),12,3-9,834,"4,001",4.80,25,37,333.4
114,Kansas (Big 12),12,0-12,897,"3,978",4.43,22,72,331.5
115,Northwestern (Big Ten),13,10-3,952,"4,252",4.47,24,30,327.1
116,Vanderbilt (SEC),12,4-8,871,"3,918",4.50,20,26,326.5
117,North Texas (C-USA),12,1-11,843,"3,841",4.56,19,66,320.1
118,Syracuse (ACC),12,4-8,751,"3,839",5.11,34,46,319.9
119,Tulane (AAC),12,3-9,800,"3,804",4.76,29,57,317
120,Hawaii (Mountain West),13,3-10,847,"4,112",4.85,27,59,316.3
121,Fresno St. (Mountain West),12,3-9,826,"3,782",4.58,34,63,315.2
122,ULM (Sun Belt),13,2-11,902,"4,041",4.48,32,61,310.8
123,UConn (AAC),13,6-7,819,"4,034",4.93,24,29,310.3
124,Missouri (SEC),12,5-7,770,"3,371",4.38,15,22,280.9
125,Boston College (ACC),12,3-9,751,"3,307",4.40,25,19,275.6
126,Kent St. (MAC),12,3-9,790,"3,250",4.11,15,40,270.8
127,UCF (AAC),12,0-12,781,"3,221",4.12,17,57,268.4
