Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
67,Charlotte (CUSA),12,3-9,800,"4,645",5.81,40,387.1
68,Boise St. (Mountain West),14,10-4,936,"5,419",5.79,47,387.1
69,UTEP (CUSA),12,5-7,844,"4,618",5.47,29,384.8
70,Ball St. (MAC),12,5-7,898,"4,610",5.13,32,384.2
71,South Carolina (SEC),13,8-5,832,"4,925",5.92,50,378.8
72,Auburn (SEC),12,5-7,796,"4,542",5.71,34,378.5
73,Illinois (Big Ten),13,8-5,938,"4,914",5.24,33,378
74,Buffalo (MAC),13,7-6,"1,002","4,904",4.89,40,377.2
75,Rice (CUSA),13,5-8,862,"4,867",5.65,40,374.4
75,Syracuse (ACC),13,7-6,814,"4,867",5.98,40,374.4
77,Middle Tenn. (CUSA),13,8-5,965,"4,853",5.03,41,373.3
78,NIU (MAC),12,3-9,806,"4,477",5.55,37,373.1
79,Akron (MAC),12,2-10,875,"4,472",5.11,31,372.7
80,Cincinnati (AAC),13,9-4,841,"4,840",5.76,41,372.3
81,Missouri (SEC),13,6-7,886,"4,807",5.43,34,369.8
82,Iowa St. (Big 12),12,4-8,872,"4,437",5.09,29,369.8
83,Central Mich. (MAC),12,4-8,830,"4,422",5.33,38,368.5
84,San Jose St. (Mountain West),12,7-5,774,"4,419",5.71,42,368.2
85,Miami (FL) (ACC),12,5-7,826,"4,403",5.33,30,366.9
86,California (Pac-12),12,4-8,785,"4,399",5.60,33,366.6
87,Army West Point (FBS Independent),12,6-6,752,"4,393",5.84,43,366.1
88,Eastern Mich. (MAC),13,9-4,895,"4,741",5.30,48,364.7
89,Louisiana (Sun Belt),13,6-7,898,"4,736",5.27,37,364.3
90,Wisconsin (Big Ten),13,7-6,827,"4,727",5.72,42,363.6
91,Stanford (Pac-12),12,3-9,824,"4,339",5.27,29,361.6
92,Texas A&M (SEC),12,5-7,757,"4,331",5.72,30,360.9
93,Washington St. (Pac-12),13,7-6,867,"4,689",5.41,41,360.7
94,Troy (Sun Belt),14,12-2,897,"5,038",5.62,41,359.9
95,Utah St. (Mountain West),13,6-7,948,"4,606",4.86,32,354.3
96,Michigan St. (Big Ten),12,5-7,773,"4,236",5.48,39,353
97,UNLV (Mountain West),12,5-7,763,"4,225",5.54,33,352.1
98,Temple (AAC),12,3-9,802,"4,206",5.24,29,350.5
99,Southern Miss. (Sun Belt),13,7-6,825,"4,541",5.50,35,349.3
100,Vanderbilt (SEC),12,5-7,791,"4,167",5.27,35,347.2
101,Nebraska (Big Ten),12,4-8,760,"4,130",5.43,34,344.2
102,Virginia (ACC),10,3-7,670,"3,441",5.14,20,344.1
103,Hawaii (Mountain West),13,3-10,896,"4,456",4.97,29,342.8
104,NC State (ACC),13,8-5,913,"4,418",4.84,31,339.8
105,Old Dominion (Sun Belt),12,3-9,732,"4,073",5.56,27,339.4
106,Northwestern (Big Ten),12,1-11,886,"4,025",4.54,21,335.4
107,Bowling Green (MAC),13,6-7,853,"4,353",5.10,33,334.8
108,New Mexico St. (FBS Independent),13,7-6,758,"4,298",5.67,43,330.6
109,Indiana (Big Ten),12,4-8,879,"3,939",4.48,31,328.2
110,Navy (AAC),12,4-8,834,"3,922",4.70,31,326.8
111,ULM (Sun Belt),12,4-8,750,"3,912",5.22,32,326
112,Texas St. (Sun Belt),12,4-8,827,"3,902",4.72,28,325.2
113,San Diego St. (Mountain West),13,7-6,814,"4,224",5.19,26,324.9
114,Georgia Tech (ACC),12,5-7,807,"3,898",4.83,23,324.8
115,Kentucky (SEC),13,7-6,813,"4,221",5.19,30,324.7
116,FIU (CUSA),12,4-8,824,"3,885",4.71,27,323.8
117,Arkansas St. (Sun Belt),12,3-9,777,"3,777",4.86,32,314.8
118,Wyoming (Mountain West),13,7-6,783,"4,077",5.21,27,313.6
119,Virginia Tech (ACC),11,3-8,734,"3,448",4.70,24,313.5
120,Boston College (ACC),12,3-9,802,"3,718",4.64,27,309.8
121,Miami (OH) (MAC),13,6-7,820,"3,973",4.85,29,305.6
122,Nevada (Mountain West),12,2-10,825,"3,656",4.43,26,304.7
123,UConn (FBS Independent),13,6-7,801,"3,938",4.92,30,302.9
124,Western Mich. (MAC),12,5-7,800,"3,623",4.53,24,301.9
125,Colorado St. (Mountain West),12,3-9,707,"3,429",4.85,16,285.8
126,Rutgers (Big Ten),12,4-8,763,"3,385",4.44,22,282.1
127,Colorado (Pac-12),12,1-11,747,"3,375",4.52,21,281.2
128,Massachusetts (FBS Independent),12,1-11,797,"3,189",4.00,14,265.8
129,Iowa (Big Ten),13,8-5,771,"3,270",4.24,19,251.5
130,New Mexico (Mountain West),12,2-10,694,"2,737",3.94,15,228.1
