Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,Tennessee (SEC),13,11-2,945,"6,832",7.23,78,525.5
2,Washington (Pac-12),13,11-2,975,"6,705",6.88,65,515.8
3,Southern California (Pac-12),14,11-3,988,"7,092",7.18,73,506.6
4,UCLA (Pac-12),13,9-4,934,"6,547",7.01,65,503.6
5,Georgia (SEC),15,15-0,"1,049","7,518",7.17,75,501.2
6,Oregon (Pac-12),13,10-3,940,"6,507",6.92,64,500.5
7,Western Ky. (CUSA),14,9-5,"1,037","6,962",6.71,58,497.3
8,Ole Miss (SEC),13,8-5,"1,001","6,453",6.45,55,496.4
9,Ohio St. (Big Ten),13,11-2,876,"6,379",7.28,72,490.7
10,Florida St. (ACC),13,10-3,904,"6,295",6.96,61,484.2
11,Alabama (SEC),13,11-2,896,"6,202",6.92,63,477.1
12,UTSA (CUSA),14,11-3,"1,046","6,664",6.37,62,476
13,Oklahoma (Big 12),13,6-7,988,"6,162",6.24,55,474
14,SMU (AAC),13,7-6,"1,005","6,147",6.12,62,472.8
15,Arkansas (SEC),13,7-6,962,"6,114",6.36,53,470.3
16,UCF (AAC),14,9-5,"1,066","6,574",6.17,57,469.6
17,Utah (Pac-12),14,10-4,"1,006","6,536",6.50,69,466.9
18,Ga. Southern (Sun Belt),13,6-7,982,"6,067",6.18,51,466.7
19,North Carolina (ACC),14,9-5,"1,034","6,479",6.27,62,462.8
20,Arizona (Pac-12),12,5-7,811,"5,543",6.83,45,461.9
21,North Texas (CUSA),14,7-7,968,"6,465",6.68,58,461.8
22,Texas Tech (Big 12),13,8-5,"1,094","5,998",5.48,54,461.4
23,East Carolina (AAC),13,8-5,906,"5,994",6.62,53,461.1
24,Michigan (Big Ten),14,13-1,970,"6,423",6.62,65,458.8
25,Houston (AAC),13,8-5,902,"5,926",6.57,57,455.8
26,App State (Sun Belt),12,6-6,833,"5,464",6.56,55,455.3
27,TCU (Big 12),15,13-2,"1,020","6,825",6.69,70,455
28,LSU (SEC),14,10-4,997,"6,344",6.36,62,453.1
29,Wake Forest (ACC),13,8-5,978,"5,751",5.88,60,442.4
30,Tulane (AAC),14,12-2,936,"6,179",6.60,64,441.4
31,Kansas (Big 12),13,6-7,817,"5,702",6.98,61,438.6
32,UAB (CUSA),13,7-6,849,"5,697",6.71,47,438.2
33,Penn St. (Big Ten),13,11-2,911,"5,637",6.19,57,433.6
34,Texas (Big 12),13,8-5,875,"5,584",6.38,51,429.5
35,BYU (FBS Independent),13,8-5,830,"5,542",6.68,51,426.3
36,South Alabama (Sun Belt),13,10-3,951,"5,517",5.80,47,424.4
37,Florida (SEC),13,6-7,838,"5,513",6.58,47,424.1
38,Memphis (AAC),13,7-6,947,"5,478",5.78,53,421.4
39,Ohio (MAC),14,10-4,957,"5,897",6.16,51,421.2
40,Kansas St. (Big 12),14,10-4,958,"5,863",6.12,53,418.8
41,Kent St. (MAC),12,5-7,866,"5,007",5.78,40,417.2
42,Georgia St. (Sun Belt),12,4-8,875,"5,005",5.72,44,417.1
43,Duke (ACC),13,9-4,884,"5,404",6.11,51,415.7
44,Baylor (Big 12),13,6-7,927,"5,380",5.80,53,413.8
45,Tulsa (AAC),12,5-7,843,"4,942",5.86,45,411.8
46,Fla. Atlantic (CUSA),12,5-7,870,"4,938",5.68,44,411.5
47,Clemson (ACC),14,11-3,"1,026","5,744",5.60,55,410.3
48,Louisville (ACC),13,8-5,886,"5,280",5.96,38,406.2
49,Pittsburgh (ACC),13,9-4,912,"5,275",5.78,43,405.8
50,Coastal Carolina (Sun Belt),13,9-4,874,"5,271",6.03,49,405.5
51,Oklahoma St. (Big 12),13,7-6,"1,000","5,266",5.27,44,405.1
52,Fresno St. (Mountain West),14,10-4,939,"5,639",6.01,50,402.8
53,Toledo (MAC),14,9-5,"1,020","5,637",5.53,54,402.6
54,Maryland (Big Ten),13,8-5,915,"5,220",5.70,44,401.5
55,Purdue (Big Ten),14,8-6,"1,049","5,597",5.34,43,399.8
56,West Virginia (Big 12),12,5-7,870,"4,788",5.50,44,399
57,Marshall (Sun Belt),13,9-4,963,"5,173",5.37,36,397.9
58,Air Force (Mountain West),13,10-3,889,"5,163",5.81,45,397.2
59,Notre Dame (FBS Independent),13,9-4,870,"5,150",5.92,50,396.2
60,Oregon St. (Pac-12),13,10-3,846,"5,148",6.09,52,396
61,Mississippi St. (SEC),13,9-4,929,"5,108",5.50,48,392.9
62,Louisiana Tech (CUSA),12,3-9,833,"4,704",5.65,39,392
63,South Fla. (AAC),12,1-11,767,"4,690",6.11,43,390.8
64,Minnesota (Big Ten),13,9-4,862,"5,064",5.87,45,389.5
65,Liberty (FBS Independent),13,8-5,889,"5,062",5.69,45,389.4
66,Arizona St. (Pac-12),12,3-9,789,"4,646",5.89,39,387.2
