Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,LSU (SEC),13,10-3,841,"7,065",8.40,78,543.5
2,Oregon (Pac-12),14,12-2,951,"7,440",7.82,82,531.4
3,Oklahoma (Big 12),13,10-3,974,"6,591",6.77,66,507
4,Liberty (CUSA),14,13-1,973,"6,988",7.18,71,499.1
5,Georgia (SEC),14,13-1,958,"6,951",7.26,69,496.5
6,North Texas (AAC),12,5-7,911,"5,950",6.53,52,495.8
7,North Carolina (ACC),13,8-5,958,"6,386",6.67,54,491.2
8,UCF (Big 12),13,6-7,895,"6,331",7.07,52,487
9,Texas (Big 12),14,12-2,"1,002","6,685",6.67,54,477.5
10,Southern California (Pac-12),13,8-5,823,"6,079",7.39,70,467.6
11,TCU (Big 12),12,5-7,909,"5,600",6.16,46,466.7
12,Washington (Pac-12),15,14-1,985,"6,931",7.04,66,462.1
13,Ole Miss (SEC),13,11-2,929,"6,005",6.46,55,461.9
14,Memphis (AAC),13,10-3,910,"5,960",6.55,64,458.5
15,Texas St. (Sun Belt),13,8-5,958,"5,949",6.21,57,457.6
16,SMU (AAC),14,11-3,"1,020","6,360",6.24,62,454.3
17,South Fla. (AAC),13,7-6,"1,028","5,871",5.71,50,451.6
18,UAB (AAC),12,4-8,853,"5,400",6.33,46,450
19,Tennessee (SEC),13,9-4,899,"5,825",6.48,45,448.1
20,Arizona (Pac-12),13,10-3,862,"5,824",6.76,53,448
21,Kansas (Big 12),13,9-4,810,"5,799",7.16,56,446.1
22,App State (Sun Belt),14,9-5,"1,006","6,238",6.20,57,445.6
23,Kansas St. (Big 12),13,9-4,959,"5,788",6.04,62,445.2
24,South Alabama (Sun Belt),13,7-6,897,"5,722",6.38,56,440.2
25,Utah St. (Mountain West),13,6-7,932,"5,702",6.12,53,438.6
26,Boise St. (Mountain West),14,8-6,932,"6,106",6.55,54,436.1
27,West Virginia (Big 12),13,9-4,896,"5,650",6.31,50,434.6
28,Missouri (SEC),13,11-2,874,"5,646",6.46,48,434.3
29,Notre Dame (FBS Independent),13,10-3,808,"5,619",6.95,59,432.2
30,Oklahoma St. (Big 12),14,10-4,"1,019","6,045",5.93,47,431.8
31,Miami (FL) (ACC),13,7-6,876,"5,605",6.40,47,431.2
32,UCLA (Pac-12),13,8-5,937,"5,552",5.93,45,427.1
33,Cincinnati (Big 12),12,3-9,877,"5,113",5.83,35,426.1
34,Georgia Tech (ACC),13,7-6,871,"5,520",6.34,51,424.6
35,Washington St. (Pac-12),12,5-7,852,"5,060",5.94,44,421.7
36,UTSA (AAC),13,9-4,962,"5,481",5.70,52,421.6
37,Ga. Southern (Sun Belt),13,6-7,954,"5,453",5.72,42,419.5
38,Troy (Sun Belt),14,11-3,943,"5,872",6.23,48,419.4
39,Toledo (MAC),14,11-3,901,"5,869",6.51,57,419.2
40,Coastal Carolina (Sun Belt),13,8-5,875,"5,411",6.18,41,416.2
41,Louisville (ACC),14,10-4,941,"5,812",6.18,53,415.1
42,UNLV (Mountain West),14,9-5,942,"5,778",6.13,56,412.7
43,New Mexico St. (CUSA),15,10-5,918,"6,186",6.74,50,412.4
44,New Mexico (Mountain West),12,4-8,793,"4,927",6.21,43,410.6
45,Oregon St. (Pac-12),13,8-5,825,"5,320",6.45,52,409.2
46,Florida (SEC),12,5-7,811,"4,909",6.05,41,409.1
47,Ohio St. (Big Ten),13,11-2,831,"5,303",6.38,46,407.9
48,Texas A&M (SEC),13,7-6,882,"5,290",6.00,47,406.9
49,San Jose St. (Mountain West),13,7-6,804,"5,246",6.52,52,403.5
