Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
50,Clemson (ACC),13,9-4,998,"5,235",5.25,44,402.7
51,Western Ky. (CUSA),13,8-5,896,"5,223",5.83,50,401.8
52,Florida St. (ACC),14,13-1,896,"5,622",6.27,57,401.6
53,Penn St. (Big Ten),13,10-3,928,"5,198",5.60,56,399.8
54,Colorado St. (Mountain West),12,5-7,833,"4,784",5.74,34,398.7
55,Georgia St. (Sun Belt),13,7-6,880,"5,113",5.81,45,393.3
56,Alabama (SEC),14,12-2,886,"5,503",6.21,55,393.1
57,Louisiana (Sun Belt),13,6-7,836,"5,101",6.10,48,392.4
58,Virginia Tech (ACC),13,7-6,855,"5,089",5.95,43,391.5
59,Middle Tenn. (CUSA),12,4-8,822,"4,693",5.71,36,391.1
60,Illinois (Big Ten),12,5-7,811,"4,692",5.79,35,391
61,California (Pac-12),13,6-7,931,"5,082",5.46,48,390.9
62,Fresno St. (Mountain West),13,9-4,884,"5,041",5.70,45,387.8
63,Maryland (Big Ten),13,8-5,858,"5,035",5.87,47,387.3
64,Texas Tech (Big 12),13,7-6,944,"5,027",5.33,41,386.7
65,Tulsa (AAC),12,4-8,861,"4,625",5.37,33,385.4
66,Louisiana Tech (CUSA),12,3-9,804,"4,616",5.74,36,384.7
67,Michigan (Big Ten),15,15-0,924,"5,741",6.21,64,382.7
68,Boston College (ACC),13,7-6,908,"4,956",5.46,40,381.2
69,Wisconsin (Big Ten),13,7-6,923,"4,955",5.37,36,381.2
70,Purdue (Big Ten),12,4-8,854,"4,563",5.34,35,380.2
71,Baylor (Big 12),12,3-9,855,"4,534",5.30,28,377.8
72,Arkansas St. (Sun Belt),13,6-7,829,"4,857",5.86,37,373.6
73,Temple (AAC),12,3-9,839,"4,468",5.33,32,372.3
74,Tulane (AAC),14,11-3,895,"5,181",5.79,41,370.1
75,NIU (MAC),13,7-6,833,"4,802",5.76,38,369.4
76,Virginia (ACC),12,3-9,850,"4,425",5.21,31,368.8
77,Air Force (Mountain West),13,9-4,826,"4,765",5.77,43,366.5
78,Western Mich. (MAC),12,4-8,872,"4,380",5.02,34,365
79,Iowa St. (Big 12),13,7-6,763,"4,744",6.22,39,364.9
80,Colorado (Pac-12),12,4-8,832,"4,363",5.24,41,363.6
81,South Carolina (SEC),12,5-7,781,"4,357",5.58,38,363.1
82,Rice (AAC),13,6-7,818,"4,718",5.77,50,362.9
83,UTEP (CUSA),12,3-9,777,"4,344",5.59,29,362
84,Houston (Big 12),12,4-8,767,"4,322",5.63,34,360.2
85,Marshall (Sun Belt),13,6-7,878,"4,660",5.31,33,358.5
86,Massachusetts (FBS Independent),12,3-9,738,"4,275",5.79,33,356.2
87,Southern Miss. (Sun Belt),12,3-9,848,"4,241",5.00,31,353.4
88,Hawaii (Mountain West),13,5-8,862,"4,582",5.32,33,352.5
89,Stanford (Pac-12),12,3-9,838,"4,219",5.03,26,351.6
90,Auburn (SEC),13,6-7,830,"4,566",5.50,40,351.2
91,NC State (ACC),13,9-4,857,"4,555",5.32,38,350.4
92,Utah (Pac-12),13,8-5,890,"4,529",5.09,34,348.4
93,Old Dominion (Sun Belt),13,6-7,835,"4,526",5.42,35,348.2
94,Duke (ACC),13,8-5,805,"4,525",5.62,40,348.1
95,Ohio (MAC),13,10-3,868,"4,524",5.21,34,348
96,Central Mich. (MAC),12,5-7,780,"4,129",5.29,36,344.1
97,Syracuse (ACC),13,6-7,845,"4,463",5.28,37,343.3
98,Kentucky (SEC),13,7-6,714,"4,413",6.18,43,339.5
99,Indiana (Big Ten),12,3-9,800,"3,994",4.99,31,332.8
100,Fla. Atlantic (AAC),12,4-8,781,"3,969",5.08,35,330.8
101,Mississippi St. (SEC),12,5-7,749,"3,943",5.26,27,328.6
102,Wake Forest (ACC),12,4-8,789,"3,933",4.98,27,327.8
103,Wyoming (Mountain West),13,9-4,772,"4,251",5.51,39,327
104,UConn (FBS Independent),12,3-9,776,"3,923",5.06,27,326.9
105,Arkansas (SEC),12,4-8,795,"3,918",4.93,31,326.5
106,San Diego St. (Mountain West),12,4-8,773,"3,912",5.06,26,326
107,Bowling Green (MAC),13,7-6,787,"4,237",5.38,39,325.9
108,Miami (OH) (MAC),14,11-3,796,"4,529",5.69,39,323.5
109,Arizona St. (Pac-12),12,3-9,814,"3,867",4.75,25,322.2
110,ULM (Sun Belt),12,2-10,760,"3,851",5.07,22,320.9
111,FIU (CUSA),12,4-8,763,"3,835",5.03,29,319.6
112,Vanderbilt (SEC),12,2-10,739,"3,827",5.18,33,318.9
113,Buffalo (MAC),12,3-9,829,"3,825",4.61,29,318.8
114,Pittsburgh (ACC),12,3-9,716,"3,815",5.33,27,317.9
115,Charlotte (AAC),12,3-9,792,"3,753",4.74,23,312.8
115,Nebraska (Big Ten),12,5-7,739,"3,753",5.08,26,312.8
117,Army West Point (FBS Independent),12,6-6,738,"3,730",5.05,26,310.8
118,BYU (Big 12),12,5-7,756,"3,717",4.92,32,309.8
119,Ball St. (MAC),12,4-8,777,"3,697",4.76,24,308.1
120,Rutgers (Big Ten),13,7-6,811,"3,981",4.91,34,306.2
121,Northwestern (Big Ten),13,8-5,847,"3,951",4.66,34,303.9
122,Minnesota (Big Ten),13,6-7,817,"3,912",4.79,29,300.9
123,Navy (AAC),12,5-7,747,"3,603",4.82,26,300.2
124,Nevada (Mountain West),12,2-10,788,"3,600",4.57,20,300
125,Michigan St. (Big Ten),12,4-8,749,"3,472",4.64,21,289.3
126,Akron (MAC),12,2-10,771,"3,343",4.34,22,278.6
127,East Carolina (AAC),12,2-10,773,"3,327",4.30,19,277.2
128,Kent St. (MAC),12,1-11,746,"3,245",4.35,19,270.4
129,Eastern Mich. (MAC),13,6-7,786,"3,416",4.35,28,262.8
130,Iowa (Big Ten),14,10-4,834,"3,284",3.94,20,234.6
