Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,Oklahoma (Big 12),14,12-2,979,"8,114",8.29,80,579.6
2,Oklahoma St. (Big 12),13,10-3,"1,008","7,396",7.34,71,568.9
3,Louisville (ACC),13,8-5,959,"7,084",7.39,62,544.9
4,Memphis (AAC),13,10-3,941,"6,917",7.35,72,532.1
5,UCF (AAC),13,13-0,924,"6,896",7.46,77,530.5
6,South Fla. (AAC),12,10-2,"1,001","6,156",6.15,55,513
7,Ohio St. (Big Ten),14,12-2,"1,029","7,084",6.88,73,506
8,Missouri (SEC),13,7-6,916,"6,528",7.13,60,502.2
9,Fla. Atlantic (C-USA),14,11-3,"1,026","6,977",6.80,73,498.4
10,Arkansas St. (Sun Belt),12,7-5,975,"5,937",6.09,55,494.8
11,Colorado St. (Mountain West),13,7-6,977,"6,402",6.55,55,492.5
12,Arizona (Pac-12),13,7-6,908,"6,364",7.01,67,489.5
13,Southern California (Pac-12),14,11-3,"1,034","6,777",6.55,55,484.1
14,Toledo (MAC),14,11-3,981,"6,775",6.91,60,483.9
15,SMU (AAC),13,7-6,973,"6,220",6.39,61,478.5
16,Texas Tech (Big 12),13,6-7,"1,000","6,170",6.17,54,474.6
17,Wake Forest (ACC),13,8-5,963,"6,055",6.29,55,465.8
18,Ole Miss (SEC),12,6-6,804,"5,548",6.90,47,462.3
19,Penn St. (Big Ten),13,11-2,909,"5,984",6.58,68,460.3
20,West Virginia (Big 12),13,7-6,941,"5,975",6.35,55,459.6
21,ULM (Sun Belt),12,4-8,863,"5,496",6.37,49,458
22,UCLA (Pac-12),13,6-7,932,"5,952",6.39,50,457.8
23,Syracuse (ACC),12,4-8,"1,027","5,476",5.33,36,456.3
24,North Texas (C-USA),14,9-5,"1,037","6,371",6.14,60,455.1
25,NC State (ACC),13,9-4,981,"5,873",5.99,52,451.8
26,Auburn (SEC),14,10-4,"1,024","6,323",6.17,55,451.6
27,Notre Dame (FBS Independent),13,10-3,912,"5,827",6.39,55,448.2
28,New Mexico St. (Independent),13,7-6,998,"5,810",5.82,47,446.9
29,Alabama (SEC),14,13-1,944,"6,217",6.59,64,444.1
30,Oregon (Pac-12),13,7-6,939,"5,732",6.10,58,440.9
31,App State (Sun Belt),13,9-4,886,"5,718",6.45,55,439.8
32,Georgia (SEC),15,13-2,975,"6,529",6.70,66,435.3
33,Washington St. (Pac-12),13,9-4,"1,016","5,653",5.56,45,434.8
34,Ohio (MAC),13,9-4,875,"5,630",6.43,64,433.1
35,Massachusetts (FBS Independent),12,4-8,865,"5,194",6.00,45,432.8
36,Buffalo (MAC),12,6-6,828,"5,183",6.26,42,431.9
37,Arizona St. (Pac-12),13,7-6,981,"5,600",5.71,48,430.8
38,Clemson (ACC),14,12-2,"1,048","6,014",5.74,57,429.6
39,Navy (AAC),13,7-6,924,"5,573",6.03,52,428.7
40,Houston (AAC),12,7-5,857,"5,138",6.00,41,428.2
41,UNLV (Mountain West),12,5-7,827,"5,125",6.20,39,427.1
42,East Carolina (AAC),12,3-9,939,"5,107",5.44,36,425.6
43,Southern Miss. (C-USA),13,8-5,937,"5,520",5.89,43,424.6
44,Tulsa (AAC),12,2-10,884,"5,044",5.71,42,420.3
45,TCU (Big 12),14,11-3,963,"5,869",6.09,55,419.2
46,Troy (Sun Belt),13,11-2,872,"5,442",6.24,49,418.6
46,Mississippi St. (SEC),13,9-4,987,"5,442",5.51,47,418.6
48,Colorado (Pac-12),12,5-7,909,"5,011",5.51,36,417.6
49,Air Force (Mountain West),12,5-7,908,"5,010",5.52,48,417.5
50,UConn (AAC),12,3-9,907,"4,982",5.49,35,415.2
51,Wisconsin (Big Ten),14,13-1,954,"5,810",6.09,53,415
52,Utah (Pac-12),13,7-6,953,"5,374",5.64,40,413.4
53,Virginia Tech (ACC),13,9-4,996,"5,367",5.39,40,412.8
54,LSU (SEC),13,9-4,863,"5,344",6.19,42,411.1
55,Northwestern (Big Ten),13,10-3,998,"5,304",5.31,47,408
56,Texas A&M (SEC),13,7-6,955,"5,289",5.54,48,406.8
57,Boise St. (Mountain West),14,11-3,981,"5,686",5.80,51,406.1
58,Washington (Pac-12),13,10-3,821,"5,271",6.42,56,405.5
59,Baylor (Big 12),12,1-11,876,"4,859",5.55,33,404.9
60,Miami (FL) (ACC),13,10-3,840,"5,243",6.24,45,403.3
61,Purdue (Big Ten),13,7-6,938,"5,240",5.59,39,403.1
62,Louisiana Tech (C-USA),13,7-6,915,"5,239",5.73,39,403
63,Hawaii (Mountain West),12,3-9,843,"4,832",5.73,34,402.7
64,San Diego St. (Mountain West),13,10-3,827,"5,202",6.29,46,400.2
65,Louisiana (Sun Belt),12,5-7,828,"4,782",5.78,43,398.5
66,Texas (Big 12),13,7-6,"1,006","5,180",5.15,42,398.5
67,Nevada (Mountain West),12,3-9,813,"4,771",5.87,42,397.6
68,Utah St. (Mountain West),13,6-7,920,"5,166",5.62,41,397.4
69,Western Ky. (C-USA),13,6-7,968,"5,146",5.32,42,395.8
70,Indiana (Big Ten),12,5-7,951,"4,749",4.99,36,395.8
71,Middle Tenn. (C-USA),13,7-6,900,"5,114",5.68,38,393.4
72,Fresno St. (Mountain West),14,10-4,952,"5,501",5.78,41,392.9
73,FIU (C-USA),13,8-5,890,"5,100",5.73,39,392.3
74,Georgia Tech (ACC),11,5-6,751,"4,308",5.74,40,391.6
75,Tulane (AAC),12,5-7,816,"4,698",5.76,43,391.5
76,Army West Point (FBS Independent),13,10-3,850,"5,071",5.97,52,390.1
77,Central Mich. (MAC),13,8-5,923,"5,067",5.49,46,389.8
78,Western Mich. (MAC),12,6-6,856,"4,675",5.46,45,389.6
79,Stanford (Pac-12),14,9-5,843,"5,441",6.45,54,388.6
80,Temple (AAC),13,7-6,914,"5,046",5.52,36,388.2
81,Georgia St. (Sun Belt),12,7-5,852,"4,656",5.46,27,388
82,UTSA (C-USA),11,6-5,754,"4,261",5.65,26,387.4
83,Eastern Mich. (MAC),12,5-7,857,"4,643",5.42,35,386.9
84,Boston College (ACC),13,7-6,985,"5,027",5.10,40,386.7
85,Bowling Green (MAC),12,2-10,847,"4,640",5.48,34,386.7
86,Iowa St. (Big 12),13,8-5,904,"5,018",5.55,43,386
87,Nebraska (Big Ten),12,4-8,827,"4,620",5.59,36,385
88,Duke (ACC),13,7-6,"1,016","5,002",4.92,38,384.8
89,California (Pac-12),12,5-7,892,"4,614",5.17,36,384.5
90,Miami (OH) (MAC),12,5-7,831,"4,603",5.54,36,383.6
91,Michigan St. (Big Ten),13,10-3,971,"4,980",5.13,38,383.1
92,Marshall (C-USA),13,8-5,898,"4,938",5.50,39,379.8
93,NIU (MAC),13,8-5,963,"4,911",5.10,43,377.8
94,Arkansas (SEC),12,4-8,802,"4,481",5.59,42,373.4
95,Kansas St. (Big 12),13,8-5,789,"4,843",6.14,45,372.5
96,North Carolina (ACC),12,3-9,834,"4,435",5.32,38,369.6
97,Pittsburgh (ACC),12,5-7,822,"4,394",5.35,33,366.2
98,UAB (C-USA),13,8-5,872,"4,728",5.42,43,363.7
99,New Mexico (Mountain West),12,3-9,784,"4,314",5.50,29,359.5
100,Florida St. (ACC),13,7-6,808,"4,575",5.66,39,351.9
101,Cincinnati (AAC),12,4-8,805,"4,221",5.24,31,351.8
102,Vanderbilt (SEC),12,5-7,751,"4,209",5.60,41,350.8
103,Kentucky (SEC),13,7-6,818,"4,548",5.56,37,349.8
104,Idaho (Sun Belt),12,4-8,824,"4,194",5.09,31,349.5
105,Michigan (Big Ten),13,8-5,875,"4,536",5.18,35,348.9
106,Virginia (ACC),13,6-7,908,"4,449",4.90,35,342.2
107,Texas St. (Sun Belt),12,2-10,854,"4,077",4.77,26,339.8
108,South Carolina (SEC),13,9-4,802,"4,382",5.46,34,337.1
109,Florida (SEC),11,4-7,712,"3,695",5.19,25,335.9
110,Ball St. (MAC),12,2-10,902,"4,022",4.46,26,335.2
111,South Alabama (Sun Belt),12,4-8,786,"4,012",5.10,25,334.3
112,Oregon St. (Pac-12),12,1-11,773,"4,005",5.18,29,333.8
113,Ga. Southern (Sun Belt),12,2-10,839,"3,988",4.75,27,332.3
113,Old Dominion (C-USA),12,5-7,811,"3,988",4.92,26,332.3
115,Rice (C-USA),12,1-11,732,"3,982",5.44,26,331.8
116,Iowa (Big Ten),13,8-5,836,"4,283",5.12,44,329.5
117,Kansas (Big 12),12,1-11,851,"3,948",4.64,25,329
118,BYU (FBS Independent),13,4-9,822,"4,227",5.14,25,325.2
119,Maryland (Big Ten),12,4-8,754,"3,880",5.15,34,323.3
120,San Jose St. (Mountain West),13,2-11,898,"4,135",4.60,21,318.1
121,Akron (MAC),14,7-7,906,"4,424",4.88,38,316
122,Minnesota (Big Ten),12,5-7,758,"3,702",4.88,29,308.5
123,Charlotte (C-USA),12,1-11,740,"3,638",4.92,23,303.2
124,Tennessee (SEC),12,4-8,732,"3,493",4.77,25,291.1
125,Wyoming (Mountain West),13,8-5,794,"3,718",4.68,31,286
126,Illinois (Big Ten),12,2-10,725,"3,365",4.64,19,280.4
127,Kent St. (MAC),12,2-10,754,"3,302",4.38,18,275.2
128,Rutgers (Big Ten),12,4-8,711,"3,152",4.43,26,262.7
129,UTEP (C-USA),12,0-12,676,"2,766",4.09,16,230.5
