Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,Oklahoma (Big 12),14,12-2,928,"7,984",8.60,85,570.3
2,Ohio St. (Big Ten),14,13-1,"1,131","7,498",6.63,74,535.6
3,Clemson (ACC),15,15-0,"1,076","7,908",7.35,86,527.2
4,Memphis (AAC),14,8-6,"1,028","7,324",7.12,76,523.1
5,UCF (AAC),13,12-1,986,"6,795",6.89,72,522.7
6,Alabama (SEC),15,14-1,"1,009","7,830",7.76,85,522
7,Houston (AAC),13,8-5,"1,010","6,663",6.60,74,512.5
8,West Virginia (Big 12),12,8-4,870,"6,147",7.07,60,512.3
9,Ole Miss (SEC),12,5-7,860,"6,126",7.12,45,510.5
10,Oklahoma St. (Big 12),13,7-6,"1,011","6,502",6.43,63,500.2
11,Utah St. (Mountain West),13,11-2,945,"6,466",6.84,69,497.4
12,Texas Tech (Big 12),12,5-7,972,"5,822",5.99,54,485.2
13,Missouri (SEC),13,8-5,"1,004","6,263",6.24,55,481.8
14,Fla. Atlantic (C-USA),12,5-7,930,"5,746",6.18,49,478.8
15,Texas A&M (SEC),13,9-4,980,"6,131",6.26,53,471.6
16,Ohio (MAC),13,9-4,867,"6,068",7.00,65,466.8
17,Arkansas St. (Sun Belt),13,8-5,980,"6,061",6.18,46,466.2
18,Georgia (SEC),14,11-3,923,"6,508",7.05,64,464.9
19,Syracuse (ACC),13,10-3,"1,063","6,042",5.68,60,464.8
20,North Texas (C-USA),13,9-4,966,"5,987",6.20,53,460.5
21,Boise St. (Mountain West),13,10-3,979,"5,974",6.10,55,459.5
22,Baylor (Big 12),13,7-6,988,"5,968",6.04,47,459.1
23,Cincinnati (AAC),13,11-2,974,"5,960",6.12,60,458.5
24,Arizona (Pac-12),12,5-7,881,"5,492",6.23,43,457.7
25,Nebraska (Big Ten),12,4-8,868,"5,474",6.31,44,456.2
26,NC State (ACC),13,9-4,979,"5,929",6.06,52,456.1
27,Washington St. (Pac-12),13,11-2,958,"5,869",6.13,63,451.5
28,Wake Forest (ACC),13,7-6,"1,067","5,847",5.48,46,449.8
29,Purdue (Big Ten),13,6-7,909,"5,771",6.35,48,443.9
30,Toledo (MAC),13,7-6,927,"5,770",6.22,62,443.8
31,North Carolina (ACC),11,2-9,817,"4,863",5.95,33,442.1
32,Notre Dame (FBS Independent),13,12-1,954,"5,721",6.00,50,440.1
33,South Fla. (AAC),13,7-6,949,"5,690",6.00,43,437.7
34,Massachusetts (FBS Independent),12,4-8,821,"5,251",6.40,49,437.6
35,Western Mich. (MAC),13,7-6,962,"5,679",5.90,52,436.8
36,Wisconsin (Big Ten),13,8-5,875,"5,604",6.40,51,431.1
