Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
37,App State (Sun Belt),13,11-2,859,"5,603",6.52,58,431
38,Nevada (Mountain West),13,8-5,929,"5,600",6.03,49,430.8
39,Virginia Tech (ACC),13,6-7,949,"5,566",5.87,48,428.2
40,Old Dominion (C-USA),12,4-8,905,"5,133",5.67,45,427.8
41,Oregon (Pac-12),13,9-4,947,"5,554",5.86,57,427.2
42,Florida (SEC),13,10-3,890,"5,547",6.23,51,426.7
43,South Carolina (SEC),13,7-6,887,"5,533",6.24,47,425.6
44,Louisiana (Sun Belt),14,7-7,901,"5,940",6.59,58,424.3
45,Penn St. (Big Ten),13,9-4,900,"5,499",6.11,55,423
46,FIU (C-USA),13,9-4,859,"5,480",6.38,54,421.5
47,Fresno St. (Mountain West),14,12-2,941,"5,901",6.27,57,421.5
48,Hawaii (Mountain West),14,8-6,963,"5,878",6.10,54,419.9
49,Michigan (Big Ten),13,10-3,896,"5,453",6.09,50,419.5
50,Arizona St. (Pac-12),13,7-6,899,"5,417",6.03,46,416.7
51,Indiana (Big Ten),12,5-7,909,"4,982",5.48,37,415.2
52,Air Force (Mountain West),12,5-7,882,"4,978",5.64,43,414.8
52,ULM (Sun Belt),12,6-6,801,"4,978",6.21,39,414.8
54,Washington (Pac-12),14,10-4,969,"5,805",5.99,45,414.6
55,Buffalo (MAC),14,10-4,"1,004","5,803",5.78,64,414.5
56,East Carolina (AAC),12,3-9,995,"4,973",5.00,31,414.4
57,Texas (Big 12),14,10-4,"1,045","5,758",5.51,52,411.3
58,Vanderbilt (SEC),13,6-7,850,"5,346",6.29,46,411.2
59,Colorado St. (Mountain West),12,3-9,893,"4,926",5.52,34,410.5
60,Temple (AAC),13,8-5,937,"5,324",5.68,48,409.5
61,Georgia Tech (ACC),13,7-6,871,"5,314",6.10,53,408.8
62,Illinois (Big Ten),12,4-8,822,"4,904",5.97,35,408.7
63,Ball St. (MAC),12,4-8,924,"4,903",5.31,37,408.6
64,UAB (C-USA),14,11-3,963,"5,680",5.90,50,405.7
65,Duke (ACC),13,8-5,956,"5,274",5.52,50,405.7
66,Oregon St. (Pac-12),12,2-10,915,"4,857",5.31,40,404.8
67,Boston College (ACC),12,7-5,895,"4,852",5.42,48,404.3
68,LSU (SEC),13,10-3,950,"5,227",5.50,46,402.1
69,Tulane (AAC),13,7-6,904,"5,214",5.77,44,401.1
70,Mississippi St. (SEC),13,8-5,837,"5,166",6.17,48,397.4
71,Utah (Pac-12),14,9-5,971,"5,541",5.71,42,395.8
72,Marshall (C-USA),13,9-4,908,"5,117",5.64,42,393.6
73,Middle Tenn. (C-USA),14,8-6,992,"5,507",5.55,44,393.4
74,UCLA (Pac-12),12,3-9,854,"4,711",5.52,33,392.6
74,Colorado (Pac-12),12,5-7,872,"4,711",5.40,40,392.6
76,Army West Point (FBS Independent),13,11-2,922,"5,103",5.53,54,392.5
77,UNLV (Mountain West),12,4-8,892,"4,694",5.26,47,391.2
78,Auburn (SEC),13,8-5,894,"5,069",5.67,46,389.9
79,Troy (Sun Belt),13,10-3,857,"5,062",5.91,46,389.4
80,SMU (AAC),12,5-7,869,"4,646",5.35,45,387.2
81,Virginia (ACC),13,8-5,857,"5,003",5.84,45,384.8
82,Kent St. (MAC),12,2-10,914,"4,603",5.04,34,383.6
83,Southern California (Pac-12),12,5-7,794,"4,591",5.78,35,382.6
84,Louisiana Tech (C-USA),13,8-5,915,"4,967",5.43,38,382.1
85,Stanford (Pac-12),13,9-4,808,"4,953",6.13,45,381
86,Minnesota (Big Ten),13,7-6,870,"4,935",5.67,43,379.6
87,Coastal Carolina (Sun Belt),12,5-7,780,"4,552",5.84,40,379.3
88,UConn (AAC),12,1-11,851,"4,541",5.34,36,378.4
89,Georgia St. (Sun Belt),12,2-10,815,"4,538",5.57,36,378.2
90,Tulsa (AAC),12,3-9,899,"4,531",5.04,36,377.6
91,Iowa (Big Ten),13,9-4,896,"4,875",5.44,46,375
92,Eastern Mich. (MAC),13,7-6,880,"4,837",5.50,44,372.1
93,Miami (OH) (MAC),12,6-6,818,"4,464",5.46,42,372
94,Maryland (Big Ten),12,5-7,728,"4,457",6.12,38,371.4
95,Iowa St. (Big 12),13,8-5,829,"4,823",5.82,40,371
96,New Mexico St. (FBS Independent),12,3-9,891,"4,446",4.99,30,370.5
97,Pittsburgh (ACC),14,7-7,887,"5,176",5.84,42,369.7
98,TCU (Big 12),13,7-6,904,"4,785",5.29,32,368.1
99,Southern Miss. (C-USA),11,6-5,788,"4,044",5.13,30,367.6
100,BYU (FBS Independent),13,7-6,856,"4,744",5.54,45,364.9
101,Western Ky. (C-USA),12,3-9,870,"4,364",5.02,30,363.7
102,Florida St. (ACC),12,5-7,847,"4,334",5.12,31,361.2
103,Kentucky (SEC),13,10-3,832,"4,691",5.64,41,360.8
104,Miami (FL) (ACC),13,7-6,835,"4,664",5.59,44,358.8
105,South Alabama (Sun Belt),12,3-9,810,"4,263",5.26,36,355.3
105,Bowling Green (MAC),12,3-9,822,"4,263",5.19,38,355.3
107,Northwestern (Big Ten),14,9-5,"1,046","4,961",4.74,42,354.4
108,Louisville (ACC),12,2-10,797,"4,231",5.31,28,352.6
109,Kansas (Big 12),12,3-9,815,"4,210",5.17,32,350.8
110,Navy (AAC),13,3-10,861,"4,536",5.27,42,348.9
111,San Diego St. (Mountain West),13,7-6,831,"4,535",5.46,30,348.8
112,Ga. Southern (Sun Belt),13,10-3,760,"4,488",5.91,45,345.2
113,Kansas St. (Big 12),12,5-7,797,"4,136",5.19,31,344.7
114,California (Pac-12),13,7-6,910,"4,466",4.91,29,343.5
115,Charlotte (C-USA),12,5-7,830,"4,117",4.96,28,343.1
116,Michigan St. (Big Ten),13,7-6,962,"4,447",4.62,26,342.1
117,Arkansas (SEC),12,2-10,810,"4,028",4.97,28,335.7
118,Wyoming (Mountain West),12,6-6,771,"3,969",5.15,27,330.8
119,New Mexico (Mountain West),12,3-9,793,"3,965",5.00,38,330.4
120,Texas St. (Sun Belt),12,3-9,778,"3,963",5.09,30,330.3
121,Tennessee (SEC),12,5-7,716,"3,906",5.46,30,325.5
122,San Jose St. (Mountain West),12,1-11,805,"3,884",4.82,29,323.7
123,NIU (MAC),14,8-6,998,"4,512",4.52,32,322.3
124,Rice (C-USA),13,2-11,858,"4,139",4.82,28,318.4
125,UTEP (C-USA),12,1-11,751,"3,692",4.92,27,307.7
126,Akron (MAC),12,4-8,764,"3,533",4.62,21,294.4
127,Rutgers (Big Ten),12,1-11,772,"3,195",4.14,17,266.3
128,Central Mich. (MAC),12,1-11,809,"3,056",3.78,18,254.7
129,UTSA (C-USA),12,3-9,758,"2,965",3.91,16,247.1
