Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,LSU (SEC),15,15-0,"1,080","8,526",7.89,93,568.4
2,UCF (AAC),13,10-3,"1,016","7,026",6.92,70,540.5
3,Oklahoma (Big 12),14,12-2,946,"7,527",7.96,74,537.6
4,Ohio St. (Big Ten),14,13-1,"1,069","7,419",6.94,87,529.9
5,Clemson (ACC),15,14-1,"1,075","7,931",7.38,85,528.7
6,Alabama (SEC),13,11-2,842,"6,640",7.89,76,510.8
7,Washington St. (Pac-12),13,6-7,920,"6,568",7.14,62,505.2
8,Louisiana (Sun Belt),14,11-3,987,"6,918",7.01,69,494.1
9,SMU (AAC),13,10-3,"1,037","6,368",6.14,70,489.8
10,Memphis (AAC),14,12-2,992,"6,791",6.85,65,485.1
11,Texas Tech (Big 12),12,4-8,935,"5,691",6.09,44,474.3
12,North Carolina (ACC),13,7-6,959,"6,162",6.43,52,474
13,Hawaii (Mountain West),15,10-5,"1,056","7,065",6.69,63,471
14,Texas (Big 12),13,8-5,950,"6,056",6.37,58,465.8
15,Wake Forest (ACC),13,8-5,"1,055","6,032",5.72,49,464
16,Ball St. (MAC),12,5-7,909,"5,556",6.11,51,463
17,ULM (Sun Belt),12,5-7,868,"5,531",6.37,50,460.9
18,Troy (Sun Belt),12,5-7,893,"5,475",6.13,49,456.3
19,Navy (AAC),13,11-2,877,"5,925",6.76,62,455.8
20,Southern California (Pac-12),13,8-5,908,"5,920",6.52,53,455.4
21,Oklahoma St. (Big 12),13,8-5,924,"5,901",6.39,50,453.9
22,Tulane (AAC),13,7-6,948,"5,841",6.16,52,449.3
23,Fla. Atlantic (C-USA),14,11-3,"1,053","6,280",5.96,62,448.6
24,Louisville (ACC),13,8-5,871,"5,815",6.68,55,447.3
25,Western Mich. (MAC),13,7-6,916,"5,794",6.33,56,445.7
26,Ole Miss (SEC),12,4-8,891,"5,343",6.00,40,445.3
27,Iowa St. (Big 12),13,7-6,896,"5,776",6.45,51,444.3
28,BYU (FBS Independent),13,7-6,933,"5,769",6.18,45,443.8
29,Ohio (MAC),13,7-6,861,"5,749",6.68,57,442.2
30,Arizona (Pac-12),12,4-8,873,"5,281",6.05,42,440.1
31,Georgia St. (Sun Belt),13,7-6,981,"5,718",5.83,52,439.8
32,Liberty (FBS Independent),13,8-5,887,"5,712",6.44,54,439.4
33,Arkansas St. (Sun Belt),13,8-5,925,"5,711",6.17,50,439.3
34,Colorado St. (Mountain West),12,4-8,841,"5,249",6.24,39,437.4
35,Louisiana Tech (C-USA),13,10-3,933,"5,679",6.09,48,436.8
36,Toledo (MAC),12,6-6,856,"5,209",6.09,42,434.1
37,Central Mich. (MAC),14,8-6,999,"6,070",6.08,55,433.6
38,Wisconsin (Big Ten),14,10-4,963,"6,065",6.30,56,433.2
39,App State (Sun Belt),14,13-1,969,"6,064",6.26,65,433.1
40,Oregon (Pac-12),14,12-2,956,"6,063",6.34,61,433.1
41,Indiana (Big Ten),13,8-5,940,"5,626",5.99,48,432.8
42,Minnesota (Big Ten),13,11-2,883,"5,616",6.36,56,432
43,Notre Dame (FBS Independent),13,11-2,886,"5,608",6.33,57,431.4
44,Utah St. (Mountain West),13,7-6,965,"5,607",5.81,40,431.3
45,Florida (SEC),13,11-2,865,"5,597",6.47,54,430.5
46,East Carolina (AAC),12,4-8,900,"5,162",5.74,34,430.2
47,Boston College (ACC),13,6-7,964,"5,579",5.79,47,429.2
48,Utah (Pac-12),14,11-3,912,"6,006",6.59,54,429
48,Boise St. (Mountain West),14,12-2,993,"6,006",6.05,58,429
50,San Jose St. (Mountain West),12,5-7,805,"5,129",6.37,43,427.4
51,Air Force (Mountain West),13,11-2,881,"5,483",6.22,55,421.8
52,Baylor (Big 12),14,11-3,948,"5,901",6.22,59,421.5
53,Tulsa (AAC),12,4-8,947,"5,036",5.32,38,419.7
54,North Texas (C-USA),12,4-8,850,"5,023",5.91,44,418.6
55,Nebraska (Big Ten),12,5-7,867,"4,990",5.76,39,415.8
56,Charlotte (C-USA),13,7-6,848,"5,388",6.35,50,414.5
57,Penn St. (Big Ten),13,11-2,885,"5,355",6.05,59,411.9
58,Oregon St. (Pac-12),12,5-7,830,"4,941",5.95,51,411.8
59,Middle Tenn. (C-USA),12,4-8,771,"4,900",6.36,40,408.3
60,Florida St. (ACC),13,6-7,909,"5,308",5.84,48,408.3
61,Georgia (SEC),14,12-2,940,"5,713",6.08,47,408.1
62,TCU (Big 12),12,5-7,905,"4,892",5.41,38,407.7
63,Southern Miss. (C-USA),13,7-6,872,"5,291",6.07,37,407
64,Auburn (SEC),13,9-4,947,"5,285",5.58,51,406.5
65,UCLA (Pac-12),12,4-8,916,"4,868",5.31,40,405.7
66,Kent St. (MAC),13,7-6,905,"5,273",5.83,41,405.6
67,Eastern Mich. (MAC),13,6-7,883,"5,271",5.97,48,405.5
68,Michigan (Big Ten),13,9-4,905,"5,220",5.77,51,401.5
69,New Mexico (Mountain West),12,2-10,832,"4,803",5.77,33,400.3
70,Mississippi St. (SEC),13,6-7,844,"5,201",6.16,46,400.1
71,Syracuse (ACC),12,5-7,909,"4,735",5.21,39,394.6
72,Texas A&M (SEC),13,8-5,881,"5,128",5.82,46,394.5
73,Marshall (C-USA),13,8-5,887,"5,119",5.77,37,393.8
74,Coastal Carolina (Sun Belt),12,5-7,854,"4,725",5.53,45,393.8
75,Purdue (Big Ten),12,4-8,862,"4,718",5.47,38,393.2
76,Kentucky (SEC),13,8-5,830,"5,102",6.15,45,392.5
77,Temple (AAC),13,8-5,951,"5,096",5.36,42,392
78,Houston (AAC),12,4-8,780,"4,698",6.02,39,391.5
79,Washington (Pac-12),13,8-5,872,"5,086",5.83,48,391.2
80,Cincinnati (AAC),14,11-3,993,"5,464",5.50,49,390.3
81,Virginia (ACC),14,9-5,962,"5,445",5.66,51,388.9
82,Buffalo (MAC),13,8-5,937,"5,051",5.39,50,388.5
83,Colorado (Pac-12),12,5-7,847,"4,662",5.50,32,388.5
84,Western Ky. (C-USA),13,9-4,900,"5,041",5.60,38,387.8
85,Fresno St. (Mountain West),12,4-8,767,"4,632",6.04,44,386
86,Virginia Tech (ACC),13,8-5,883,"5,007",5.67,46,385.2
87,Pittsburgh (ACC),13,8-5,954,"4,946",5.18,28,380.5
88,NC State (ACC),12,4-8,881,"4,563",5.18,28,380.3
89,Army West Point (FBS Independent),13,5-8,869,"4,929",5.67,51,379.2
90,Kansas (Big 12),12,3-9,773,"4,527",5.86,35,377.3
91,FIU (C-USA),13,6-7,877,"4,902",5.59,37,377.1
92,UNLV (Mountain West),12,4-8,831,"4,492",5.41,37,374.3
93,Missouri (SEC),12,6-6,852,"4,491",5.27,31,374.3
