Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
94,Arizona St. (Pac-12),13,8-5,842,"4,837",5.74,34,372.1
95,Michigan St. (Big Ten),13,7-6,932,"4,835",5.19,29,371.9
96,South Carolina (SEC),12,4-8,862,"4,463",5.18,30,371.9
97,Stanford (Pac-12),12,4-8,790,"4,415",5.59,26,367.9
98,Miami (FL) (ACC),13,6-7,844,"4,774",5.66,43,367.2
99,Iowa (Big Ten),13,10-3,864,"4,765",5.52,33,366.5
100,Tennessee (SEC),13,8-5,821,"4,752",5.79,32,365.5
101,Nevada (Mountain West),13,7-6,946,"4,749",5.02,30,365.3
102,New Mexico St. (FBS Independent),12,2-10,832,"4,333",5.21,31,361.1
103,Kansas St. (Big 12),13,8-5,841,"4,666",5.55,41,358.9
104,NIU (MAC),12,5-7,824,"4,304",5.22,29,358.7
105,UAB (C-USA),14,9-5,896,"4,926",5.50,36,351.9
106,Wyoming (Mountain West),13,8-5,831,"4,562",5.49,38,350.9
107,UTSA (C-USA),12,4-8,819,"4,139",5.05,28,344.9
108,UConn (AAC),12,2-10,810,"4,136",5.11,27,344.7
109,Maryland (Big Ten),12,3-9,767,"4,121",5.37,39,343.4
110,San Diego St. (Mountain West),13,10-3,933,"4,461",4.78,27,343.2
111,Arkansas (SEC),12,2-10,783,"4,081",5.21,28,340.1
112,South Fla. (AAC),12,4-8,773,"3,970",5.14,33,330.8
113,South Alabama (Sun Belt),12,2-10,791,"3,963",5.01,29,330.3
114,Duke (ACC),12,5-7,873,"3,956",4.53,34,329.7
115,Illinois (Big Ten),13,6-7,857,"4,283",5.00,38,329.5
116,UTEP (C-USA),12,1-11,768,"3,950",5.14,27,329.2
117,California (Pac-12),13,8-5,841,"4,271",5.08,35,328.5
118,Ga. Southern (Sun Belt),13,7-6,821,"4,260",5.19,38,327.7
119,West Virginia (Big 12),12,5-7,788,"3,863",4.90,28,321.9
120,Bowling Green (MAC),12,3-9,839,"3,829",4.56,24,319.1
121,Texas St. (Sun Belt),12,3-9,768,"3,814",4.97,25,317.8
122,Miami (OH) (MAC),14,8-6,870,"4,328",4.97,33,309.1
123,Vanderbilt (SEC),12,3-9,744,"3,592",4.83,21,299.3
124,Northwestern (Big Ten),12,3-9,842,"3,565",4.23,23,297.1
125,Rice (C-USA),12,3-9,753,"3,530",4.69,27,294.2
126,Massachusetts (FBS Independent),12,1-11,822,"3,517",4.28,29,293.1
127,Georgia Tech (ACC),12,3-9,717,"3,436",4.79,26,286.3
128,Old Dominion (C-USA),12,1-11,810,"3,285",4.06,21,273.8
129,Rutgers (Big Ten),12,2-10,735,"3,277",4.46,18,273.1
130,Akron (MAC),12,0-12,725,"2,918",4.02,14,243.2
