Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,Kent St. (MAC),4,3-1,326,"2,426",7.44,27,606.5
2,UCF (AAC),10,6-4,859,"5,681",6.61,55,568.1
3,Ole Miss (SEC),10,5-5,797,"5,555",6.97,53,555.5
4,Alabama (SEC),13,13-0,902,"7,041",7.81,79,541.6
5,North Carolina (ACC),12,8-4,849,"6,447",7.59,66,537.2
6,BYU (FBS Independent),12,11-1,799,"6,266",7.84,68,522.2
7,Ohio St. (Big Ten),8,7-1,570,"4,155",7.29,41,519.4
8,North Texas (C-USA),10,4-6,779,"5,132",6.59,46,513.2
9,Florida (SEC),12,8-4,840,"6,118",7.28,58,509.8
10,Clemson (ACC),12,10-2,901,"6,028",6.69,64,502.3
11,Oklahoma (Big 12),11,9-2,781,"5,442",6.97,57,494.7
12,SMU (AAC),10,7-3,753,"4,945",6.57,47,494.5
13,Toledo (MAC),6,4-2,462,"2,964",6.42,26,494
14,Arkansas St. (Sun Belt),11,4-7,849,"5,387",6.35,46,489.7
15,Liberty (FBS Independent),11,10-1,791,"5,310",6.71,52,482.7
16,Western Mich. (MAC),6,4-2,392,"2,878",7.34,32,479.7
17,Fresno St. (Mountain West),6,3-3,464,"2,876",6.20,26,479.3
18,Buffalo (MAC),7,6-1,457,"3,349",7.33,39,478.4
19,Texas (Big 12),10,7-3,715,"4,754",6.65,52,475.4
20,Arizona St. (Pac-12),4,2-2,252,"1,834",7.28,21,458.5
21,UCLA (Pac-12),7,3-4,519,"3,185",6.14,31,455
22,Memphis (AAC),11,8-3,819,"4,984",6.09,40,453.1
23,App State (Sun Belt),12,9-3,845,"5,424",6.42,49,452
24,Cincinnati (AAC),10,9-1,676,"4,510",6.67,49,451
25,Coastal Carolina (Sun Belt),12,11-1,805,"5,398",6.71,59,449.8
26,Notre Dame (ACC),12,10-2,868,"5,382",6.20,48,448.5
27,Ball St. (MAC),8,7-1,617,"3,578",5.80,32,447.2
28,Wake Forest (ACC),9,4-5,690,"4,000",5.80,36,444.4
29,Louisville (ACC),11,4-7,735,"4,886",6.65,41,444.2
30,Nevada (Mountain West),9,7-2,615,"3,973",6.46,34,441.4
31,Virginia Tech (ACC),11,5-6,727,"4,848",6.67,40,440.7
32,Miami (FL) (ACC),11,8-3,803,"4,838",6.02,44,439.8
33,Texas A&M (SEC),10,9-1,678,"4,392",6.48,41,439.2
34,Iowa St. (Big 12),12,9-3,828,"5,236",6.32,51,436.3
35,LSU (SEC),10,5-5,786,"4,339",5.52,33,433.9
36,San Jose St. (Mountain West),8,7-1,524,"3,447",6.58,27,430.9
37,Penn St. (Big Ten),9,4-5,709,"3,873",5.46,32,430.3
38,Texas Tech (Big 12),10,4-6,735,"4,295",5.84,35,429.5
39,Oklahoma St. (Big 12),11,8-3,849,"4,695",5.53,35,426.8
40,Georgia St. (Sun Belt),10,6-4,750,"4,243",5.66,40,424.3
41,Georgia (SEC),10,8-2,683,"4,241",6.21,37,424.1
42,Virginia (ACC),10,5-5,745,"4,233",5.68,38,423.3
43,Louisiana (Sun Belt),11,10-1,739,"4,637",6.27,45,421.5
44,Central Mich. (MAC),6,3-3,433,"2,522",5.82,23,420.3
45,Stanford (Pac-12),6,4-2,420,"2,521",6.00,22,420.2
46,Southern California (Pac-12),6,5-1,449,"2,500",5.57,25,416.7
47,UTSA (C-USA),12,7-5,866,"4,984",5.76,40,415.3
48,Colorado (Pac-12),6,4-2,454,"2,483",5.47,21,413.8
49,Oregon (Pac-12),7,4-3,428,"2,890",6.75,28,412.9
50,West Virginia (Big 12),10,6-4,759,"4,126",5.44,31,412.6
51,TCU (Big 12),10,6-4,685,"4,110",6.00,34,411
52,Tulsa (AAC),9,6-3,662,"3,694",5.58,28,410.4
53,Utah (Pac-12),5,3-2,347,"2,049",5.90,15,409.8
54,Maryland (Big Ten),5,2-3,310,"2,045",6.60,14,409
55,Houston (AAC),8,3-5,590,"3,271",5.54,27,408.9
56,Oregon St. (Pac-12),7,2-5,491,"2,862",5.83,26,408.9
57,Washington (Pac-12),4,3-1,267,"1,611",6.03,15,402.8
58,East Carolina (AAC),9,3-6,655,"3,624",5.53,30,402.7
59,Missouri (SEC),10,5-5,714,"4,020",5.63,30,402
60,UAB (C-USA),9,6-3,610,"3,612",5.92,31,401.3
61,Eastern Mich. (MAC),6,2-4,418,"2,402",5.75,23,400.3
62,Florida St. (ACC),9,3-6,644,"3,570",5.54,29,396.7
63,Tulane (AAC),12,6-6,829,"4,725",5.70,53,393.8
64,New Mexico (Mountain West),7,2-5,504,"2,756",5.47,20,393.7
65,Troy (Sun Belt),11,5-6,784,"4,321",5.51,33,392.8
66,Arkansas (SEC),10,3-7,678,"3,915",5.77,31,391.5
66,Nebraska (Big Ten),8,3-5,563,"3,132",5.56,20,391.5
68,Marshall (C-USA),10,7-3,668,"3,913",5.86,37,391.3
69,Minnesota (Big Ten),7,3-4,482,"2,737",5.68,26,391
70,Purdue (Big Ten),6,2-4,411,"2,343",5.70,19,390.5
71,Georgia Tech (ACC),10,3-7,691,"3,899",5.64,32,389.9
72,Air Force (Mountain West),6,3-3,373,"2,336",6.26,19,389.3
73,Boston College (ACC),11,6-5,751,"4,245",5.65,34,385.9
74,NC State (ACC),12,8-4,834,"4,624",5.54,44,385.3
75,Washington St. (Pac-12),4,1-3,262,"1,536",5.86,14,384
76,Hawaii (Mountain West),9,5-4,640,"3,455",5.40,29,383.9
77,Auburn (SEC),11,6-5,754,"4,211",5.58,28,382.8
78,Michigan (Big Ten),6,2-4,385,"2,291",5.95,21,381.8
79,Pittsburgh (ACC),11,6-5,814,"4,176",5.13,34,379.6
80,Duke (ACC),11,2-9,829,"4,173",5.03,30,379.4
81,Charlotte (C-USA),6,2-4,416,"2,266",5.45,21,377.7
82,Wyoming (Mountain West),6,2-4,409,"2,237",5.47,17,372.8
83,Southern Miss. (C-USA),10,3-7,643,"3,720",5.79,30,372
84,Ga. Southern (Sun Belt),13,8-5,814,"4,826",5.93,38,371.2
85,Texas St. (Sun Belt),12,2-10,778,"4,436",5.70,41,369.7
86,Arizona (Pac-12),5,0-5,373,"1,847",4.95,10,369.4
87,Iowa (Big Ten),8,6-2,544,"2,949",5.42,27,368.6
88,NIU (MAC),6,0-6,442,"2,205",4.99,18,367.5
89,Middle Tenn. (C-USA),9,3-6,636,"3,293",5.18,25,365.9
90,Miami (OH) (MAC),3,2-1,185,"1,096",5.92,10,365.3
90,South Fla. (AAC),9,1-8,650,"3,288",5.06,23,365.3
92,Ohio (MAC),3,2-1,171,"1,088",6.36,12,362.7
93,Northwestern (Big Ten),9,7-2,678,"3,246",4.79,28,360.7
94,Indiana (Big Ten),8,6-2,570,"2,876",5.05,28,359.5
95,South Alabama (Sun Belt),11,4-7,770,"3,944",5.12,25,358.5
96,South Carolina (SEC),10,2-8,664,"3,551",5.35,29,355.1
97,San Diego St. (Mountain West),8,4-4,560,"2,806",5.01,20,350.8
98,Boise St. (Mountain West),7,5-2,451,"2,443",5.42,25,349
98,Illinois (Big Ten),8,2-6,521,"2,792",5.36,19,349
100,Temple (AAC),7,1-6,524,"2,438",4.65,16,348.3
101,UTEP (C-USA),8,3-5,539,"2,785",5.17,23,348.1
102,Tennessee (SEC),10,3-7,660,"3,462",5.25,26,346.2
103,Wisconsin (Big Ten),7,4-3,495,"2,419",4.89,23,345.6
104,Mississippi St. (SEC),11,4-7,761,"3,742",4.92,25,340.2
105,Rutgers (Big Ten),9,3-6,658,"3,052",4.64,27,339.1
106,Kansas St. (Big 12),10,4-6,601,"3,374",5.61,29,337.4
107,Rice (C-USA),5,2-3,349,"1,658",4.75,12,331.6
108,UNLV (Mountain West),6,0-6,420,"1,983",4.72,13,330.5
109,Michigan St. (Big Ten),7,2-5,481,"2,312",4.81,13,330.3
110,Vanderbilt (SEC),9,0-9,630,"2,970",4.71,17,330
111,Bowling Green (MAC),5,0-5,314,"1,632",5.20,6,326.4
112,Fla. Atlantic (C-USA),9,5-4,595,"2,921",4.91,20,324.6
113,Colorado St. (Mountain West),4,1-3,272,"1,294",4.76,10,323.5
114,California (Pac-12),4,1-3,286,"1,278",4.47,10,319.5
115,Kentucky (SEC),11,5-6,679,"3,498",5.15,26,318
116,Army West Point (FBS Independent),12,9-3,792,"3,813",4.81,40,317.8
117,Louisiana Tech (C-USA),10,5-5,703,"3,158",4.49,31,315.8
118,Baylor (Big 12),9,2-7,629,"2,792",4.44,22,310.2
119,ULM (Sun Belt),10,0-10,631,"3,057",4.84,23,305.7
120,Western Ky. (C-USA),12,5-7,758,"3,484",4.60,24,290.3
121,Akron (MAC),6,1-5,360,"1,687",4.69,12,281.2
122,FIU (C-USA),5,0-5,306,"1,404",4.59,13,280.8
123,Utah St. (Mountain West),6,1-5,362,"1,655",4.57,10,275.8
124,Navy (AAC),10,3-7,607,"2,750",4.53,21,275
125,Syracuse (ACC),11,1-10,656,"2,918",4.45,20,265.3
126,Kansas (Big 12),9,0-9,637,"2,333",3.66,16,259.2
127,Massachusetts (FBS Independent),4,0-4,217,750,3.46,1,187.5
