,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,TDs,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
80,68,Rice,"1,046","5,678",5.43,51,54,405.6,30,957,"5,097",5.33,41,43,364.1,both,C-USA,10-4,14,2013
81,95,Rutgers,897,"4,747",5.29,39,44,365.2,73,944,"5,366",5.68,48,49,412.8,both,AAC,6-7,13,2013
82,41,SMU,945,"5,222",5.53,36,38,435.2,72,887,"4,951",5.58,47,54,412.6,both,AAC,5-7,12,2013
83,51,San Diego State,972,"5,524",5.68,49,52,424.9,53,955,"5,020",5.26,51,55,386.2,both,Mountain West,8-5,13,2013
84,15,San Jose State,928,"5,919",6.38,46,46,493.3,103,898,"5,511",6.14,55,55,459.3,both,Mountain West,6-6,12,2013
85,50,South Alabama,882,"5,106",5.79,41,43,425.5,50,820,"4,611",5.62,35,36,384.3,both,Sun Belt,6-6,12,2013
86,36,South Carolina,920,"5,880",6.39,57,57,452.3,19,833,"4,550",5.46,31,32,350.0,both,SEC,11-2,13,2013
87,121,South Fla.,716,"3,066",4.28,11,16,255.5,21,777,"4,209",5.42,35,43,350.8,both,AAC,2-10,12,2013
88,72,Southern California,924,"5,599",6.06,49,53,399.9,13,942,"4,693",4.98,34,39,335.2,both,Pac-12,10-4,14,2013
89,114,Southern Miss.,820,"3,786",4.62,24,24,315.5,99,890,"5,226",5.87,62,68,435.5,both,C-USA,1-11,12,2013
90,69,Stanford,895,"5,675",6.34,51,56,405.4,16,989,"4,804",4.86,30,31,343.1,both,Pac-12,11-3,14,2013
91,85,Syracuse,958,"4,899",5.11,38,38,376.8,33,897,"4,773",5.32,41,42,367.2,both,ACC,7-6,13,2013
92,104,TCU,822,"4,138",5.03,34,37,344.8,24,886,"4,277",4.83,28,33,356.4,both,Big 12,4-8,12,2013
