,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,TDs,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
0,33,Air Force,986,"6,315",6.4,60,45,451.1,32,870,"4,968",5.71,43,45,354.9,both,Mountain West,8-6,14,2015
1,104,Akron,905,"4,642",5.13,38,37,357.1,15,888,"4,310",4.85,35,37,331.5,both,,8-5,13,2015
2,45,Alabama,"1,088","6,406",5.89,55,26,427.1,3,963,"4,145",4.3,24,26,276.3,both,SEC,14-1,15,2015
3,26,App State,902,"6,075",6.74,58,29,467.3,11,871,"4,088",4.69,25,29,314.5,both,Sun Belt,11-2,13,2015
4,16,Arizona,993,"6,434",6.48,58,60,494.9,114,"1,024","6,069",5.93,58,60,466.8,both,Pac-12,7-6,13,2015
5,24,Arizona State,"1,070","6,207",5.8,49,55,477.5,112,967,"6,029",6.23,51,55,463.8,both,Pac-12,6-7,13,2015
6,29,Arkansas,886,"6,051",6.83,62,44,465.5,58,839,"5,091",6.07,43,44,391.6,both,SEC,8-5,13,2015
7,37,Arkansas State,973,"5,700",5.86,58,52,438.5,88,947,"5,450",5.76,47,52,419.2,both,Sun Belt,9-4,13,2015
8,108,Army West Point,724,"4,059",5.61,34,40,338.3,47,742,"4,507",6.07,39,40,375.6,both,FBS Independent,2-10,12,2015
9,94,Auburn,893,"4,810",5.39,39,39,370.0,71,981,"5,267",5.37,37,39,405.2,both,SEC,7-6,13,2015
10,49,BYU,917,"5,522",6.02,54,38,424.8,23,918,"4,494",4.9,34,38,345.7,both,FBS Independent,9-4,13,2015
11,90,Ball State,896,"4,459",4.98,32,56,371.6,121,920,"6,216",6.76,55,56,518.0,both,MAC,3-9,12,2015
12,1,Baylor,"1,103","8,011",7.26,85,49,616.2,62,994,"5,155",5.19,47,49,396.5,both,Big 12,10-3,13,2015
13,15,Boise State,"1,079","6,520",6.04,60,33,501.5,12,851,"4,138",4.86,28,33,318.3,both,Mountain West,9-4,13,2015
14,125,Boston College,751,"3,307",4.4,25,19,275.6,1,750,"3,052",4.07,15,19,254.3,both,ACC,3-9,12,2015
15,4,Bowling Green,"1,136","7,655",6.74,81,50,546.8,86,"1,084","5,849",5.4,47,50,417.8,both,MAC,10-4,14,2015
16,71,Buffalo,880,"4,637",5.27,33,43,386.4,81,876,"4,961",5.66,41,43,413.4,both,MAC,5-7,12,2015
17,8,California,989,"6,879",6.96,60,48,529.2,108,967,"5,898",6.1,45,48,453.7,both,Pac-12,8-5,13,2015
18,63,Central Mich.,915,"5,222",5.71,41,37,401.7,16,841,"4,319",5.14,34,37,332.2,both,MAC,7-6,13,2015
19,6,Cincinnati,"1,059","6,992",6.6,54,51,537.8,78,917,"5,312",5.79,45,51,408.6,both,AAC,7-6,13,2015
20,11,Clemson,"1,207","7,718",6.39,69,41,514.5,10,968,"4,695",4.85,37,41,313.0,both,ACC,14-1,15,2015
21,67,Colorado,"1,008","5,159",5.12,36,44,396.8,85,948,"5,420",5.72,43,44,416.9,both,Pac-12,4-9,13,2015
22,47,Colorado State,926,"5,536",5.98,44,42,425.8,55,877,"5,082",5.79,39,42,390.9,both,Mountain West,7-6,13,2015
23,36,Duke,"1,033","5,712",5.53,43,42,439.4,60,956,"5,131",5.37,40,42,394.7,both,ACC,8-5,13,2015
24,55,East Carolina,877,"4,975",5.67,40,39,414.6,66,894,"4,811",5.38,38,39,400.9,both,AAC,5-7,12,2015
25,78,Eastern Mich.,830,"4,560",5.49,38,68,380.0,122,888,"6,231",7.02,66,68,519.3,both,MAC,1-11,12,2015
26,106,FIU,825,"4,173",5.06,37,47,347.8,76,854,"4,873",5.71,42,47,406.1,both,C-USA,5-7,12,2015
27,81,Fla. Atlantic,891,"4,534",5.09,27,44,377.8,70,877,"4,861",5.54,40,44,405.1,both,C-USA,3-9,12,2015
28,111,Florida,915,"4,676",5.11,39,30,334.0,8,933,"4,343",4.65,29,30,310.2,both,SEC,10-4,14,2015
29,51,Florida State,844,"5,512",6.53,49,26,424.0,19,936,"4,380",4.68,24,26,336.9,both,ACC,10-3,13,2015
30,121,Fresno State,826,"3,782",4.58,34,63,315.2,101,894,"5,354",5.99,52,63,446.2,both,Mountain West,3-9,12,2015
31,46,Ga. Southern,865,"5,543",6.41,58,39,426.4,21,803,"4,395",5.47,35,39,338.1,both,Sun Belt,9-4,13,2015
32,83,Georgia,813,"4,904",6.03,36,26,377.2,7,835,"3,977",4.76,22,26,305.9,both,SEC,10-3,13,2015
33,43,Georgia State,903,"5,627",6.23,43,44,432.8,74,995,"5,273",5.3,37,44,405.6,both,Sun Belt,6-7,13,2015
34,80,Georgia Tech,775,"4,536",5.85,44,38,378.0,42,759,"4,416",5.82,36,38,368.0,both,ACC,3-9,12,2015
35,120,Hawaii,847,"4,112",4.85,27,59,316.3,104,"1,050","5,834",5.56,56,59,448.8,both,Mountain West,3-10,13,2015
36,20,Houston,"1,101","6,778",6.16,68,36,484.1,53,980,"5,370",5.48,36,36,383.6,both,AAC,13-1,14,2015
37,44,Idaho,930,"5,141",5.53,40,66,428.4,117,839,"5,852",6.97,61,66,487.7,both,Sun Belt,4-8,12,2015
38,88,Illinois,907,"4,472",4.93,29,34,372.7,30,860,"4,210",4.9,33,34,350.8,both,Big Ten,5-7,12,2015
39,14,Indiana,"1,053","6,556",6.23,54,65,504.3,120,"1,038","6,623",6.38,62,65,509.5,both,Big Ten,6-7,13,2015
40,72,Iowa,937,"5,406",5.77,52,32,386.1,22,962,"4,774",4.96,28,32,341.0,both,Big Ten,12-2,14,2015
41,58,Iowa State,909,"4,900",5.39,36,51,408.3,107,883,"5,441",6.16,49,51,453.4,both,Big 12,3-9,12,2015
42,114,Kansas,897,"3,978",4.43,22,72,331.5,127,967,"6,730",6.96,66,72,560.8,both,Big 12,0-12,12,2015
43,112,Kansas State,876,"4,338",4.95,43,52,333.7,105,942,"5,879",6.24,50,52,452.2,both,Big 12,6-7,13,2015
44,126,Kent State,790,"3,250",4.11,15,40,270.8,27,864,"4,201",4.86,37,40,350.1,both,MAC,3-9,12,2015
45,89,Kentucky,816,"4,464",5.47,32,41,372.0,59,853,"4,730",5.55,38,41,394.2,both,SEC,5-7,12,2015
46,39,LSU,783,"5,247",6.7,49,38,437.3,25,806,"4,166",5.17,36,38,347.2,both,SEC,9-3,12,2015
47,77,Louisiana,837,"4,565",5.45,38,49,380.4,89,848,"5,050",5.96,45,49,420.8,both,Sun Belt,4-8,12,2015
48,21,Louisiana Tech,910,"6,276",6.9,55,42,482.8,48,924,"4,886",5.29,37,42,375.8,both,C-USA,9-4,13,2015
