,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,TDs,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
0,52,Air Force,"1,002","5,443",5.43,49,50,418.7,60,895,"5,132",5.73,37,39,394.8,both,Mountain West,10-3,13,2014
1,88,Akron,891,"4,479",5.03,32,33,373.3,44,859,"4,453",5.18,34,35,371.1,both,MAC,5-7,12,2014
2,17,Alabama,"1,018","6,783",6.66,67,68,484.5,12,945,"4,598",4.87,24,27,328.4,both,SEC,12-2,14,2014
3,25,Arizona,"1,139","6,491",5.7,55,61,463.6,103,"1,115","6,314",5.66,47,49,451.0,both,Pac-12,10-4,14,2014
4,34,Arizona State,975,"5,750",5.9,54,59,442.3,81,964,"5,422",5.62,39,46,417.1,both,Pac-12,10-3,13,2014
5,60,Arkansas,916,"5,278",5.76,52,56,406.0,10,821,"4,204",5.12,30,33,323.4,both,SEC,7-6,13,2014
6,20,Arkansas State,"1,024","6,194",6.05,60,65,476.5,83,975,"5,476",5.62,52,54,421.2,both,Sun Belt,7-6,13,2014
7,102,Army West Point,770,"4,305",5.59,36,40,358.8,90,798,"5,170",6.48,50,50,430.8,both,FBS Independent,4-8,12,2014
8,16,Auburn,939,"6,305",6.71,55,58,485.0,64,914,"5,185",5.67,44,45,398.8,both,SEC,8-5,13,2014
9,26,BYU,"1,050","5,986",5.7,60,63,460.5,56,"1,032","5,090",4.93,44,44,391.5,both,FBS Independent,8-5,13,2014
10,92,Ball State,857,"4,431",5.17,35,37,369.3,86,877,"5,146",5.87,40,42,428.8,both,MAC,5-7,12,2014
11,1,Baylor,"1,138","7,559",6.64,81,82,581.5,50,941,"4,964",5.28,41,43,381.8,both,Big 12,11-2,13,2014
12,14,Boise State,"1,060","6,920",6.53,66,73,494.3,48,"1,004","5,256",5.24,42,46,375.4,both,Mountain West,12-2,14,2014
13,80,Boston College,878,"4,992",5.69,44,45,384.0,11,822,"4,215",5.13,34,34,324.2,both,ACC,7-6,13,2014
14,41,Bowling Green,"1,103","6,061",5.5,47,51,432.9,115,"1,156","6,910",5.98,62,62,493.6,both,MAC,8-6,14,2014
15,38,Buffalo,810,"4,820",5.95,48,49,438.2,62,746,"4,375",5.86,46,47,397.7,both,MAC,5-6,11,2014
16,13,California,975,"5,942",6.09,59,61,495.2,121,980,"6,141",6.27,61,63,511.8,both,Pac-12,5-7,12,2014
17,67,Central Mich.,886,"5,175",5.84,46,47,398.1,29,849,"4,621",5.44,39,40,355.5,both,MAC,7-6,13,2014
18,27,Cincinnati,945,"5,982",6.33,53,57,460.2,96,955,"5,708",5.98,40,42,439.1,both,AAC,9-4,13,2014
19,58,Clemson,990,"5,308",5.36,43,48,408.3,1,841,"3,390",4.03,23,27,260.8,both,ACC,10-3,13,2014
20,37,Colorado,996,"5,270",5.29,42,42,439.2,111,845,"5,532",6.55,56,60,461.0,both,Pac-12,2-10,12,2014
