,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,TDs,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
21,18,Colorado State,882,"6,252",7.09,58,58,480.9,85,962,"5,525",5.74,41,41,425.0,both,Mountain West,10-3,13,2014
22,66,Duke,963,"5,178",5.38,47,52,398.3,67,985,"5,196",5.28,33,34,399.7,both,ACC,9-4,13,2014
23,5,East Carolina,"1,070","6,929",6.48,59,61,533.0,37,937,"4,775",5.1,36,41,367.3,both,AAC,8-5,13,2014
24,121,Eastern Mich.,779,"3,475",4.46,22,23,289.6,118,887,"5,985",6.75,61,65,498.8,both,MAC,2-10,12,2014
25,120,FIU,812,"3,518",4.33,26,33,293.2,35,812,"4,365",5.38,35,37,363.8,both,C-USA,4-8,12,2014
26,101,Fla. Atlantic,808,"4,357",5.39,32,35,363.1,110,887,"5,529",6.23,52,53,460.8,both,C-USA,3-9,12,2014
27,93,Florida,841,"4,411",5.24,40,44,367.6,15,869,"3,957",4.55,25,30,329.8,both,SEC,7-5,12,2014
28,35,Florida State,967,"6,179",6.39,53,56,441.4,61,"1,008","5,557",5.51,43,44,396.9,both,ACC,13-1,14,2014
29,59,Fresno State,"1,096","5,685",5.19,47,49,406.1,108,"1,018","6,384",6.27,56,58,456.0,both,Mountain West,6-8,14,2014
30,28,Georgia,877,"5,951",6.79,62,70,457.8,17,905,"4,384",4.84,36,36,337.2,both,SEC,10-3,13,2014
31,85,Georgia State,836,"4,504",5.39,36,36,375.3,116,908,"5,965",6.57,64,67,497.1,both,Sun Belt,1-11,12,2014
32,19,Georgia Tech,993,"6,671",6.72,66,72,476.5,79,911,"5,758",6.32,43,44,411.3,both,ACC,11-3,14,2014
33,98,Hawaii,993,"4,737",4.77,30,31,364.4,82,958,"5,436",5.67,45,47,418.2,both,Mountain West,4-9,13,2014
34,55,Houston,945,"5,383",5.7,46,49,414.1,20,915,"4,464",4.88,33,33,343.4,both,AAC,8-5,13,2014
35,53,Idaho,881,"4,592",5.21,35,35,417.5,112,734,"5,090",6.93,50,54,462.7,both,Sun Belt,1-10,11,2014
36,94,Illinois,883,"4,774",5.41,41,45,367.2,109,987,"5,933",6.01,51,56,456.4,both,Big Ten,6-7,13,2014
37,61,Indiana,852,"4,860",5.7,36,37,405.0,93,890,"5,205",5.85,46,48,433.8,both,Big Ten,4-8,12,2014
38,63,Iowa,951,"5,201",5.47,43,47,400.1,22,847,"4,475",5.28,37,41,344.2,both,Big Ten,7-6,13,2014
39,89,Iowa State,912,"4,470",4.9,33,35,372.5,125,972,"6,347",6.53,55,58,528.9,both,Big 12,2-10,12,2014
40,115,Kansas,842,"3,889",4.62,25,27,324.1,106,865,"5,438",6.29,44,47,453.2,both,Big 12,3-9,12,2014
41,47,Kansas State,891,"5,481",6.15,53,57,421.6,41,879,"4,801",5.46,37,39,369.3,both,Big 12,9-4,13,2014
42,116,Kent State,719,"3,470",4.83,22,22,315.5,88,823,"4,733",5.75,37,39,430.3,both,MAC,2-9,11,2014
43,79,Kentucky,849,"4,612",5.43,35,41,384.3,75,888,"4,883",5.5,42,48,406.9,both,SEC,5-7,12,2014
44,77,LSU,897,"5,037",5.62,42,46,387.5,9,845,"4,119",4.87,26,27,316.8,both,SEC,8-5,13,2014
45,54,Louisiana,918,"5,426",5.91,46,47,417.4,72,898,"5,276",5.88,40,43,405.8,both,Sun Belt,9-4,13,2014
46,62,Louisiana Tech,957,"5,611",5.86,62,68,400.8,34,"1,028","5,075",4.94,38,41,362.5,both,C-USA,9-5,14,2014
47,69,Louisville,939,"5,131",5.46,49,51,394.7,6,845,"4,011",4.75,26,31,308.5,both,ACC,9-4,13,2014
48,2,Marshall,"1,032","7,829",7.59,80,84,559.2,31,"1,056","4,999",4.73,36,36,357.1,both,C-USA,13-1,14,2014
49,109,Maryland,846,"4,447",5.26,40,45,342.1,95,"1,040","5,671",5.45,43,46,436.2,both,Big Ten,7-6,13,2014
50,48,Massachusetts,879,"5,053",5.75,43,45,421.1,101,934,"5,370",5.75,49,51,447.5,both,MAC,3-9,12,2014
51,46,Memphis,"1,012","5,552",5.49,54,58,427.1,27,959,"4,544",4.74,30,32,349.5,both,AAC,10-3,13,2014
52,44,Miami,837,"5,594",6.68,45,47,430.3,14,895,"4,285",4.79,35,40,329.6,both,FL ,6-7,13,2014
53,85,Miami,826,"4,504",5.45,34,35,375.3,94,864,"5,211",6.03,47,50,434.3,both,OH ,2-10,12,2014
54,112,Michigan,751,"3,996",5.32,27,29,333.0,7,783,"3,736",4.77,27,31,311.3,both,Big Ten,5-7,12,2014
55,11,Michigan State,994,"6,510",6.55,70,74,500.8,8,807,"4,105",5.09,35,36,315.8,both,Big Ten,11-2,13,2014
56,43,Middle Tenn.,873,"5,176",5.93,48,51,431.3,105,927,"5,427",5.85,45,48,452.3,both,C-USA,6-6,12,2014
57,103,Minnesota,853,"4,645",5.45,44,48,357.3,39,882,"4,786",5.43,38,40,368.2,both,Big Ten,8-5,13,2014
58,8,Mississippi State,"1,001","6,679",6.67,60,64,513.8,84,977,"5,517",5.65,34,35,424.4,both,SEC,10-3,13,2014
59,95,Missouri,954,"5,138",5.39,42,48,367.0,23,"1,005","4,850",4.83,36,36,346.4,both,SEC,11-3,14,2014
60,57,NC State,889,"5,311",5.97,50,51,408.5,46,926,"4,850",5.24,40,44,373.1,both,ACC,8-5,13,2014
61,36,NIU,"1,073","6,177",5.76,55,56,441.2,57,997,"5,483",5.5,42,45,391.6,both,MAC,11-3,14,2014
62,50,Navy,857,"5,453",6.36,54,55,419.5,70,901,"5,250",5.83,40,45,403.8,both,FBS Independent,8-5,13,2014
63,31,Nebraska,946,"5,880",6.22,59,64,452.3,52,929,"4,988",5.37,40,44,383.7,both,Big Ten,9-4,13,2014
64,68,Nevada,966,"5,169",5.35,45,48,397.6,100,991,"5,812",5.86,43,45,447.1,both,Mountain West,7-6,13,2014
65,64,New Mexico,735,"4,794",6.52,41,45,399.5,124,913,"6,228",6.82,58,58,519.0,both,Mountain West,4-8,12,2014
66,49,New Mexico State,921,"5,051",5.48,38,39,420.9,113,893,"5,813",6.51,56,61,484.4,both,Sun Belt,2-10,12,2014
67,45,North Carolina,"1,005","5,587",5.56,55,60,429.8,117,991,"6,472",6.53,64,67,497.8,both,ACC,6-7,13,2014
68,114,North Texas,803,"3,911",4.87,34,40,325.9,42,809,"4,433",5.48,41,48,369.4,both,C-USA,4-8,12,2014
69,104,Northwestern,941,"4,237",4.5,30,33,353.1,53,878,"4,611",5.25,35,39,384.3,both,Big Ten,5-7,12,2014
70,32,Notre Dame,947,"5,784",6.11,54,55,444.9,71,938,"5,254",5.6,44,49,404.2,both,FBS Independent,8-5,13,2014
71,91,Ohio,845,"4,443",5.26,27,28,370.3,59,848,"4,732",5.58,35,38,394.3,both,MAC,6-6,12,2014
72,9,Ohio State,"1,099","7,674",6.98,83,90,511.6,19,"1,032","5,136",4.98,41,43,342.4,both,Big Ten,14-1,15,2014
73,23,Oklahoma,943,"6,041",6.41,57,62,464.7,51,968,"4,974",5.14,38,43,382.6,both,Big 12,8-5,13,2014
74,82,Oklahoma State,907,"4,925",5.43,37,42,378.8,91,970,"5,616",5.79,47,51,432.0,both,Big 12,7-6,13,2014
75,51,Ole Miss,904,"5,448",6.03,45,49,419.1,13,915,"4,277",4.67,21,24,329.0,both,,9-4,13,2014
76,3,Oregon,"1,118","8,205",7.34,86,90,547.0,87,"1,168","6,445",5.52,43,43,429.7,both,Pac-12,13-2,15,2014
77,72,Oregon State,848,"4,722",5.57,34,36,393.5,74,847,"4,875",5.76,44,47,406.3,both,Pac-12,5-7,12,2014
78,111,Penn State,948,"4,359",4.6,26,28,335.3,2,849,"3,623",4.27,24,27,278.7,both,Big Ten,7-6,13,2014
79,40,Pittsburgh,918,"5,660",6.17,52,52,435.4,33,837,"4,677",5.59,43,45,359.8,both,,6-7,13,2014
80,108,Purdue,836,"4,135",4.95,33,34,344.6,80,894,"4,992",5.58,45,48,416.0,both,Big Ten,3-9,12,2014
81,65,Rice,923,"5,190",5.62,47,48,399.2,54,874,"5,017",5.74,46,48,385.9,both,C-USA,8-5,13,2014
82,73,Rutgers,846,"5,070",5.99,43,43,390.0,98,901,"5,756",6.39,50,51,442.8,both,Big Ten,8-5,13,2014
83,124,SMU,792,"3,228",4.08,15,15,269.0,119,905,"5,993",6.62,59,63,499.4,both,AAC,1-11,12,2014
84,71,San Diego State,866,"5,128",5.92,36,38,394.5,16,877,"4,322",4.93,32,33,332.5,both,Mountain West,7-6,13,2014
85,70,San Jose State,904,"4,734",5.24,27,28,394.5,32,777,"4,287",5.52,41,45,357.3,both,Mountain West,3-9,12,2014
86,84,South Alabama,949,"4,888",5.15,33,34,376.0,65,927,"5,186",5.59,41,43,398.9,both,Sun Belt,6-7,13,2014
87,33,South Carolina,947,"5,764",6.09,51,53,443.4,92,904,"5,625",6.22,45,48,432.7,both,SEC,7-6,13,2014
88,118,South Fla.,740,"3,656",4.94,22,24,304.7,69,849,"4,833",5.69,38,41,402.8,both,AAC,4-8,12,2014
89,29,Southern California,984,"5,948",6.04,57,63,457.5,76,"1,001","5,303",5.3,40,42,407.9,both,Pac-12,9-4,13,2014
90,97,Southern Miss.,858,"4,380",5.1,23,25,365.0,104,845,"5,417",6.41,51,56,451.4,both,C-USA,3-9,12,2014
91,75,Stanford,858,"5,052",5.89,42,44,388.6,3,873,"3,671",4.21,24,26,282.4,both,Pac-12,8-5,13,2014
92,113,Syracuse,807,"3,959",4.91,18,22,329.9,26,838,"4,190",5.0,28,33,349.2,both,ACC,3-9,12,2014
93,5,TCU,"1,038","6,929",6.68,69,77,533.0,18,953,"4,443",4.66,26,28,341.8,both,Big 12,12-1,13,2014
94,117,Temple,772,"3,701",4.79,24,33,308.4,24,876,"4,165",4.75,21,24,347.1,both,AAC,6-6,12,2014
95,90,Tennessee,977,"4,817",4.93,43,45,370.5,36,892,"4,740",5.31,39,41,364.6,both,SEC,7-6,13,2014
96,110,Texas,892,"4,385",4.92,32,34,337.3,25,968,"4,531",4.68,30,39,348.5,both,Big 12,6-7,13,2014
97,30,Texas A&M,935,"5,920",6.33,59,60,455.4,102,992,"5,860",5.91,42,45,450.8,both,SEC,8-5,13,2014
98,24,Texas State,920,"5,573",6.06,51,53,464.4,99,938,"5,353",5.71,39,42,446.1,both,Sun Belt,7-5,12,2014
99,10,Texas Tech,914,"6,049",6.62,48,49,504.1,122,986,"6,152",6.24,63,63,512.7,both,Big 12,4-8,12,2014
100,15,Toledo,973,"6,377",6.55,59,61,490.5,76,912,"5,303",5.81,50,51,407.9,both,MAC,9-4,13,2014
101,100,Troy,817,"4,359",5.34,30,33,363.3,107,854,"5,448",6.38,54,56,454.0,both,Sun Belt,3-9,12,2014
102,107,Tulane,862,"4,161",4.83,24,24,346.8,55,824,"4,654",5.65,34,41,387.8,both,AAC,3-9,12,2014
103,56,Tulsa,958,"4,950",5.17,34,37,412.5,114,841,"5,841",6.95,59,62,486.8,both,AAC,2-10,12,2014
104,42,UAB,941,"5,182",5.51,44,52,431.8,73,858,"4,873",5.68,42,49,406.1,both,C-USA,6-6,12,2014
105,99,UCF,942,"4,727",5.02,42,43,363.6,5,869,"3,881",4.47,27,29,298.5,both,AAC,9-4,13,2014
106,22,UCLA,992,"6,082",6.13,50,55,467.8,63,"1,002","5,181",5.17,41,45,398.5,both,Pac-12,10-3,13,2014
107,123,UConn,736,"3,315",4.5,20,23,276.3,49,871,"4,543",5.22,39,45,378.6,both,AAC,2-10,12,2014
108,106,ULM,892,"4,193",4.7,24,26,349.4,47,844,"4,479",5.31,38,41,373.3,both,Sun Belt,4-8,12,2014
109,78,UNLV,964,"5,036",5.22,34,34,387.4,123,"1,014","6,675",6.58,62,63,513.5,both,Mountain West,2-11,13,2014
110,105,UTEP,860,"4,559",5.3,39,44,350.7,38,760,"4,785",6.3,45,49,368.1,both,C-USA,7-6,13,2014
111,119,UTSA,796,"3,570",4.48,22,22,297.5,43,848,"4,436",5.23,32,36,369.7,both,C-USA,4-8,12,2014
112,76,Utah,943,"5,045",5.35,41,49,388.1,58,957,"5,115",5.34,35,40,393.5,both,Pac-12,9-4,13,2014
113,83,Utah State,901,"5,303",5.89,42,49,378.8,30,"1,047","4,985",4.76,32,33,356.1,both,Mountain West,10-4,14,2014
114,122,Vanderbilt,740,"3,460",4.68,20,26,288.3,68,844,"4,825",5.72,42,50,402.1,both,SEC,3-9,12,2014
115,87,Virginia,883,"4,490",5.08,31,35,374.2,28,825,"4,238",5.14,30,36,353.2,both,ACC,5-7,12,2014
116,96,Virginia Tech,963,"4,749",4.93,31,36,365.3,21,868,"4,469",5.15,28,30,343.8,both,ACC,7-6,13,2014
117,125,Wake Forest,768,"2,595",3.38,16,19,216.3,40,849,"4,431",5.22,32,38,369.3,both,ACC,3-9,12,2014
118,74,Washington,"1,007","5,441",5.4,42,52,388.6,78,"1,068","5,749",5.38,40,41,410.6,both,Pac-12,8-6,14,2014
119,7,Washington State,"1,014","6,210",6.12,50,50,517.5,97,859,"5,307",6.18,51,59,442.3,both,Pac-12,3-9,12,2014
120,12,West Virginia,"1,097","6,497",5.92,44,49,499.8,66,957,"5,192",5.43,38,42,399.4,both,Big 12,7-6,13,2014
121,4,Western Ky.,986,"6,950",7.05,70,76,534.6,120,996,"6,629",6.66,66,70,509.9,both,C-USA,8-5,13,2014
122,39,Western Mich.,875,"5,696",6.51,55,57,438.2,45,882,"4,825",5.47,37,40,371.2,both,MAC,8-5,13,2014
123,21,Wisconsin,970,"6,564",6.77,61,61,468.9,4,839,"4,117",4.91,34,35,294.1,both,Big Ten,11-3,14,2014
124,81,Wyoming,823,"4,571",5.55,29,31,380.9,89,790,"5,169",6.54,46,51,430.8,both,Mountain West,4-8,12,2014
