,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
0,52,Air Force,882,"4,978",5.64,43,414.8,43,732,"4,331",5.92,40,42,360.9,both,Mountain West,5-7,12,2018
1,126,Akron,764,"3,533",4.62,21,294.4,61,898,"4,657",5.19,37,41,388.1,both,MAC,4-8,12,2018
2,6,Alabama,"1,009","7,830",7.76,85,522.0,16,981,"4,793",4.89,33,35,319.5,both,SEC,14-1,15,2018
3,37,App State,859,"5,603",6.52,58,431.0,6,845,"3,744",4.43,20,21,288.0,both,Sun Belt,11-2,13,2018
4,24,Arizona,881,"5,492",6.23,43,457.7,92,904,"5,184",5.73,51,52,432.0,both,Pac-12,5-7,12,2018
5,50,Arizona State,899,"5,417",6.03,46,416.7,73,921,"5,257",5.71,37,40,404.4,both,Pac-12,7-6,13,2018
6,117,Arkansas,810,"4,028",4.97,28,335.7,79,827,"4,958",6.0,47,53,413.2,both,SEC,2-10,12,2018
7,17,Arkansas State,980,"6,061",6.18,46,466.2,45,862,"4,804",5.57,44,45,369.5,both,Sun Belt,8-5,13,2018
8,76,Army West Point,922,"5,103",5.53,54,392.5,8,688,"3,842",5.58,29,30,295.5,both,FBS Independent,11-2,13,2018
9,78,Auburn,894,"5,069",5.67,46,389.9,38,897,"4,620",5.15,25,26,355.4,both,SEC,8-5,13,2018
10,100,BYU,856,"4,744",5.54,45,364.9,18,891,"4,213",4.73,35,37,324.1,both,FBS Independent,7-6,13,2018
11,63,Ball State,924,"4,903",5.31,37,408.6,109,913,"5,403",5.92,49,51,450.3,both,MAC,4-8,12,2018
12,22,Baylor,988,"5,968",6.04,47,459.1,85,852,"5,532",6.49,50,51,425.5,both,Big 12,7-6,13,2018
13,21,Boise State,979,"5,974",6.1,55,459.5,39,820,"4,627",5.64,33,35,355.9,both,Mountain West,10-3,13,2018
14,67,Boston College,895,"4,852",5.42,48,404.3,70,935,"4,834",5.17,36,41,402.8,both,ACC,7-5,12,2018
15,105,Bowling Green,822,"4,263",5.19,38,355.3,106,834,"5,377",6.45,63,66,448.1,both,MAC,3-9,12,2018
16,55,Buffalo,"1,004","5,803",5.78,64,414.5,37,949,"4,975",5.24,46,48,355.4,both,MAC,10-4,14,2018
17,114,California,910,"4,466",4.91,29,343.5,15,898,"4,123",4.59,26,32,317.2,both,Pac-12,7-6,13,2018
18,128,Central Mich.,809,"3,056",3.78,18,254.7,36,860,"4,264",4.96,39,42,355.3,both,MAC,1-11,12,2018
19,115,Charlotte,830,"4,117",4.96,28,343.1,22,700,"4,048",5.78,37,42,337.3,both,C-USA,5-7,12,2018
20,23,Cincinnati,974,"5,960",6.12,60,458.5,11,840,"3,946",4.7,28,28,303.5,both,AAC,11-2,13,2018
21,3,Clemson,"1,076","7,908",7.35,86,527.2,5,"1,023","4,288",4.19,21,23,285.9,both,ACC,15-0,15,2018
22,87,Coastal Carolina,780,"4,552",5.84,40,379.3,110,741,"5,410",7.3,52,53,450.8,both,Sun Belt,5-7,12,2018
23,74,Colorado,872,"4,711",5.4,40,392.6,52,871,"4,563",5.24,35,39,380.3,both,Pac-12,5-7,12,2018
24,59,Colorado State,893,"4,926",5.52,34,410.5,111,798,"5,423",6.8,50,56,451.9,both,Mountain West,3-9,12,2018
25,65,Duke,956,"5,274",5.52,50,405.7,77,964,"5,314",5.51,44,48,408.8,both,ACC,8-5,13,2018
26,56,East Carolina,995,"4,973",5.0,31,414.4,101,859,"5,278",6.14,53,58,439.8,both,AAC,3-9,12,2018
27,92,Eastern Mich.,880,"4,837",5.5,44,372.1,35,922,"4,599",4.99,31,34,353.8,both,MAC,7-6,13,2018
28,46,FIU,859,"5,480",6.38,54,421.5,56,887,"5,022",5.66,39,42,386.3,both,C-USA,9-4,13,2018
29,14,Fla. Atlantic,930,"5,746",6.18,49,478.8,88,863,"5,129",5.94,49,52,427.4,both,C-USA,5-7,12,2018
30,42,Florida,890,"5,547",6.23,51,426.7,28,872,"4,463",5.12,29,30,343.3,both,SEC,10-3,13,2018
31,102,Florida State,847,"4,334",5.12,31,361.2,80,954,"4,996",5.24,46,47,416.3,both,ACC,5-7,12,2018
32,47,Fresno State,941,"5,901",6.27,57,421.5,17,954,"4,503",4.72,23,23,321.6,both,Mountain West,12-2,14,2018
33,112,Ga. Southern,760,"4,488",5.91,45,345.2,41,851,"4,642",5.45,35,35,357.1,both,Sun Belt,10-3,13,2018
34,18,Georgia,923,"6,508",7.05,64,464.9,13,890,"4,400",4.94,31,32,314.3,both,SEC,11-3,14,2018
35,89,Georgia State,815,"4,538",5.57,36,378.2,124,760,"5,874",7.73,56,58,489.5,both,Sun Belt,2-10,12,2018
36,61,Georgia Tech,871,"5,314",6.1,53,408.8,46,805,"4,805",5.97,46,50,369.6,both,ACC,7-6,13,2018
37,48,Hawaii,963,"5,878",6.1,54,419.9,100,977,"6,156",6.3,63,65,439.7,both,Mountain West,8-6,14,2018
38,7,Houston,"1,010","6,663",6.6,74,512.5,126,"1,087","6,454",5.94,61,62,496.5,both,AAC,8-5,13,2018
39,62,Illinois,822,"4,904",5.97,35,408.7,127,866,"6,100",7.04,61,64,508.3,both,Big Ten,4-8,12,2018
40,51,Indiana,909,"4,982",5.48,37,415.2,83,848,"5,085",6.0,44,45,423.8,both,Big Ten,5-7,12,2018
41,91,Iowa,896,"4,875",5.44,46,375.0,7,837,"3,817",4.56,28,28,293.6,both,Big Ten,9-4,13,2018
42,95,Iowa State,829,"4,823",5.82,40,371.0,33,898,"4,539",5.05,33,37,349.2,both,Big 12,8-5,13,2018
43,109,Kansas,815,"4,210",5.17,32,350.8,81,829,"5,022",6.06,44,46,418.5,both,Big 12,3-9,12,2018
44,113,Kansas State,797,"4,136",5.19,31,344.7,71,814,"4,841",5.95,34,37,403.4,both,Big 12,5-7,12,2018
45,82,Kent State,914,"4,603",5.04,34,383.6,117,895,"5,607",6.26,58,60,467.3,both,MAC,2-10,12,2018
46,103,Kentucky,832,"4,691",5.64,41,360.8,23,838,"4,393",5.24,26,27,337.9,both,SEC,10-3,13,2018
47,68,LSU,950,"5,227",5.5,46,402.1,25,915,"4,403",4.81,33,35,338.7,both,SEC,10-3,13,2018
48,44,Louisiana,901,"5,940",6.59,58,424.3,97,966,"6,102",6.32,59,62,435.9,both,Sun Belt,7-7,14,2018
49,84,Louisiana Tech,915,"4,967",5.43,38,382.1,27,880,"4,437",5.04,39,39,341.3,both,C-USA,8-5,13,2018
50,108,Louisville,797,"4,231",5.31,28,352.6,122,843,"5,802",6.88,65,71,483.5,both,ACC,2-10,12,2018
