,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
0,51,Air Force,947,"5,502",5.81,52,423.2,4,737,"3,855",5.23,33,34,296.5,both,Mountain West,10-3,13,2021
1,106,Akron,783,"4,089",5.22,29,340.8,122,783,"5,628",7.19,58,62,469.0,both,MAC,2-10,12,2021
2,7,Alabama,"1,119","7,323",6.54,69,488.2,7,956,"4,561",4.77,34,36,304.1,both,SEC,13-2,15,2021
3,30,App State,980,"6,178",6.3,55,441.3,33,923,"4,868",5.27,36,37,347.7,both,Sun Belt,10-4,14,2021
4,101,Arizona,870,"4,271",4.91,18,355.9,57,756,"4,452",5.89,42,48,371.0,both,Pac-12,1-11,12,2021
5,75,Arizona State,807,"5,018",6.22,46,386.0,13,853,"4,238",4.97,31,31,326.0,both,Pac-12,8-5,13,2021
6,27,Arkansas,902,"5,742",6.37,48,441.7,50,884,"4,780",5.41,33,35,367.7,both,SEC,9-4,13,2021
7,69,Arkansas State,874,"4,756",5.44,31,396.3,129,840,"6,069",7.22,58,62,505.8,both,Sun Belt,2-10,12,2021
8,83,Army West Point,868,"4,881",5.62,57,375.5,15,739,"4,269",5.78,34,37,328.4,both,FBS Independent,9-4,13,2021
9,67,Auburn,899,"5,219",5.81,39,401.5,61,919,"4,860",5.29,31,32,373.8,both,SEC,6-7,13,2021
10,17,BYU,868,"5,884",6.78,56,452.6,74,881,"5,047",5.73,38,38,388.2,both,FBS Independent,10-3,13,2021
11,110,Ball State,884,"4,398",4.98,35,338.3,96,925,"5,452",5.89,39,44,419.4,both,MAC,6-7,13,2021
12,53,Baylor,937,"5,918",6.32,53,422.7,31,940,"4,843",5.15,29,29,345.9,both,Big 12,12-2,14,2021
13,78,Boise State,870,"4,572",5.26,35,381.0,45,801,"4,373",5.46,26,26,364.4,both,Mountain West,7-5,12,2021
14,103,Boston College,783,"4,201",5.37,34,350.1,28,760,"4,131",5.44,29,32,344.2,both,ACC,6-6,12,2021
