,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
57,90,Miami,185,"1,096",5.92,10,365.3,53,195,"1,181",6.06,11,11,393.7,both,OH ,2-1,3,2020
58,78,Michigan,385,"2,291",5.95,21,381.8,89,466,"2,606",5.59,26,26,434.3,both,Big Ten,2-4,6,2020
59,109,Michigan State,481,"2,312",4.81,13,330.3,54,527,"2,777",5.27,28,32,396.7,both,Big Ten,2-5,7,2020
60,89,Middle Tenn.,636,"3,293",5.18,25,365.9,100,663,"4,014",6.05,40,41,446.0,both,C-USA,3-6,9,2020
61,69,Minnesota,482,"2,737",5.68,26,391.0,72,422,"2,911",6.9,27,28,415.9,both,Big Ten,3-4,7,2020
62,104,Mississippi State,761,"3,742",4.92,25,340.2,52,780,"4,287",5.5,34,38,389.7,both,SEC,4-7,11,2020
63,59,Missouri,714,"4,020",5.63,30,402.0,66,669,"4,080",6.1,40,42,408.0,both,SEC,5-5,10,2020
64,74,NC State,834,"4,624",5.54,44,385.3,71,909,"4,980",5.48,38,41,415.0,both,ACC,8-4,12,2020
65,88,NIU,442,"2,205",4.99,18,367.5,74,379,"2,513",6.63,24,30,418.8,both,MAC,0-6,6,2020
66,124,Navy,607,"2,750",4.53,21,275.0,49,644,"3,855",5.99,34,34,385.5,both,AAC,3-7,10,2020
67,66,Nebraska,563,"3,132",5.56,20,391.5,50,566,"3,092",5.46,25,27,386.5,both,Big Ten,3-5,8,2020
68,30,Nevada,615,"3,973",6.46,34,441.4,42,630,"3,399",5.4,25,26,377.7,both,Mountain West,7-2,9,2020
69,64,New Mexico,504,"2,756",5.47,20,393.7,101,460,"3,130",6.8,27,28,447.1,both,Mountain West,2-5,7,2020
70,5,North Carolina,849,"6,447",7.59,66,537.2,58,829,"4,811",5.8,42,44,400.9,both,ACC,8-4,12,2020
71,8,North Texas,779,"5,132",6.59,46,513.2,127,752,"5,221",6.94,57,58,522.1,both,C-USA,4-6,10,2020
72,93,Northwestern,678,"3,246",4.79,28,360.7,22,632,"3,071",4.86,13,14,341.2,both,Big Ten,7-2,9,2020
73,26,Notre Dame,868,"5,382",6.2,48,448.5,25,742,"4,123",5.56,26,27,343.6,both,ACC,10-2,12,2020
74,92,Ohio,171,"1,088",6.36,12,362.7,51,213,"1,167",5.48,6,6,389.0,both,MAC,2-1,3,2020
75,7,Ohio State,570,"4,155",7.29,41,519.4,59,549,"3,213",5.85,26,27,401.6,both,Big Ten,7-1,8,2020
76,11,Oklahoma,781,"5,442",6.97,57,494.7,29,743,"3,857",5.19,30,30,350.6,both,Big 12,9-2,11,2020
77,39,Oklahoma State,849,"4,695",5.53,35,426.8,44,784,"4,169",5.32,31,32,379.0,both,Big 12,8-3,11,2020
78,3,Ole Miss,797,"5,555",6.97,53,555.5,126,778,"5,190",6.67,47,50,519.0,both,SEC,5-5,10,2020
79,49,Oregon,428,"2,890",6.75,28,412.9,62,531,"2,841",5.35,24,25,405.9,both,Pac-12,4-3,7,2020
80,56,Oregon State,491,"2,862",5.83,26,408.9,95,477,"3,096",6.49,28,29,442.3,both,Pac-12,2-5,7,2020
81,37,Penn State,709,"3,873",5.46,32,430.3,17,585,"2,959",5.06,28,31,328.8,both,Big Ten,4-5,9,2020
82,79,Pittsburgh,814,"4,176",5.13,34,379.6,20,765,"3,735",4.88,34,35,339.5,both,ACC,6-5,11,2020
83,70,Purdue,411,"2,343",5.7,19,390.5,56,445,"2,394",5.38,21,22,399.0,both,Big Ten,2-4,6,2020
84,107,Rice,349,"1,658",4.75,12,331.6,23,300,"1,708",5.69,10,11,341.6,both,C-USA,2-3,5,2020
85,105,Rutgers,658,"3,052",4.64,27,339.1,104,687,"4,042",5.88,35,36,449.1,both,Big Ten,3-6,9,2020
86,12,SMU,753,"4,945",6.57,47,494.5,78,748,"4,222",5.64,41,41,422.2,both,AAC,7-3,10,2020
87,97,San Diego State,560,"2,806",5.01,20,350.8,3,520,"2,268",4.36,16,16,283.5,both,Mountain West,4-4,8,2020
88,36,San Jose State,524,"3,447",6.58,27,430.9,26,559,"2,769",4.95,18,20,346.1,both,Mountain West,7-1,8,2020
89,95,South Alabama,770,"3,944",5.12,25,358.5,92,745,"4,800",6.44,37,37,436.4,both,Sun Belt,4-7,11,2020
90,96,South Carolina,664,"3,551",5.35,29,355.1,105,688,"4,515",6.56,44,47,451.5,both,SEC,2-8,10,2020
91,90,South Fla.,650,"3,288",5.06,23,365.3,94,656,"3,973",6.06,41,47,441.4,both,AAC,1-8,9,2020
92,46,Southern California,449,"2,500",5.57,25,416.7,40,404,"2,218",5.49,18,19,369.7,both,Pac-12,5-1,6,2020
93,83,Southern Miss.,643,"3,720",5.79,30,372.0,60,697,"4,017",5.76,41,42,401.7,both,C-USA,3-7,10,2020
94,45,Stanford,420,"2,521",6.0,22,420.2,93,400,"2,632",6.58,24,25,438.7,both,Pac-12,4-2,6,2020
95,125,Syracuse,656,"2,918",4.45,20,265.3,112,877,"5,103",5.82,43,45,463.9,both,ACC,1-10,11,2020
96,51,TCU,685,"4,110",6.0,34,411.0,30,659,"3,509",5.32,27,29,350.9,both,Big 12,6-4,10,2020
97,100,Temple,524,"2,438",4.65,16,348.3,87,473,"3,031",6.41,33,34,433.0,both,AAC,1-6,7,2020
98,102,Tennessee,660,"3,462",5.25,26,346.2,65,699,"4,074",5.83,30,35,407.4,both,SEC,3-7,10,2020
99,19,Texas,715,"4,754",6.65,52,475.4,64,779,"4,066",5.22,33,34,406.6,both,Big 12,7-3,10,2020
100,33,Texas A&M,678,"4,392",6.48,41,439.2,9,593,"3,173",5.35,25,27,317.3,both,SEC,9-1,10,2020
101,85,Texas State,778,"4,436",5.7,41,369.7,125,939,"5,939",6.32,55,58,494.9,both,Sun Belt,2-10,12,2020
102,38,Texas Tech,735,"4,295",5.84,35,429.5,99,777,"4,449",5.73,41,45,444.9,both,Big 12,4-6,10,2020
103,13,Toledo,462,"2,964",6.42,26,494.0,36,406,"2,173",5.35,18,18,362.2,both,MAC,4-2,6,2020
104,65,Troy,784,"4,321",5.51,33,392.8,61,806,"4,456",5.53,33,34,405.1,both,Sun Belt,5-6,11,2020
105,63,Tulane,829,"4,725",5.7,53,393.8,77,900,"5,064",5.63,43,45,422.0,both,AAC,6-6,12,2020
106,52,Tulsa,662,"3,694",5.58,28,410.4,19,638,"2,997",4.7,19,21,333.0,both,AAC,6-3,9,2020
107,60,UAB,610,"3,612",5.92,31,401.3,7,597,"2,800",4.69,20,23,311.1,both,C-USA,6-3,9,2020
108,2,UCF,859,"5,681",6.61,55,568.1,123,794,"4,918",6.19,43,44,491.8,both,AAC,6-4,10,2020
109,21,UCLA,519,"3,185",6.14,31,455.0,69,527,"2,869",5.44,27,28,409.9,both,Pac-12,3-4,7,2020
110,119,ULM,631,"3,057",4.84,23,305.7,113,678,"4,646",6.85,49,56,464.6,both,Sun Belt,0-10,10,2020
111,108,UNLV,420,"1,983",4.72,13,330.5,119,404,"2,893",7.16,28,28,482.2,both,Mountain West,0-6,6,2020
112,101,UTEP,539,"2,785",5.17,23,348.1,46,499,"3,050",6.11,33,33,381.2,both,C-USA,3-5,8,2020
113,47,UTSA,866,"4,984",5.76,40,415.3,47,818,"4,600",5.62,38,40,383.3,both,C-USA,7-5,12,2020
114,53,Utah,347,"2,049",5.9,15,409.8,37,332,"1,825",5.5,15,16,365.0,both,Pac-12,3-2,5,2020
115,123,Utah State,362,"1,655",4.57,10,275.8,120,444,"2,912",6.56,28,28,485.3,both,Mountain West,1-5,6,2020
116,110,Vanderbilt,630,"2,970",4.71,17,330.0,121,603,"4,387",7.28,43,44,487.4,both,SEC,0-9,9,2020
117,42,Virginia,745,"4,233",5.68,38,423.3,96,693,"4,429",6.39,33,34,442.9,both,ACC,5-5,10,2020
118,31,Virginia Tech,727,"4,848",6.67,40,440.7,103,795,"4,922",6.19,43,45,447.5,both,ACC,5-6,11,2020
119,28,Wake Forest,690,"4,000",5.8,36,444.4,90,663,"3,921",5.91,37,37,435.7,both,ACC,4-5,9,2020
120,57,Washington,267,"1,611",6.03,15,402.8,27,259,"1,385",5.35,13,14,346.2,both,Pac-12,3-1,4,2020
121,75,Washington State,262,"1,536",5.86,14,384.0,111,276,"1,847",6.69,20,21,461.8,both,Pac-12,1-3,4,2020
122,50,West Virginia,759,"4,126",5.44,31,412.6,4,626,"2,914",4.65,23,26,291.4,both,Big 12,6-4,10,2020
123,120,Western Ky.,758,"3,484",4.6,24,290.3,28,827,"4,184",5.06,36,39,348.7,both,C-USA,5-7,12,2020
124,16,Western Mich.,392,"2,878",7.34,32,479.7,57,428,"2,398",5.6,25,25,399.7,both,MAC,4-2,6,2020
125,103,Wisconsin,495,"2,419",4.89,23,345.6,5,419,"2,099",5.01,14,15,299.9,both,Big Ten,4-3,7,2020
126,82,Wyoming,409,"2,237",5.47,17,372.8,16,399,"1,968",4.93,15,16,328.0,both,Mountain West,2-4,6,2020
