,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
0,72,Air Force,373,"2,336",6.26,19,389.3,6,360,"1,820",5.06,11,12,303.3,both,Mountain West,3-3,6,2020
1,121,Akron,360,"1,687",4.69,12,281.2,110,365,"2,759",7.56,31,34,459.8,both,MAC,1-5,6,2020
2,4,Alabama,902,"7,041",7.81,79,541.6,32,909,"4,579",5.04,30,30,352.2,both,SEC,13-0,13,2020
3,23,App State,845,"5,424",6.42,49,452.0,18,798,"3,946",4.94,27,30,328.8,both,Sun Belt,9-3,12,2020
4,86,Arizona,373,"1,847",4.95,10,369.4,116,351,"2,365",6.74,25,26,473.0,both,Pac-12,0-5,5,2020
5,20,Arizona State,252,"1,834",7.28,21,458.5,91,322,"1,743",5.41,13,13,435.8,both,Pac-12,2-2,4,2020
6,66,Arkansas,678,"3,915",5.77,31,391.5,106,799,"4,517",5.65,39,43,451.7,both,SEC,3-7,10,2020
7,14,Arkansas State,849,"5,387",6.35,46,489.7,115,821,"5,171",6.3,51,53,470.1,both,Sun Belt,4-7,11,2020
8,116,Army West Point,792,"3,813",4.81,40,317.8,1,661,"3,304",5.0,21,23,275.3,both,FBS Independent,9-3,12,2020
9,77,Auburn,754,"4,211",5.58,28,382.8,63,794,"4,466",5.62,36,36,406.0,both,SEC,6-5,11,2020
10,6,BYU,799,"6,266",7.84,68,522.2,10,793,"3,809",4.8,23,23,317.4,both,FBS Independent,11-1,12,2020
11,27,Ball State,617,"3,578",5.8,32,447.2,84,579,"3,439",5.94,26,27,429.9,both,MAC,7-1,8,2020
12,118,Baylor,629,"2,792",4.44,22,310.2,48,625,"3,451",5.52,32,33,383.4,both,Big 12,2-7,9,2020
13,98,Boise State,451,"2,443",5.42,25,349.0,41,497,"2,613",5.26,23,23,373.3,both,Mountain West,5-2,7,2020
14,73,Boston College,751,"4,245",5.65,34,385.9,73,750,"4,585",6.11,39,39,416.8,both,ACC,6-5,11,2020
15,111,Bowling Green,314,"1,632",5.2,6,326.4,117,356,"2,379",6.68,28,30,475.8,both,MAC,0-5,5,2020
16,18,Buffalo,457,"3,349",7.33,39,478.4,35,483,"2,513",5.2,18,19,359.0,both,MAC,6-1,7,2020
17,114,California,286,"1,278",4.47,10,319.5,38,258,"1,468",5.69,14,14,367.0,both,Pac-12,1-3,4,2020
18,44,Central Mich.,433,"2,522",5.82,23,420.3,82,439,"2,566",5.85,22,23,427.7,both,MAC,3-3,6,2020
19,81,Charlotte,416,"2,266",5.45,21,377.7,75,384,"2,517",6.55,25,26,419.5,both,C-USA,2-4,6,2020
20,24,Cincinnati,676,"4,510",6.67,49,451.0,13,710,"3,246",4.57,17,18,324.6,both,AAC,9-1,10,2020
21,10,Clemson,901,"6,028",6.69,64,502.3,15,781,"3,922",5.02,26,30,326.8,both,ACC,10-2,12,2020
22,25,Coastal Carolina,805,"5,398",6.71,59,449.8,31,770,"4,223",5.48,28,29,351.9,both,Sun Belt,11-1,12,2020
23,48,Colorado,454,"2,483",5.47,21,413.8,76,416,"2,522",6.06,21,22,420.3,both,Pac-12,4-2,6,2020
24,113,Colorado State,272,"1,294",4.76,10,323.5,34,298,"1,435",4.82,13,18,358.8,both,Mountain West,1-3,4,2020
25,80,Duke,829,"4,173",5.03,30,379.4,98,783,"4,893",6.25,53,56,444.8,both,ACC,2-9,11,2020
26,58,East Carolina,655,"3,624",5.53,30,402.7,102,648,"4,026",6.21,40,42,447.3,both,AAC,3-6,9,2020
27,61,Eastern Mich.,418,"2,402",5.75,23,400.3,122,460,"2,941",6.39,26,27,490.2,both,MAC,2-4,6,2020
28,122,FIU,306,"1,404",4.59,13,280.8,79,367,"2,114",5.76,17,19,422.8,both,C-USA,0-5,5,2020
29,112,Fla. Atlantic,595,"2,921",4.91,20,324.6,24,601,"3,080",5.12,15,17,342.2,both,C-USA,5-4,9,2020
30,9,Florida,840,"6,118",7.28,58,509.8,83,847,"5,136",6.06,44,48,428.0,both,SEC,8-4,12,2020
31,62,Florida State,644,"3,570",5.54,29,396.7,107,635,"4,107",6.47,41,43,456.3,both,ACC,3-6,9,2020
32,17,Fresno State,464,"2,876",6.2,26,479.3,85,420,"2,580",6.14,22,23,430.0,both,Mountain West,3-3,6,2020
33,84,Ga. Southern,814,"4,826",5.93,38,371.2,14,828,"4,234",5.11,30,33,325.7,both,Sun Belt,8-5,13,2020
34,41,Georgia,683,"4,241",6.21,37,424.1,12,661,"3,210",4.86,23,24,321.0,both,SEC,8-2,10,2020
35,40,Georgia State,750,"4,243",5.66,40,424.3,70,731,"4,103",5.61,39,43,410.3,both,Sun Belt,6-4,10,2020
36,71,Georgia Tech,691,"3,899",5.64,32,389.9,109,784,"4,593",5.86,43,46,459.3,both,ACC,3-7,10,2020
37,76,Hawaii,640,"3,455",5.4,29,383.9,68,645,"3,679",5.7,29,31,408.8,both,Mountain West,5-4,9,2020
38,55,Houston,590,"3,271",5.54,27,408.9,55,552,"3,188",5.78,28,33,398.5,both,AAC,3-5,8,2020
39,98,Illinois,521,"2,792",5.36,19,349.0,114,572,"3,738",6.53,35,37,467.2,both,Big Ten,2-6,8,2020
40,94,Indiana,570,"2,876",5.05,28,359.5,43,548,"3,025",5.52,20,21,378.1,both,Big Ten,6-2,8,2020
41,87,Iowa,544,"2,949",5.42,27,368.6,8,578,"2,510",4.34,17,17,313.8,both,Big Ten,6-2,8,2020
42,34,Iowa State,828,"5,236",6.32,51,436.3,21,761,"4,085",5.37,25,31,340.4,both,Big 12,9-3,12,2020
43,126,Kansas,637,"2,333",3.66,16,259.2,108,623,"4,133",6.63,44,52,459.2,both,Big 12,0-9,9,2020
44,106,Kansas State,601,"3,374",5.61,29,337.4,97,728,"4,447",6.11,40,42,444.7,both,Big 12,4-6,10,2020
45,1,Kent State,326,"2,426",7.44,27,606.5,80,261,"1,696",6.5,21,21,424.0,both,MAC,3-1,4,2020
46,115,Kentucky,679,"3,498",5.15,26,318.0,45,764,"4,188",5.48,36,38,380.7,both,SEC,5-6,11,2020
47,35,LSU,786,"4,339",5.52,33,433.9,124,678,"4,920",7.26,42,45,492.0,both,SEC,5-5,10,2020
48,15,Liberty,791,"5,310",6.71,52,482.7,11,667,"3,495",5.24,29,30,317.7,both,FBS Independent,10-1,11,2020
49,43,Louisiana,739,"4,637",6.27,45,421.5,33,795,"3,909",4.92,30,30,355.4,both,Sun Belt,10-1,11,2020
50,117,Louisiana Tech,703,"3,158",4.49,31,315.8,81,699,"4,273",6.11,44,45,427.3,both,C-USA,5-5,10,2020
51,29,Louisville,735,"4,886",6.65,41,444.2,39,704,"4,060",5.77,34,35,369.1,both,ACC,4-7,11,2020
52,68,Marshall,668,"3,913",5.86,37,391.3,2,635,"2,794",4.4,14,15,279.4,both,C-USA,7-3,10,2020
53,54,Maryland,310,"2,045",6.6,14,409.0,85,401,"2,150",5.36,20,20,430.0,both,Big Ten,2-3,5,2020
54,127,Massachusetts,217,750,3.46,1,187.5,118,279,"1,928",6.91,21,21,482.0,both,FBS Independent,0-4,4,2020
55,22,Memphis,819,"4,984",6.09,40,453.1,88,841,"4,777",5.68,37,39,434.3,both,AAC,8-3,11,2020
56,32,Miami,803,"4,838",6.02,44,439.8,67,803,"4,492",5.59,36,37,408.4,both,FL ,8-3,11,2020
