,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
0,49,Air Force,908,"5,010",5.52,48,417.5,66,694,"4,727",6.81,47,49,393.9,both,Mountain West,5-7,12,2017
1,121,Akron,906,"4,424",4.88,38,316.0,103,"1,030","6,200",6.02,48,49,442.9,both,MAC,7-7,14,2017
2,29,Alabama,944,"6,217",6.59,64,444.1,1,913,"3,646",3.99,17,18,260.4,both,SEC,13-1,14,2017
3,31,App State,886,"5,718",6.45,55,439.8,29,839,"4,453",5.31,28,30,342.5,both,Sun Belt,9-4,13,2017
4,12,Arizona,908,"6,364",7.01,67,489.5,118,"1,015","6,125",6.03,57,59,471.2,both,Pac-12,7-6,13,2017
5,37,Arizona State,981,"5,600",5.71,48,430.8,108,924,"5,846",6.33,51,54,449.7,both,Pac-12,7-6,13,2017
6,94,Arkansas,802,"4,481",5.59,42,373.4,101,815,"5,259",6.45,51,56,438.3,both,SEC,4-8,12,2017
7,10,Arkansas State,975,"5,937",6.09,55,494.8,54,857,"4,530",5.29,35,40,377.5,both,Sun Belt,7-5,12,2017
8,76,Army West Point,850,"5,071",5.97,52,390.1,32,727,"4,546",6.25,37,39,349.7,both,FBS Independent,10-3,13,2017
9,26,Auburn,"1,024","6,323",6.17,55,451.6,14,957,"4,471",4.67,27,31,319.4,both,SEC,10-4,14,2017
10,118,BYU,822,"4,227",5.14,25,325.2,51,906,"4,847",5.35,34,37,372.8,both,FBS Independent,4-9,13,2017
11,110,Ball State,902,"4,022",4.46,26,335.2,87,764,"5,059",6.62,56,65,421.6,both,MAC,2-10,12,2017
12,59,Baylor,876,"4,859",5.55,33,404.9,111,849,"5,483",6.46,47,52,456.9,both,Big 12,1-11,12,2017
13,57,Boise State,981,"5,686",5.8,51,406.1,22,965,"4,657",4.83,37,42,332.6,both,Mountain West,11-3,14,2017
14,84,Boston College,985,"5,027",5.1,40,386.7,57,926,"4,977",5.37,36,37,382.8,both,ACC,7-6,13,2017
15,85,Bowling Green,847,"4,640",5.48,34,386.7,125,920,"6,079",6.61,57,61,506.6,both,MAC,2-10,12,2017
