,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
0,58,Air Force,889,"5,163",5.81,45,397.2,1,657,"3,307",5.03,20,20,254.4,both,Mountain West,10-3,13,2022
1,79,Akron,875,"4,472",5.11,31,372.7,91,813,"4,874",6.0,47,51,406.2,both,MAC,2-10,12,2022
2,11,Alabama,896,"6,202",6.92,63,477.1,12,901,"4,137",4.59,27,27,318.2,both,SEC,11-2,13,2022
3,26,App State,833,"5,464",6.56,55,455.3,36,784,"4,166",5.31,38,42,347.2,both,Sun Belt,6-6,12,2022
4,20,Arizona,811,"5,543",6.83,45,461.9,124,851,"5,612",6.59,58,60,467.7,both,Pac-12,5-7,12,2022
5,66,Arizona State,789,"4,646",5.89,39,387.2,103,841,"5,058",6.01,45,46,421.5,both,Pac-12,3-9,12,2022
6,15,Arkansas,962,"6,114",6.36,53,470.3,123,936,"6,047",6.46,50,51,465.2,both,SEC,7-6,13,2022
7,117,Arkansas State,777,"3,777",4.86,32,314.8,88,835,"4,861",5.82,48,50,405.1,both,Sun Belt,3-9,12,2022
8,87,Army West Point,752,"4,393",5.84,43,366.1,44,748,"4,308",5.76,34,34,359.0,both,FBS Independent,6-6,12,2022
9,72,Auburn,796,"4,542",5.71,34,378.5,77,859,"4,744",5.52,43,45,395.3,both,SEC,5-7,12,2022
10,35,BYU,830,"5,542",6.68,51,426.3,93,904,"5,305",5.87,47,48,408.1,both,FBS Independent,8-5,13,2022
11,70,Ball State,898,"4,610",5.13,32,384.2,81,947,"4,781",5.05,40,40,398.4,both,MAC,5-7,12,2022
12,44,Baylor,927,"5,380",5.8,53,413.8,57,898,"4,823",5.37,42,44,371.0,both,Big 12,6-7,13,2022
13,68,Boise State,936,"5,419",5.79,47,387.1,6,862,"4,095",4.75,29,33,292.5,both,Mountain West,10-4,14,2022
14,120,Boston College,802,"3,718",4.64,27,309.8,66,806,"4,534",5.63,44,45,377.8,both,ACC,3-9,12,2022
15,107,Bowling Green,853,"4,353",5.1,33,334.8,102,938,"5,455",5.82,51,54,419.6,both,MAC,6-7,13,2022
16,74,Buffalo,"1,002","4,904",4.89,40,377.2,78,848,"5,140",6.06,42,44,395.4,both,MAC,7-6,13,2022
17,86,California,785,"4,399",5.6,33,366.6,110,883,"5,143",5.82,42,43,428.6,both,Pac-12,4-8,12,2022
18,83,Central Mich.,830,"4,422",5.33,38,368.5,61,863,"4,492",5.21,41,44,374.3,both,MAC,4-8,12,2022
19,67,Charlotte,800,"4,645",5.81,40,387.1,127,820,"5,805",7.08,57,62,483.8,both,CUSA,3-9,12,2022
