,Rank_offense,Team,Plays_offense,YDS_offense,Yds/Play_offense,Off TDs_offense,YPG_offense,Rank_defense,Plays_defense,YDS_defense,Yds/Play_defense,Off TDs_defense,Opp TDs,YPG_defense,_merge,Conference,Win_Loss,Games,starting_year
0,51,Air Force,881,"5,483",6.22,55,421.8,17,752,"4,155",5.53,32,34,319.6,both,Mountain West,11-2,13,2019
1,130,Akron,725,"2,918",4.02,14,243.2,83,871,"4,967",5.7,51,56,413.9,both,MAC,0-12,12,2019
2,6,Alabama,842,"6,640",7.89,76,510.8,20,877,"4,217",4.81,24,26,324.4,both,SEC,11-2,13,2019
3,39,App State,969,"6,064",6.26,65,433.1,26,940,"4,705",5.01,34,35,336.1,both,Sun Belt,13-1,14,2019
4,30,Arizona,873,"5,281",6.05,42,440.1,120,889,"5,657",6.36,53,54,471.4,both,Pac-12,4-8,12,2019
5,94,Arizona State,842,"4,837",5.74,34,372.1,67,928,"5,113",5.51,39,39,393.3,both,Pac-12,8-5,13,2019
6,111,Arkansas,783,"4,081",5.21,28,340.1,110,827,"5,408",6.54,54,57,450.7,both,SEC,2-10,12,2019
7,33,Arkansas State,925,"5,711",6.17,50,439.3,124,"1,018","6,218",6.11,55,56,478.3,both,Sun Belt,8-5,13,2019
8,89,Army West Point,869,"4,929",5.67,51,379.2,30,789,"4,450",5.64,37,38,342.3,both,FBS Independent,5-8,13,2019
9,64,Auburn,947,"5,285",5.58,51,406.5,28,905,"4,381",4.84,31,32,337.0,both,SEC,9-4,13,2019
10,28,BYU,933,"5,769",6.18,45,443.8,68,914,"5,116",5.6,36,40,393.5,both,FBS Independent,7-6,13,2019
11,16,Ball State,909,"5,556",6.11,51,463.0,91,876,"5,096",5.82,45,47,424.7,both,MAC,5-7,12,2019
12,52,Baylor,948,"5,901",6.22,59,421.5,39,"1,032","5,046",4.89,31,32,360.4,both,Big 12,11-3,14,2019
13,48,Boise State,993,"6,006",6.05,58,429.0,33,928,"4,848",5.22,39,39,346.3,both,Mountain West,12-2,14,2019
14,47,Boston College,964,"5,579",5.79,47,429.2,125,983,"6,223",6.33,48,49,478.7,both,ACC,6-7,13,2019
15,120,Bowling Green,839,"3,829",4.56,24,319.1,117,798,"5,606",7.03,60,62,467.2,both,MAC,3-9,12,2019
16,82,Buffalo,937,"5,051",5.39,50,388.5,7,780,"3,795",4.87,33,35,291.9,both,MAC,8-5,13,2019
17,117,California,841,"4,271",5.08,35,328.5,65,945,"5,076",5.37,32,32,390.5,both,Pac-12,8-5,13,2019
18,37,Central Mich.,999,"6,070",6.08,55,433.6,41,938,"5,082",5.42,45,49,363.0,both,MAC,8-6,14,2019
19,56,Charlotte,848,"5,388",6.35,50,414.5,59,824,"4,952",6.01,50,56,380.9,both,C-USA,7-6,13,2019
20,80,Cincinnati,993,"5,464",5.5,49,390.3,40,987,"5,060",5.13,32,34,361.4,both,AAC,11-3,14,2019
21,5,Clemson,"1,075","7,931",7.38,85,528.7,6,970,"4,325",4.46,24,24,288.3,both,ACC,14-1,15,2019
22,74,Coastal Carolina,854,"4,725",5.53,45,393.8,62,761,"4,603",6.05,48,50,383.6,both,Sun Belt,5-7,12,2019
23,83,Colorado,847,"4,662",5.5,32,388.5,104,815,"5,303",6.51,49,50,441.9,both,Pac-12,5-7,12,2019
24,34,Colorado State,841,"5,249",6.24,39,437.4,52,811,"4,529",5.58,42,47,377.4,both,Mountain West,4-8,12,2019
25,114,Duke,873,"3,956",4.53,34,329.7,56,852,"4,555",5.35,40,43,379.6,both,ACC,5-7,12,2019
