Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Michigan (Big Ten),15,15-0,865,"3,705",4.28,17,17,247
2,Penn St. (Big Ten),13,10-3,774,"3,219",4.16,20,20,247.6
3,Ohio St. (Big Ten),13,11-2,828,"3,450",4.17,15,15,265.4
4,Ohio (MAC),13,10-3,738,"3,556",4.82,23,24,273.5
5,Notre Dame (FBS Independent),13,10-3,809,"3,592",4.44,22,23,276.3
6,Air Force (Mountain West),13,9-4,738,"3,610",4.89,29,30,277.7
7,Iowa (Big Ten),14,10-4,970,"3,955",4.08,18,20,282.5
8,Clemson (ACC),13,9-4,797,"3,742",4.70,30,34,287.8
9,Georgia (SEC),14,13-1,848,"4,047",4.77,26,26,289.1
10,UCLA (Pac-12),13,8-5,846,"3,920",4.63,21,25,301.5
11,Nebraska (Big Ten),12,5-7,788,"3,642",4.62,23,24,303.5
12,SMU (AAC),14,11-3,927,"4,258",4.59,31,32,304.1
13,Utah (Pac-12),13,8-5,766,"3,993",5.21,30,32,307.2
14,Troy (Sun Belt),14,11-3,907,"4,314",4.76,26,27,308.1
15,South Alabama (Sun Belt),13,7-6,813,"4,072",5.01,30,34,313.2
16,Rutgers (Big Ten),13,7-6,817,"4,075",4.99,32,35,313.5
17,Ball St. (MAC),12,4-8,732,"3,790",5.18,32,35,315.8
18,Alabama (SEC),14,12-2,883,"4,424",5.01,32,32,316
19,Texas A&M (SEC),13,7-6,786,"4,110",5.23,28,34,316.2
20,Virginia Tech (ACC),13,7-6,800,"4,118",5.15,37,40,316.8
21,Louisville (ACC),14,10-4,835,"4,439",5.32,35,38,317.1
22,Oregon (Pac-12),14,12-2,893,"4,458",4.99,26,27,318.4
23,NIU (MAC),13,7-6,812,"4,154",5.12,33,33,319.5
24,Miami (FL) (ACC),13,7-6,808,"4,181",5.17,34,35,321.6
25,Bowling Green (MAC),13,7-6,809,"4,239",5.24,37,40,326.1
26,Miami (OH) (MAC),14,11-3,933,"4,625",4.96,24,25,330.4
27,Toledo (MAC),14,11-3,936,"4,645",4.96,30,33,331.8
28,Florida St. (ACC),14,13-1,925,"4,647",5.02,29,32,331.9
29,NC State (ACC),13,9-4,800,"4,317",5.40,33,34,332.1
30,Maryland (Big Ten),13,8-5,894,"4,343",4.86,31,34,334.1
31,Akron (MAC),12,2-10,776,"4,020",5.18,42,43,335
32,Tennessee (SEC),13,9-4,877,"4,357",4.97,28,30,335.2
33,Missouri (SEC),13,11-2,827,"4,369",5.28,30,31,336.1
34,Texas (Big 12),14,12-2,900,"4,714",5.24,30,30,336.7
35,Northwestern (Big Ten),13,8-5,862,"4,430",5.14,35,36,340.8
36,Tulane (AAC),14,11-3,918,"4,778",5.20,32,33,341.3
37,East Carolina (AAC),12,2-10,781,"4,096",5.24,32,33,341.3
38,Wisconsin (Big Ten),13,7-6,874,"4,472",5.12,32,33,344
39,Oregon St. (Pac-12),13,8-5,839,"4,551",5.42,37,37,350.1
40,Mississippi St. (SEC),12,5-7,789,"4,207",5.33,35,39,350.6
41,Duke (ACC),13,8-5,890,"4,585",5.15,26,27,352.7
42,San Jose St. (Mountain West),13,7-6,845,"4,591",5.43,42,44,353.2
43,Kentucky (SEC),13,7-6,880,"4,596",5.22,39,39,353.5
44,Navy (AAC),12,5-7,768,"4,244",5.53,30,35,353.7
45,Auburn (SEC),13,6-7,822,"4,643",5.65,34,36,357.2
46,Arkansas (SEC),12,4-8,755,"4,286",5.68,36,40,357.2
47,Wyoming (Mountain West),13,9-4,886,"4,651",5.25,30,32,357.8
48,Arizona (Pac-12),13,10-3,855,"4,653",5.44,34,34,357.9
