Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
49,Pittsburgh (ACC),12,3-9,810,"4,339",5.36,36,41,361.6
50,Iowa St. (Big 12),13,7-6,904,"4,721",5.22,33,36,363.2
51,Army West Point (FBS Independent),12,6-6,743,"4,370",5.88,31,31,364.2
52,Rice (AAC),13,6-7,862,"4,741",5.50,40,44,364.7
53,Buffalo (MAC),12,3-9,760,"4,405",5.80,37,40,367.1
54,Minnesota (Big Ten),13,6-7,805,"4,789",5.95,42,44,368.4
55,UTSA (AAC),13,9-4,926,"4,798",5.18,35,37,369.1
56,Fresno St. (Mountain West),13,9-4,901,"4,821",5.35,35,37,370.8
57,Kansas St. (Big 12),13,9-4,841,"4,843",5.76,31,32,372.5
58,Liberty (CUSA),14,13-1,911,"5,217",5.73,44,45,372.6
59,Charlotte (AAC),12,3-9,769,"4,490",5.84,39,40,374.2
60,Marshall (Sun Belt),13,6-7,890,"4,895",5.50,43,45,376.5
61,Illinois (Big Ten),12,5-7,858,"4,527",5.28,41,43,377.2
62,Kansas (Big 12),13,9-4,854,"4,917",5.76,42,42,378.2
63,App State (Sun Belt),14,9-5,924,"5,302",5.74,43,48,378.7
64,Coastal Carolina (Sun Belt),13,8-5,853,"4,934",5.78,36,38,379.5
65,Syracuse (ACC),13,6-7,925,"4,947",5.35,37,39,380.5
66,West Virginia (Big 12),13,9-4,856,"4,950",5.78,41,44,380.8
67,Purdue (Big Ten),12,4-8,801,"4,585",5.72,43,45,382.1
68,Ole Miss (SEC),13,11-2,910,"4,969",5.46,36,37,382.2
69,Florida (SEC),12,5-7,712,"4,587",6.44,39,40,382.2
70,Boston College (ACC),13,7-6,796,"5,006",6.29,49,49,385.1
71,Boise St. (Mountain West),14,8-6,892,"5,392",6.04,42,45,385.1
72,Hawaii (Mountain West),13,5-8,812,"5,009",6.17,50,53,385.3
73,Louisiana (Sun Belt),13,6-7,962,"5,016",5.21,46,48,385.8
74,Wake Forest (ACC),12,4-8,794,"4,640",5.84,37,40,386.7
75,UTEP (CUSA),12,3-9,765,"4,642",6.07,44,45,386.8
76,Michigan St. (Big Ten),12,4-8,806,"4,666",5.79,38,42,388.8
77,Oklahoma (Big 12),13,10-3,935,"5,062",5.41,32,35,389.4
78,Washington St. (Pac-12),12,5-7,824,"4,673",5.67,40,43,389.4
79,Texas Tech (Big 12),13,7-6,923,"5,064",5.49,35,39,389.5
80,Kent St. (MAC),12,1-11,775,"4,687",6.05,52,55,390.6
81,UCF (Big 12),13,6-7,882,"5,083",5.76,38,40,391
82,Old Dominion (Sun Belt),13,6-7,977,"5,099",5.22,41,43,392.2
83,New Mexico St. (CUSA),15,10-5,964,"5,886",6.11,41,42,392.4
84,Western Mich. (MAC),12,4-8,773,"4,720",6.11,45,48,393.3
85,Indiana (Big Ten),12,3-9,813,"4,729",5.82,43,45,394.1
86,Middle Tenn. (CUSA),12,4-8,865,"4,747",5.49,39,43,395.6
87,South Carolina (SEC),12,5-7,863,"4,748",5.50,35,37,395.7
88,Ga. Southern (Sun Belt),13,6-7,850,"5,147",6.06,50,51,395.9
89,Arizona St. (Pac-12),12,3-9,800,"4,762",5.95,44,46,396.8
90,Fla. Atlantic (AAC),12,4-8,889,"4,768",5.36,35,37,397.3
91,Texas St. (Sun Belt),13,8-5,906,"5,169",5.71,50,56,397.6
92,Eastern Mich. (MAC),13,6-7,900,"5,221",5.80,41,42,401.6
93,Cincinnati (Big 12),12,3-9,725,"4,833",6.67,44,46,402.8
94,North Carolina (ACC),13,8-5,935,"5,257",5.62,41,43,404.4
95,UConn (FBS Independent),12,3-9,798,"4,878",6.11,41,46,406.5
96,Washington (Pac-12),15,14-1,"1,057","6,101",5.77,48,48,406.7
97,San Diego St. (Mountain West),12,4-8,794,"4,883",6.15,37,38,406.9
98,Central Mich. (MAC),12,5-7,771,"4,885",6.34,44,47,407.1
99,New Mexico (Mountain West),12,4-8,727,"4,898",6.74,49,51,408.2
100,TCU (Big 12),12,5-7,867,"4,900",5.65,37,39,408.3
101,Virginia (ACC),12,3-9,812,"4,911",6.05,46,51,409.2
102,California (Pac-12),13,6-7,942,"5,383",5.71,53,55,414.1
103,UNLV (Mountain West),14,9-5,930,"5,817",6.25,49,50,415.5
104,Colorado St. (Mountain West),12,5-7,874,"4,991",5.71,38,41,415.9
105,LSU (SEC),13,10-3,882,"5,416",6.14,47,47,416.6
106,BYU (Big 12),12,5-7,847,"5,012",5.92,39,45,417.7
107,Louisiana Tech (CUSA),12,3-9,823,"5,018",6.10,50,53,418.2
108,Western Ky. (CUSA),13,8-5,939,"5,456",5.81,44,49,419.7
109,Southern Miss. (Sun Belt),12,3-9,749,"5,049",6.74,51,56,420.8
110,Baylor (Big 12),12,3-9,768,"5,056",6.58,49,52,421.3
111,Memphis (AAC),13,10-3,879,"5,502",6.26,46,48,423.2
112,Houston (Big 12),12,4-8,851,"5,087",5.98,48,50,423.9
113,Georgia St. (Sun Belt),13,7-6,879,"5,529",6.29,48,51,425.3
114,Massachusetts (FBS Independent),12,3-9,754,"5,124",6.80,54,61,427
115,South Fla. (AAC),13,7-6,926,"5,622",6.07,55,57,432.5
116,Southern California (Pac-12),13,8-5,923,"5,627",6.10,56,59,432.8
117,Utah St. (Mountain West),13,6-7,973,"5,630",5.79,58,59,433.1
118,UAB (AAC),12,4-8,846,"5,220",6.17,55,57,435
119,FIU (CUSA),12,4-8,876,"5,240",5.98,43,46,436.7
120,Georgia Tech (ACC),13,7-6,903,"5,682",6.29,46,49,437.1
121,Temple (AAC),12,3-9,841,"5,299",6.30,52,54,441.6
122,Oklahoma St. (Big 12),14,10-4,955,"6,185",6.48,50,52,441.8
123,Nevada (Mountain West),12,2-10,769,"5,302",6.89,47,50,441.8
124,Arkansas St. (Sun Belt),13,6-7,936,"5,767",6.16,47,49,443.6
125,Tulsa (AAC),12,4-8,811,"5,336",6.58,48,52,444.7
126,ULM (Sun Belt),12,2-10,887,"5,350",6.03,49,52,445.8
127,Colorado (Pac-12),12,4-8,868,"5,440",6.27,52,56,453.3
128,Vanderbilt (SEC),12,2-10,834,"5,459",6.55,49,54,454.9
129,Stanford (Pac-12),12,3-9,843,"5,540",6.57,61,63,461.7
130,North Texas (AAC),12,5-7,872,"5,717",6.56,59,60,476.4
