Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
64,Texas (Big 12),10,7-3,779,"4,066",5.22,33,34,406.6
65,Tennessee (SEC),10,3-7,699,"4,074",5.83,30,35,407.4
66,Missouri (SEC),10,5-5,669,"4,080",6.10,40,42,408
67,Miami (FL) (ACC),11,8-3,803,"4,492",5.59,36,37,408.4
68,Hawaii (Mountain West),9,5-4,645,"3,679",5.70,29,31,408.8
69,UCLA (Pac-12),7,3-4,527,"2,869",5.44,27,28,409.9
70,Georgia St. (Sun Belt),10,6-4,731,"4,103",5.61,39,43,410.3
71,NC State (ACC),12,8-4,909,"4,980",5.48,38,41,415
72,Minnesota (Big Ten),7,3-4,422,"2,911",6.90,27,28,415.9
73,Boston College (ACC),11,6-5,750,"4,585",6.11,39,39,416.8
74,NIU (MAC),6,0-6,379,"2,513",6.63,24,30,418.8
75,Charlotte (C-USA),6,2-4,384,"2,517",6.55,25,26,419.5
76,Colorado (Pac-12),6,4-2,416,"2,522",6.06,21,22,420.3
77,Tulane (AAC),12,6-6,900,"5,064",5.63,43,45,422
78,SMU (AAC),10,7-3,748,"4,222",5.64,41,41,422.2
79,FIU (C-USA),5,0-5,367,"2,114",5.76,17,19,422.8
80,Kent St. (MAC),4,3-1,261,"1,696",6.50,21,21,424
81,Louisiana Tech (C-USA),10,5-5,699,"4,273",6.11,44,45,427.3
82,Central Mich. (MAC),6,3-3,439,"2,566",5.85,22,23,427.7
83,Florida (SEC),12,8-4,847,"5,136",6.06,44,48,428
84,Ball St. (MAC),8,7-1,579,"3,439",5.94,26,27,429.9
85,Fresno St. (Mountain West),6,3-3,420,"2,580",6.14,22,23,430
85,Maryland (Big Ten),5,2-3,401,"2,150",5.36,20,20,430
87,Temple (AAC),7,1-6,473,"3,031",6.41,33,34,433
88,Memphis (AAC),11,8-3,841,"4,777",5.68,37,39,434.3
89,Michigan (Big Ten),6,2-4,466,"2,606",5.59,26,26,434.3
90,Wake Forest (ACC),9,4-5,663,"3,921",5.91,37,37,435.7
91,Arizona St. (Pac-12),4,2-2,322,"1,743",5.41,13,13,435.8
92,South Alabama (Sun Belt),11,4-7,745,"4,800",6.44,37,37,436.4
93,Stanford (Pac-12),6,4-2,400,"2,632",6.58,24,25,438.7
94,South Fla. (AAC),9,1-8,656,"3,973",6.06,41,47,441.4
95,Oregon St. (Pac-12),7,2-5,477,"3,096",6.49,28,29,442.3
96,Virginia (ACC),10,5-5,693,"4,429",6.39,33,34,442.9
97,Kansas St. (Big 12),10,4-6,728,"4,447",6.11,40,42,444.7
98,Duke (ACC),11,2-9,783,"4,893",6.25,53,56,444.8
99,Texas Tech (Big 12),10,4-6,777,"4,449",5.73,41,45,444.9
100,Middle Tenn. (C-USA),9,3-6,663,"4,014",6.05,40,41,446
101,New Mexico (Mountain West),7,2-5,460,"3,130",6.80,27,28,447.1
102,East Carolina (AAC),9,3-6,648,"4,026",6.21,40,42,447.3
103,Virginia Tech (ACC),11,5-6,795,"4,922",6.19,43,45,447.5
104,Rutgers (Big Ten),9,3-6,687,"4,042",5.88,35,36,449.1
105,South Carolina (SEC),10,2-8,688,"4,515",6.56,44,47,451.5
106,Arkansas (SEC),10,3-7,799,"4,517",5.65,39,43,451.7
107,Florida St. (ACC),9,3-6,635,"4,107",6.47,41,43,456.3
108,Kansas (Big 12),9,0-9,623,"4,133",6.63,44,52,459.2
109,Georgia Tech (ACC),10,3-7,784,"4,593",5.86,43,46,459.3
110,Akron (MAC),6,1-5,365,"2,759",7.56,31,34,459.8
111,Washington St. (Pac-12),4,1-3,276,"1,847",6.69,20,21,461.8
112,Syracuse (ACC),11,1-10,877,"5,103",5.82,43,45,463.9
113,ULM (Sun Belt),10,0-10,678,"4,646",6.85,49,56,464.6
114,Illinois (Big Ten),8,2-6,572,"3,738",6.53,35,37,467.2
115,Arkansas St. (Sun Belt),11,4-7,821,"5,171",6.30,51,53,470.1
116,Arizona (Pac-12),5,0-5,351,"2,365",6.74,25,26,473
117,Bowling Green (MAC),5,0-5,356,"2,379",6.68,28,30,475.8
118,Massachusetts (FBS Independent),4,0-4,279,"1,928",6.91,21,21,482
119,UNLV (Mountain West),6,0-6,404,"2,893",7.16,28,28,482.2
120,Utah St. (Mountain West),6,1-5,444,"2,912",6.56,28,28,485.3
121,Vanderbilt (SEC),9,0-9,603,"4,387",7.28,43,44,487.4
122,Eastern Mich. (MAC),6,2-4,460,"2,941",6.39,26,27,490.2
123,UCF (AAC),10,6-4,794,"4,918",6.19,43,44,491.8
124,LSU (SEC),10,5-5,678,"4,920",7.26,42,45,492
125,Texas St. (Sun Belt),12,2-10,939,"5,939",6.32,55,58,494.9
126,Ole Miss (SEC),10,5-5,778,"5,190",6.67,47,50,519
127,North Texas (C-USA),10,4-6,752,"5,221",6.94,57,58,522.1
