Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Army West Point (FBS Independent),12,9-3,661,"3,304",5.00,21,23,275.3
2,Marshall (C-USA),10,7-3,635,"2,794",4.40,14,15,279.4
3,San Diego St. (Mountain West),8,4-4,520,"2,268",4.36,16,16,283.5
4,West Virginia (Big 12),10,6-4,626,"2,914",4.65,23,26,291.4
5,Wisconsin (Big Ten),7,4-3,419,"2,099",5.01,14,15,299.9
6,Air Force (Mountain West),6,3-3,360,"1,820",5.06,11,12,303.3
7,UAB (C-USA),9,6-3,597,"2,800",4.69,20,23,311.1
8,Iowa (Big Ten),8,6-2,578,"2,510",4.34,17,17,313.8
9,Texas A&M (SEC),10,9-1,593,"3,173",5.35,25,27,317.3
10,BYU (FBS Independent),12,11-1,793,"3,809",4.80,23,23,317.4
11,Liberty (FBS Independent),11,10-1,667,"3,495",5.24,29,30,317.7
12,Georgia (SEC),10,8-2,661,"3,210",4.86,23,24,321
13,Cincinnati (AAC),10,9-1,710,"3,246",4.57,17,18,324.6
14,Ga. Southern (Sun Belt),13,8-5,828,"4,234",5.11,30,33,325.7
15,Clemson (ACC),12,10-2,781,"3,922",5.02,26,30,326.8
16,Wyoming (Mountain West),6,2-4,399,"1,968",4.93,15,16,328
17,Penn St. (Big Ten),9,4-5,585,"2,959",5.06,28,31,328.8
18,App State (Sun Belt),12,9-3,798,"3,946",4.94,27,30,328.8
19,Tulsa (AAC),9,6-3,638,"2,997",4.70,19,21,333
20,Pittsburgh (ACC),11,6-5,765,"3,735",4.88,34,35,339.5
21,Iowa St. (Big 12),12,9-3,761,"4,085",5.37,25,31,340.4
22,Northwestern (Big Ten),9,7-2,632,"3,071",4.86,13,14,341.2
23,Rice (C-USA),5,2-3,300,"1,708",5.69,10,11,341.6
24,Fla. Atlantic (C-USA),9,5-4,601,"3,080",5.12,15,17,342.2
25,Notre Dame (ACC),12,10-2,742,"4,123",5.56,26,27,343.6
26,San Jose St. (Mountain West),8,7-1,559,"2,769",4.95,18,20,346.1
27,Washington (Pac-12),4,3-1,259,"1,385",5.35,13,14,346.2
28,Western Ky. (C-USA),12,5-7,827,"4,184",5.06,36,39,348.7
29,Oklahoma (Big 12),11,9-2,743,"3,857",5.19,30,30,350.6
30,TCU (Big 12),10,6-4,659,"3,509",5.32,27,29,350.9
31,Coastal Carolina (Sun Belt),12,11-1,770,"4,223",5.48,28,29,351.9
32,Alabama (SEC),13,13-0,909,"4,579",5.04,30,30,352.2
33,Louisiana (Sun Belt),11,10-1,795,"3,909",4.92,30,30,355.4
34,Colorado St. (Mountain West),4,1-3,298,"1,435",4.82,13,18,358.8
35,Buffalo (MAC),7,6-1,483,"2,513",5.20,18,19,359
36,Toledo (MAC),6,4-2,406,"2,173",5.35,18,18,362.2
37,Utah (Pac-12),5,3-2,332,"1,825",5.50,15,16,365
38,California (Pac-12),4,1-3,258,"1,468",5.69,14,14,367
39,Louisville (ACC),11,4-7,704,"4,060",5.77,34,35,369.1
40,Southern California (Pac-12),6,5-1,404,"2,218",5.49,18,19,369.7
41,Boise St. (Mountain West),7,5-2,497,"2,613",5.26,23,23,373.3
42,Nevada (Mountain West),9,7-2,630,"3,399",5.40,25,26,377.7
43,Indiana (Big Ten),8,6-2,548,"3,025",5.52,20,21,378.1
44,Oklahoma St. (Big 12),11,8-3,784,"4,169",5.32,31,32,379
45,Kentucky (SEC),11,5-6,764,"4,188",5.48,36,38,380.7
46,UTEP (C-USA),8,3-5,499,"3,050",6.11,33,33,381.2
47,UTSA (C-USA),12,7-5,818,"4,600",5.62,38,40,383.3
48,Baylor (Big 12),9,2-7,625,"3,451",5.52,32,33,383.4
49,Navy (AAC),10,3-7,644,"3,855",5.99,34,34,385.5
50,Nebraska (Big Ten),8,3-5,566,"3,092",5.46,25,27,386.5
51,Ohio (MAC),3,2-1,213,"1,167",5.48,6,6,389
52,Mississippi St. (SEC),11,4-7,780,"4,287",5.50,34,38,389.7
53,Miami (OH) (MAC),3,2-1,195,"1,181",6.06,11,11,393.7
54,Michigan St. (Big Ten),7,2-5,527,"2,777",5.27,28,32,396.7
55,Houston (AAC),8,3-5,552,"3,188",5.78,28,33,398.5
56,Purdue (Big Ten),6,2-4,445,"2,394",5.38,21,22,399
57,Western Mich. (MAC),6,4-2,428,"2,398",5.60,25,25,399.7
58,North Carolina (ACC),12,8-4,829,"4,811",5.80,42,44,400.9
59,Ohio St. (Big Ten),8,7-1,549,"3,213",5.85,26,27,401.6
60,Southern Miss. (C-USA),10,3-7,697,"4,017",5.76,41,42,401.7
61,Troy (Sun Belt),11,5-6,806,"4,456",5.53,33,34,405.1
62,Oregon (Pac-12),7,4-3,531,"2,841",5.35,24,25,405.9
63,Auburn (SEC),11,6-5,794,"4,466",5.62,36,36,406
