Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Michigan (Big Ten),13,10-3,809,"3,403",4.21,20,22,261.8
2,Alabama (SEC),15,14-1,983,"3,927",3.99,20,21,261.8
3,Temple (AAC),14,10-4,852,"3,955",4.64,30,33,282.5
4,Army West Point (FBS Independent),13,8-5,744,"3,789",5.09,31,33,291.5
5,Florida (SEC),13,9-4,816,"3,809",4.67,24,27,293
6,Ohio St. (Big Ten),13,11-2,882,"3,858",4.37,19,22,296.8
7,Wisconsin (Big Ten),14,11-3,857,"4,219",4.92,22,24,301.4
8,Clemson (ACC),15,14-1,"1,008","4,672",4.63,33,34,311.5
9,Boston College (ACC),13,7-6,803,"4,084",5.09,43,44,314.2
10,LSU (SEC),12,8-4,793,"3,773",4.76,16,16,314.4
11,San Diego St. (Mountain West),14,11-3,925,"4,416",4.77,34,37,315.4
12,Washington (Pac-12),14,12-2,963,"4,436",4.61,29,30,316.9
13,Houston (AAC),13,9-4,866,"4,155",4.80,35,37,319.6
14,Louisville (ACC),13,9-4,894,"4,189",4.69,36,38,322.2
15,Southern Miss. (C-USA),13,7-6,739,"4,223",5.71,47,50,324.8
16,Georgia (SEC),13,8-5,809,"4,257",5.26,38,41,327.5
17,App State (Sun Belt),13,10-3,859,"4,286",4.99,27,28,329.7
18,Virginia Tech (ACC),14,10-4,955,"4,770",4.99,40,41,340.7
19,Colorado (Pac-12),14,10-4,984,"4,795",4.87,32,36,342.5
20,Miami (FL) (ACC),13,9-4,945,"4,492",4.75,27,28,345.5
21,Minnesota (Big Ten),13,9-4,940,"4,534",4.82,34,35,348.8
22,Florida St. (ACC),13,10-3,861,"4,538",5.27,37,40,349.1
23,Iowa (Big Ten),13,8-5,893,"4,565",5.11,28,30,351.2
24,NC State (ACC),13,7-6,894,"4,586",5.13,34,34,352.8
25,Miami (OH) (MAC),13,6-7,876,"4,592",5.24,36,39,353.2
26,Western Mich. (MAC),14,13-1,850,"4,951",5.82,34,35,353.6
27,Ohio (MAC),14,8-6,984,"5,043",5.13,37,38,360.2
28,Auburn (SEC),13,8-5,928,"4,705",5.07,22,23,361.9
29,Arkansas St. (Sun Belt),13,8-5,946,"4,717",4.99,28,31,362.8
30,Nebraska (Big Ten),13,9-4,855,"4,728",5.53,38,40,363.7
31,Tulane (AAC),12,4-8,816,"4,374",5.36,37,42,364.5
32,Michigan St. (Big Ten),12,3-9,792,"4,378",5.53,40,42,364.8
33,Air Force (Mountain West),13,10-3,819,"4,743",5.79,43,45,364.8
34,BYU (FBS Independent),13,9-4,860,"4,745",5.52,31,33,365
35,Troy (Sun Belt),13,10-3,944,"4,765",5.05,33,36,366.5
36,Southern California (Pac-12),13,10-3,887,"4,773",5.38,40,41,367.2
37,Penn St. (Big Ten),14,11-3,"1,023","5,151",5.04,40,42,367.9
38,Stanford (Pac-12),13,10-3,894,"4,785",5.35,33,33,368.1
39,UCF (AAC),13,6-7,"1,008","4,814",4.78,38,40,370.3
40,Wake Forest (ACC),13,7-6,903,"4,817",5.33,36,37,370.5
41,Western Ky. (C-USA),14,11-3,"1,014","5,272",5.20,41,43,376.6
42,Notre Dame (FBS Independent),12,4-8,842,"4,546",5.40,37,44,378.8
43,Louisiana (Sun Belt),13,6-7,929,"4,928",5.30,37,39,379.1
44,Utah St. (Mountain West),12,3-9,872,"4,558",5.23,39,43,379.8
45,Indiana (Big Ten),13,6-7,971,"4,941",5.09,37,42,380.1
46,Georgia St. (Sun Belt),12,3-9,931,"4,568",4.91,33,37,380.7
47,UCLA (Pac-12),12,4-8,944,"4,584",4.86,33,37,382
48,Utah (Pac-12),13,9-4,895,"4,979",5.56,36,39,383
49,Old Dominion (C-USA),13,10-3,921,"4,987",5.41,46,47,383.6
50,Kent St. (MAC),12,3-9,890,"4,638",5.21,40,43,386.5
51,Kansas St. (Big 12),13,9-4,874,"5,040",5.77,37,37,387.7
52,Boise St. (Mountain West),13,10-3,975,"5,067",5.20,31,35,389.8
53,South Alabama (Sun Belt),13,6-7,900,"5,068",5.63,40,44,389.8
54,Central Mich. (MAC),13,6-7,888,"5,095",5.74,48,51,391.9
55,UTSA (C-USA),13,6-7,895,"5,096",5.69,43,46,392
56,New Mexico (Mountain West),13,9-4,816,"5,132",6.29,53,54,394.8
57,Toledo (MAC),13,9-4,888,"5,155",5.81,39,41,396.5
58,Ga. Southern (Sun Belt),12,5-7,801,"4,759",5.94,37,39,396.6
59,Georgia Tech (ACC),13,9-4,907,"5,221",5.76,38,40,401.6
60,Northwestern (Big Ten),13,7-6,974,"5,257",5.40,33,34,404.4
61,Illinois (Big Ten),12,3-9,877,"4,861",5.54,46,47,405.1
62,Washington St. (Pac-12),13,8-5,873,"5,277",6.04,41,45,405.9
63,North Carolina (ACC),13,8-5,987,"5,305",5.37,39,40,408.1
64,Vanderbilt (SEC),13,6-7,899,"5,306",5.90,34,37,408.2
65,UConn (AAC),12,3-9,862,"4,929",5.72,39,43,410.8
66,South Carolina (SEC),13,6-7,953,"5,355",5.62,40,44,411.9
67,Duke (ACC),12,4-8,791,"4,976",6.29,40,43,414.7
68,Fresno St. (Mountain West),12,1-11,871,"4,981",5.72,46,48,415.1
69,Colorado St. (Mountain West),13,7-6,892,"5,450",6.11,52,53,419.2
70,UTEP (C-USA),12,4-8,822,"5,032",6.12,49,53,419.3
71,Louisiana Tech (C-USA),14,9-5,"1,018","5,893",5.79,60,62,420.9
72,Cincinnati (AAC),12,4-8,951,"5,074",5.34,35,39,422.8
73,TCU (Big 12),13,6-7,"1,006","5,522",5.49,42,43,424.8
74,West Virginia (Big 12),13,10-3,995,"5,537",5.56,35,37,425.9
