Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
75,Tulsa (AAC),13,10-3,"1,013","5,544",5.47,44,48,426.5
76,Arkansas (SEC),13,7-6,822,"5,546",6.75,51,54,426.6
77,Maryland (Big Ten),13,6-7,980,"5,552",5.67,50,52,427.1
78,Idaho (Sun Belt),13,9-4,893,"5,568",6.24,48,52,428.3
79,Oregon St. (Pac-12),12,4-8,894,"5,150",5.76,40,45,429.2
80,UNLV (Mountain West),12,4-8,879,"5,161",5.87,53,56,430.1
81,Baylor (Big 12),13,7-6,"1,032","5,601",5.43,47,48,430.8
82,Oklahoma (Big 12),13,11-2,960,"5,616",5.85,44,46,432
83,Eastern Mich. (MAC),13,7-6,963,"5,625",5.84,48,52,432.7
84,Navy (AAC),14,9-5,959,"6,076",6.34,52,54,434
85,Kentucky (SEC),13,7-6,928,"5,645",6.08,45,50,434.2
86,FIU (C-USA),12,4-8,823,"5,215",6.34,48,55,434.6
87,Buffalo (MAC),12,2-10,881,"5,217",5.92,44,49,434.8
88,San Jose St. (Mountain West),12,4-8,806,"5,223",6.48,51,54,435.3
89,North Texas (C-USA),13,5-8,942,"5,717",6.07,51,55,439.8
90,Texas A&M (SEC),13,8-5,"1,035","5,743",5.55,37,38,441.8
91,Purdue (Big Ten),12,3-9,860,"5,350",6.22,57,59,445.8
92,Oklahoma St. (Big 12),13,10-3,979,"5,802",5.93,44,46,446.3
93,Virginia (ACC),12,2-10,846,"5,359",6.33,45,51,446.6
94,Texas (Big 12),12,5-7,955,"5,379",5.63,45,47,448.3
95,Tennessee (SEC),13,9-4,"1,000","5,840",5.84,46,48,449.2
96,Middle Tenn. (C-USA),13,8-5,"1,068","5,843",5.47,61,62,449.5
97,Rutgers (Big Ten),12,2-10,851,"5,408",6.35,54,60,450.7
98,NIU (MAC),12,5-7,936,"5,418",5.79,49,49,451.5
99,Massachusetts (FBS Independent),12,2-10,886,"5,432",6.13,50,53,452.7
100,East Carolina (AAC),12,3-9,844,"5,433",6.44,51,56,452.8
101,Pittsburgh (ACC),13,8-5,985,"5,886",5.98,56,59,452.8
102,Iowa St. (Big 12),12,3-9,911,"5,435",5.97,48,48,452.9
103,SMU (AAC),12,5-7,906,"5,436",6.00,52,56,453
104,Wyoming (Mountain West),14,8-6,962,"6,344",6.59,57,61,453.1
105,Charlotte (C-USA),12,4-8,902,"5,439",6.03,53,54,453.3
106,Memphis (AAC),13,8-5,"1,025","5,910",5.77,48,49,454.6
107,Marshall (C-USA),12,3-9,857,"5,472",6.39,49,55,456
107,Nevada (Mountain West),12,5-7,825,"5,472",6.63,44,44,456
109,Kansas (Big 12),12,2-10,906,"5,474",6.04,53,58,456.2
110,Mississippi St. (SEC),13,6-7,957,"5,968",6.24,50,53,459.1
111,Ole Miss (SEC),12,5-7,896,"5,535",6.18,46,50,461.3
112,Hawaii (Mountain West),14,7-7,"1,013","6,462",6.38,60,67,461.6
113,Bowling Green (MAC),12,4-8,882,"5,571",6.32,60,63,464.3
114,Akron (MAC),12,5-7,924,"5,592",6.05,49,50,466
115,Arizona (Pac-12),12,3-9,923,"5,632",6.10,61,62,469.3
116,Ball St. (MAC),12,4-8,885,"5,643",6.38,42,46,470.3
117,Texas St. (Sun Belt),12,2-10,913,"5,653",6.19,61,63,471.1
118,Missouri (SEC),12,4-8,949,"5,756",6.07,45,49,479.7
119,ULM (Sun Belt),12,4-8,867,"5,764",6.65,53,60,480.3
120,South Fla. (AAC),13,11-2,"1,077","6,266",5.82,50,50,482
121,New Mexico St. (Sun Belt),12,3-9,909,"5,960",6.56,54,60,496.7
122,Syracuse (ACC),12,4-8,870,"6,013",6.91,55,61,501.1
123,Rice (C-USA),12,3-9,815,"6,054",7.43,55,58,504.5
124,Fla. Atlantic (C-USA),12,3-9,892,"6,166",6.91,61,63,513.8
125,California (Pac-12),12,5-7,927,"6,219",6.71,62,67,518.3
126,Oregon (Pac-12),12,4-8,971,"6,221",6.41,67,68,518.4
127,Arizona St. (Pac-12),12,5-7,884,"6,246",7.07,58,61,520.5
128,Texas Tech (Big 12),12,5-7,943,"6,652",7.05,65,68,554.3
