Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Alabama (SEC),14,13-1,913,"3,646",3.99,17,18,260.4
2,Wisconsin (Big Ten),14,13-1,831,"3,669",4.42,18,21,262.1
3,Michigan (Big Ten),13,8-5,779,"3,523",4.52,27,30,271
4,Clemson (ACC),14,12-2,908,"3,874",4.27,21,22,276.7
5,UTSA (C-USA),11,6-5,636,"3,166",4.98,23,24,287.8
6,Georgia (SEC),15,13-2,943,"4,424",4.69,27,28,294.9
7,Michigan St. (Big Ten),13,10-3,794,"3,869",4.87,27,31,297.6
8,Washington (Pac-12),13,10-3,876,"3,874",4.42,21,24,298
9,Ohio St. (Big Ten),14,12-2,948,"4,213",4.44,29,35,300.9
10,Mississippi St. (SEC),13,9-4,761,"3,982",5.23,31,34,306.3
11,San Diego St. (Mountain West),13,10-3,804,"4,088",5.08,31,34,314.5
12,LSU (SEC),13,9-4,811,"4,108",5.07,27,27,316
13,Virginia Tech (ACC),13,9-4,820,"4,151",5.06,23,24,319.3
14,Auburn (SEC),14,10-4,957,"4,471",4.67,27,31,319.4
15,Fresno St. (Mountain West),14,10-4,924,"4,488",4.86,27,30,320.6
16,Washington St. (Pac-12),13,9-4,820,"4,203",5.13,37,41,323.3
17,Penn St. (Big Ten),13,11-2,898,"4,283",4.77,27,27,329.5
18,Florida St. (ACC),13,7-6,906,"4,304",4.75,34,34,331.1
19,TCU (Big 12),14,11-3,916,"4,640",5.07,31,32,331.4
20,Southern Miss. (C-USA),13,8-5,855,"4,315",5.05,37,40,331.9
21,Duke (ACC),13,7-6,828,"4,324",5.22,32,34,332.6
22,Boise St. (Mountain West),14,11-3,965,"4,657",4.83,37,42,332.6
23,Wyoming (Mountain West),13,8-5,933,"4,358",4.67,27,27,335.2
24,Troy (Sun Belt),13,11-2,916,"4,381",4.78,27,30,337
25,Utah (Pac-12),13,7-6,868,"4,399",5.07,31,33,338.4
26,NIU (MAC),13,8-5,953,"4,401",4.62,30,33,338.5
27,Indiana (Big Ten),12,5-7,829,"4,081",4.92,36,39,340.1
28,Marshall (C-USA),13,8-5,897,"4,442",4.95,31,32,341.7
29,App State (Sun Belt),13,9-4,839,"4,453",5.31,28,30,342.5
30,Minnesota (Big Ten),12,5-7,754,"4,160",5.52,35,36,346.7
31,Florida (SEC),11,4-7,670,"3,842",5.73,32,36,349.3
32,Army West Point (FBS Independent),13,10-3,727,"4,546",6.25,37,39,349.7
33,Georgia Tech (ACC),11,5-6,706,"3,897",5.52,32,35,354.3
34,Northwestern (Big Ten),13,10-3,926,"4,644",5.02,31,33,357.2
35,Middle Tenn. (C-USA),13,7-6,939,"4,645",4.95,37,39,357.3
36,Iowa (Big Ten),13,8-5,914,"4,647",5.08,29,30,357.5
37,South Fla. (AAC),12,10-2,892,"4,317",4.84,34,37,359.8
