Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
59,Akron (MAC),12,5-7,865,"4,764",5.51,43,44,397
60,Utah (Pac-12),12,5-7,887,"4,772",5.38,35,41,397.7
61,NC State (ACC),12,3-9,814,"4,793",5.89,45,48,399.4
62,Arizona (Pac-12),13,8-5,991,"5,214",5.26,38,39,401.1
63,Middle Tenn. (C-USA),13,8-5,987,"5,235",5.30,41,43,402.7
64,North Carolina (ACC),13,7-6,993,"5,241",5.28,35,38,403.2
65,Virginia (ACC),12,2-10,856,"4,843",5.66,47,51,403.6
66,Central Mich. (MAC),12,6-6,831,"4,862",5.85,39,43,405.2
67,Ohio (MAC),13,7-6,918,"5,276",5.75,45,46,405.8
68,Texas (Big 12),13,8-5,966,"5,294",5.48,34,39,407.2
69,Louisiana Tech (C-USA),12,4-8,925,"4,899",5.30,37,39,408.3
70,Kent St. (MAC),12,4-8,813,"4,919",6.05,40,40,409.9
71,Army West Point (FBS Independent),12,3-9,753,"4,930",6.55,48,49,410.8
72,SMU (AAC),12,5-7,887,"4,951",5.58,47,54,412.6
73,Rutgers (AAC),13,6-7,944,"5,366",5.68,48,49,412.8
74,Arkansas St. (Sun Belt),13,8-5,929,"5,370",5.78,42,43,413.1
75,Boise St. (Mountain West),13,8-5,"1,023","5,374",5.25,36,41,413.4
76,Arkansas (SEC),12,3-9,814,"4,961",6.09,46,49,413.4
77,Ball St. (MAC),13,10-3,965,"5,380",5.58,36,39,413.8
78,NIU (MAC),14,12-2,"1,068","5,808",5.44,41,43,414.9
79,Houston (AAC),13,8-5,"1,034","5,405",5.23,33,34,415.8
80,Colorado St. (Mountain West),14,8-6,"1,012","5,828",5.76,49,52,416.3
81,Missouri (SEC),14,12-2,"1,080","5,848",5.41,38,39,417.7
82,Duke (ACC),14,10-4,"1,033","5,852",5.67,42,48,418
83,Tennessee (SEC),12,5-7,827,"5,021",6.07,43,46,418.4
84,Texas Tech (Big 12),13,8-5,"1,015","5,441",5.36,48,51,418.5
85,Western Mich. (MAC),12,1-11,865,"5,030",5.82,46,55,419.2
86,Auburn (SEC),14,12-2,989,"5,890",5.96,38,41,420.7
87,Toledo (MAC),12,7-5,870,"5,061",5.82,44,45,421.8
88,Northwestern (Big Ten),12,5-7,930,"5,082",5.46,36,40,423.5
89,Miami (FL) (ACC),13,9-4,964,"5,543",5.75,42,43,426.4
90,ULM (Sun Belt),12,6-6,880,"5,122",5.82,41,46,426.8
91,Kentucky (SEC),12,2-10,819,"5,126",6.26,48,49,427.2
92,Boston College (ACC),13,7-6,941,"5,577",5.93,45,48,429
93,Tulsa (C-USA),12,3-9,934,"5,155",5.52,46,52,429.6
94,FIU (C-USA),12,1-11,784,"5,156",6.58,54,57,429.7
95,Fresno St. (Mountain West),13,11-2,992,"5,600",5.65,48,51,430.8
96,Kansas (Big 12),12,3-9,892,"5,191",5.82,45,48,432.6
97,UNLV (Mountain West),13,7-6,981,"5,632",5.74,49,55,433.2
98,Massachusetts (MAC),12,1-11,788,"5,199",6.60,45,50,433.3
99,Southern Miss. (C-USA),12,1-11,890,"5,226",5.87,62,68,435.5
100,Oregon St. (Pac-12),13,7-6,924,"5,676",6.14,48,51,436.6
101,West Virginia (Big 12),12,4-8,920,"5,460",5.93,47,48,455
102,Washington St. (Pac-12),13,6-7,"1,006","5,954",5.92,48,52,458
103,San Jose St. (Mountain West),12,6-6,898,"5,511",6.14,55,55,459.3
104,Purdue (Big Ten),12,1-11,886,"5,519",6.23,55,61,459.9
105,Iowa St. (Big 12),12,3-9,918,"5,557",6.05,50,56,463.1
106,Colorado (Pac-12),12,4-8,924,"5,616",6.08,55,58,468
107,UTEP (C-USA),12,2-10,756,"5,620",7.43,61,62,468.3
108,Temple (AAC),12,2-10,888,"5,683",6.40,41,42,473.6
109,Texas A&M (SEC),13,9-4,973,"6,185",6.36,54,55,475.8
110,Illinois (Big Ten),12,4-8,867,"5,778",6.66,54,55,481.5
111,Wyoming (Mountain West),12,5-7,966,"5,784",5.99,59,60,482
112,Troy (Sun Belt),12,6-6,869,"5,798",6.67,55,58,483.2
113,Miami (OH) (MAC),12,0-12,915,"5,811",6.35,52,55,484.3
114,Air Force (Mountain West),12,2-10,918,"5,883",6.41,67,67,490.3
115,Hawaii (Mountain West),12,1-11,994,"5,936",5.97,54,59,494.7
116,UAB (C-USA),12,2-10,829,"5,974",7.21,67,71,497.8
117,Nevada (Mountain West),12,4-8,852,"6,064",7.12,53,54,505.3
118,Eastern Mich. (MAC),12,2-10,806,"6,130",7.61,66,71,510.8
119,New Mexico (Mountain West),12,3-9,836,"6,199",7.42,70,71,516.6
120,Indiana (Big Ten),12,5-7,940,"6,335",6.74,59,63,527.9
121,Idaho (FBS Independent),12,1-11,917,"6,353",6.93,72,76,529.4
122,California (Pac-12),12,1-11,898,"6,355",7.08,64,72,529.6
123,New Mexico St. (FBS Independent),12,2-10,862,"6,594",7.65,66,71,549.5
