Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Louisville (AAC),13,12-1,779,"3,269",4.20,18,18,251.5
2,Michigan St. (Big Ten),14,13-1,873,"3,531",4.04,20,21,252.2
3,Florida St. (ACC),14,14-0,963,"3,940",4.09,21,21,281.4
4,Virginia Tech (ACC),13,8-5,810,"3,687",4.55,25,31,283.6
5,Alabama (SEC),13,11-2,771,"3,725",4.83,21,23,286.5
6,Iowa (Big Ten),13,8-5,861,"3,940",4.58,28,30,303.1
7,Wisconsin (Big Ten),13,9-4,839,"3,966",4.73,24,25,305.1
8,Florida (SEC),12,4-8,712,"3,771",5.30,26,27,314.3
9,Cincinnati (AAC),13,9-4,861,"4,103",4.77,28,34,315.6
10,Bowling Green (MAC),14,10-4,890,"4,500",5.06,27,29,321.4
11,Fla. Atlantic (C-USA),12,6-6,801,"3,911",4.88,29,32,325.9
12,Utah St. (Mountain West),14,9-5,"1,018","4,632",4.55,26,28,330.9
13,Southern California (Pac-12),14,10-4,942,"4,693",4.98,34,39,335.2
14,Western Ky. (Sun Belt),12,8-4,763,"4,070",5.33,34,37,339.2
15,LSU (SEC),13,10-3,872,"4,429",5.08,30,32,340.7
16,Stanford (Pac-12),14,11-3,989,"4,804",4.86,30,31,343.1
17,North Texas (C-USA),13,9-4,881,"4,528",5.14,25,30,348.3
18,Mississippi St. (SEC),13,7-6,833,"4,541",5.45,35,36,349.3
19,South Carolina (SEC),13,11-2,833,"4,550",5.46,31,32,350
20,Oklahoma (Big 12),13,11-2,846,"4,552",5.38,34,36,350.2
21,South Fla. (AAC),12,2-10,777,"4,209",5.42,35,43,350.8
22,Tulane (C-USA),13,7-6,931,"4,577",4.92,30,33,352.1
23,Vanderbilt (SEC),13,9-4,909,"4,612",5.07,37,40,354.8
24,TCU (Big 12),12,4-8,886,"4,277",4.83,28,33,356.4
25,Clemson (ACC),13,11-2,921,"4,637",5.03,36,37,356.7
26,Kansas St. (Big 12),13,8-5,919,"4,665",5.08,33,35,358.8
27,Georgia Tech (ACC),13,7-6,849,"4,683",5.52,36,38,360.2
28,Baylor (Big 12),13,11-2,986,"4,684",4.75,38,41,360.3
29,UCF (AAC),13,12-1,879,"4,706",5.35,34,36,362
30,Rice (C-USA),14,10-4,957,"5,097",5.33,41,43,364.1
31,Notre Dame (FBS Independent),13,9-4,930,"4,760",5.12,32,34,366.2
32,Wake Forest (ACC),12,4-8,878,"4,394",5.00,33,36,366.2
33,Syracuse (ACC),13,7-6,897,"4,773",5.32,41,42,367.2
34,Pittsburgh (ACC),13,7-6,865,"4,778",5.52,39,43,367.5
35,Marshall (C-USA),14,10-4,"1,053","5,160",4.90,37,40,368.6
36,East Carolina (C-USA),13,10-3,979,"4,794",4.90,36,39,368.8
37,Oregon (Pac-12),13,11-2,"1,042","4,811",4.62,31,32,370.1
38,Ole Miss (SEC),13,8-5,917,"4,816",5.25,37,38,370.5
39,Memphis (AAC),12,3-9,857,"4,448",5.19,34,37,370.7
40,Nebraska (Big Ten),13,9-4,926,"4,820",5.21,38,38,370.8
41,Michigan (Big Ten),13,7-6,912,"4,829",5.29,37,40,371.5
42,Arizona St. (Pac-12),14,10-4,942,"5,213",5.53,45,48,372.4
43,Minnesota (Big Ten),13,8-5,858,"4,852",5.66,35,36,373.2
44,Maryland (ACC),13,7-6,957,"4,867",5.09,38,38,374.4
45,Georgia (SEC),13,8-5,902,"4,882",5.41,43,47,375.5
46,Ohio St. (Big Ten),14,12-2,"1,000","5,284",5.28,40,42,377.4
47,BYU (FBS Independent),13,8-5,"1,028","4,925",4.79,30,33,378.8
48,Penn St. (Big Ten),12,7-5,864,"4,576",5.30,34,38,381.3
49,Buffalo (MAC),13,8-5,890,"4,976",5.59,39,40,382.8
50,South Alabama (Sun Belt),12,6-6,820,"4,611",5.62,35,36,384.3
51,UConn (AAC),12,3-9,836,"4,615",5.52,40,46,384.6
52,Oklahoma St. (Big 12),13,10-3,"1,049","5,004",4.77,27,33,384.9
53,San Diego St. (Mountain West),13,8-5,955,"5,020",5.26,51,55,386.2
54,UCLA (Pac-12),13,10-3,990,"5,032",5.08,35,37,387.1
55,Washington (Pac-12),13,9-4,"1,015","5,051",4.98,35,37,388.5
56,Louisiana (Sun Belt),13,9-4,888,"5,116",5.76,37,43,393.5
57,Navy (FBS Independent),13,9-4,908,"5,132",5.65,40,41,394.8
58,Texas St. (Sun Belt),12,6-6,880,"4,760",5.41,38,41,396.7
