Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
76,Temple (AAC),12,3-9,832,"4,694",5.64,42,44,391.2
77,Auburn (SEC),12,5-7,859,"4,744",5.52,43,45,395.3
78,Buffalo (MAC),13,7-6,848,"5,140",6.06,42,44,395.4
79,NIU (MAC),12,3-9,807,"4,748",5.88,46,50,395.7
80,Nevada (Mountain West),12,2-10,814,"4,754",5.84,40,45,396.2
81,Ball St. (MAC),12,5-7,947,"4,781",5.05,40,40,398.4
82,Utah St. (Mountain West),13,6-7,902,"5,189",5.75,46,49,399.2
83,Georgia St. (Sun Belt),12,4-8,836,"4,792",5.73,44,49,399.3
84,Georgia Tech (ACC),12,5-7,866,"4,812",5.56,37,42,401
85,Washington St. (Pac-12),13,7-6,895,"5,230",5.84,36,38,402.3
86,East Carolina (AAC),13,8-5,861,"5,256",6.10,42,44,404.3
87,South Carolina (SEC),13,8-5,926,"5,261",5.68,47,48,404.7
88,Arkansas St. (Sun Belt),12,3-9,835,"4,861",5.82,48,50,405.1
89,UCLA (Pac-12),13,9-4,930,"5,267",5.66,43,45,405.2
90,Tennessee (SEC),13,11-2,991,"5,269",5.32,36,37,405.3
91,Akron (MAC),12,2-10,813,"4,874",6.00,47,51,406.2
92,Wake Forest (ACC),13,8-5,931,"5,284",5.68,43,45,406.5
93,BYU (FBS Independent),13,8-5,904,"5,305",5.87,47,48,408.1
94,TCU (Big 12),15,13-2,"1,072","6,123",5.71,54,55,408.2
95,Middle Tenn. (CUSA),13,8-5,962,"5,323",5.53,43,46,409.5
96,Florida (SEC),13,6-7,903,"5,343",5.92,46,48,411
97,West Virginia (Big 12),12,5-7,820,"4,947",6.03,46,50,412.2
98,Tulsa (AAC),12,5-7,846,"4,971",5.88,41,47,414.2
99,Nebraska (Big Ten),12,4-8,907,"4,973",5.48,40,41,414.4
100,Michigan St. (Big Ten),12,5-7,860,"4,998",5.81,40,41,416.5
101,Coastal Carolina (Sun Belt),13,9-4,842,"5,434",6.45,50,51,418
102,Bowling Green (MAC),13,6-7,938,"5,455",5.82,51,54,419.6
103,Arizona St. (Pac-12),12,3-9,841,"5,058",6.01,45,46,421.5
104,Houston (AAC),13,8-5,928,"5,483",5.91,50,52,421.8
105,Southern California (Pac-12),14,11-3,909,"5,935",6.53,54,54,423.9
106,Fla. Atlantic (CUSA),12,5-7,845,"5,097",6.03,40,41,424.8
107,Texas Tech (Big 12),13,8-5,941,"5,532",5.88,41,45,425.5
108,Ohio (MAC),14,10-4,971,"5,977",6.16,48,49,426.9
109,ULM (Sun Belt),12,4-8,829,"5,133",6.19,46,53,427.8
110,California (Pac-12),12,4-8,883,"5,143",5.82,42,43,428.6
111,SMU (AAC),13,7-6,934,"5,605",6.00,55,56,431.2
112,Kent St. (MAC),12,5-7,898,"5,199",5.79,42,42,433.2
113,Stanford (Pac-12),12,3-9,794,"5,209",6.56,47,50,434.1
114,Oklahoma St. (Big 12),13,7-6,992,"5,664",5.71,47,47,435.7
115,North Carolina (ACC),14,9-5,995,"6,111",6.14,56,57,436.5
116,Hawaii (Mountain West),13,3-10,863,"5,696",6.60,49,55,438.2
117,Old Dominion (Sun Belt),12,3-9,927,"5,311",5.73,36,37,442.6
118,Indiana (Big Ten),12,4-8,916,"5,391",5.89,49,53,449.2
119,FIU (CUSA),12,4-8,897,"5,425",6.05,55,58,452.1
120,North Texas (CUSA),14,7-7,"1,059","6,438",6.08,50,55,459.9
121,Oklahoma (Big 12),13,6-7,"1,043","5,993",5.75,49,49,461
122,Vanderbilt (SEC),12,5-7,796,"5,536",6.95,54,56,461.3
123,Arkansas (SEC),13,7-6,936,"6,047",6.46,50,51,465.2
124,Arizona (Pac-12),12,5-7,851,"5,612",6.59,58,60,467.7
125,Louisiana Tech (CUSA),12,3-9,863,"5,625",6.52,54,58,468.8
126,Kansas (Big 12),13,6-7,992,"6,100",6.15,58,58,469.2
127,Charlotte (CUSA),12,3-9,820,"5,805",7.08,57,62,483.8
128,Ga. Southern (Sun Belt),13,6-7,975,"6,341",6.50,48,49,487.8
129,Colorado (Pac-12),12,1-11,850,"6,117",7.20,70,72,509.8
130,South Fla. (AAC),12,1-11,835,"6,199",7.42,62,64,516.6
