Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Air Force (Mountain West),13,10-3,657,"3,307",5.03,20,20,254.4
2,Iowa (Big Ten),13,8-5,883,"3,520",3.99,17,18,270.8
3,Illinois (Big Ten),13,8-5,810,"3,556",4.39,15,16,273.5
4,Iowa St. (Big 12),12,4-8,725,"3,427",4.73,28,30,285.6
5,Michigan (Big Ten),14,13-1,879,"4,090",4.65,21,25,292.1
6,Boise St. (Mountain West),14,10-4,862,"4,095",4.75,29,33,292.5
7,Marshall (Sun Belt),13,9-4,840,"3,829",4.56,22,25,294.5
8,Minnesota (Big Ten),13,9-4,769,"3,831",4.98,18,18,294.7
9,Georgia (SEC),15,15-0,912,"4,452",4.88,22,23,296.8
10,Wisconsin (Big Ten),13,7-6,819,"3,945",4.82,32,33,303.5
11,Kentucky (SEC),13,7-6,780,"4,048",5.19,26,29,311.4
12,Alabama (SEC),13,11-2,901,"4,137",4.59,27,27,318.2
13,Ohio St. (Big Ten),13,11-2,807,"4,180",5.18,31,33,321.5
14,Florida St. (ACC),13,10-3,863,"4,183",4.85,32,32,321.8
15,San Diego St. (Mountain West),13,7-6,852,"4,195",4.92,34,34,322.7
16,Penn St. (Big Ten),13,11-2,912,"4,205",4.61,26,28,323.5
17,Toledo (MAC),14,9-5,952,"4,567",4.80,42,45,326.2
18,NC State (ACC),13,8-5,851,"4,250",4.99,28,29,326.9
19,Troy (Sun Belt),14,12-2,975,"4,583",4.70,29,29,327.4
20,Syracuse (ACC),13,7-6,872,"4,272",4.90,35,38,328.6
21,Notre Dame (FBS Independent),13,9-4,831,"4,281",5.15,36,39,329.3
22,Pittsburgh (ACC),13,9-4,833,"4,289",5.15,36,39,329.9
23,Louisville (ACC),13,8-5,848,"4,292",5.06,30,30,330.2
24,Oregon St. (Pac-12),13,10-3,834,"4,326",5.19,28,31,332.8
25,South Alabama (Sun Belt),13,10-3,837,"4,333",5.18,30,32,333.3
26,Utah (Pac-12),14,10-4,807,"4,677",5.80,38,38,334.1
27,Clemson (ACC),14,11-3,930,"4,682",5.03,33,36,334.4
28,Cincinnati (AAC),13,9-4,944,"4,361",4.62,33,33,335.5
29,New Mexico St. (FBS Independent),13,7-6,872,"4,372",5.01,35,37,336.3
30,Fresno St. (Mountain West),14,10-4,924,"4,745",5.14,31,31,338.9
31,Navy (AAC),12,4-8,703,"4,068",5.79,32,34,339
32,San Jose St. (Mountain West),12,7-5,804,"4,079",5.07,30,33,339.9
33,Missouri (SEC),13,6-7,840,"4,419",5.26,37,41,339.9
34,Mississippi St. (SEC),13,9-4,870,"4,479",5.15,35,36,344.5
35,Liberty (FBS Independent),13,8-5,906,"4,496",4.96,36,39,345.8
36,App State (Sun Belt),12,6-6,784,"4,166",5.31,38,42,347.2
37,Rutgers (Big Ten),12,4-8,810,"4,196",5.18,38,45,349.7
38,Western Mich. (MAC),12,5-7,778,"4,226",5.43,33,34,352.2
39,UTEP (CUSA),12,5-7,721,"4,230",5.87,36,41,352.5
40,LSU (SEC),14,10-4,930,"4,964",5.34,35,38,354.6
41,Colorado St. (Mountain West),12,3-9,828,"4,260",5.14,39,41,355
42,Maryland (Big Ten),13,8-5,926,"4,642",5.01,33,34,357.1
43,Virginia (ACC),10,3-7,719,"3,576",4.97,22,26,357.6
44,Army West Point (FBS Independent),12,6-6,748,"4,308",5.76,34,34,359
45,New Mexico (Mountain West),12,2-10,780,"4,322",5.54,34,38,360.2
46,Tulane (AAC),14,12-2,"1,009","5,045",5.00,38,39,360.4
47,UAB (CUSA),13,7-6,879,"4,691",5.34,39,40,360.8
48,Texas St. (Sun Belt),12,4-8,822,"4,333",5.27,36,39,361.1
49,Louisiana (Sun Belt),13,6-7,888,"4,702",5.30,36,38,361.7
50,Memphis (AAC),13,7-6,898,"4,724",5.26,41,44,363.4
51,Texas A&M (SEC),12,5-7,847,"4,380",5.17,28,31,365
52,Purdue (Big Ten),14,8-6,890,"5,137",5.77,47,50,366.9
53,Texas (Big 12),13,8-5,970,"4,789",4.94,32,33,368.4
54,Massachusetts (FBS Independent),12,1-11,731,"4,435",6.07,46,48,369.6
55,Virginia Tech (ACC),11,3-8,755,"4,074",5.40,28,31,370.4
56,Wyoming (Mountain West),13,7-6,900,"4,816",5.35,36,37,370.5
57,Baylor (Big 12),13,6-7,898,"4,823",5.37,42,44,371
58,Southern Miss. (Sun Belt),13,7-6,896,"4,838",5.40,36,36,372.2
59,Washington (Pac-12),13,11-2,866,"4,845",5.59,40,42,372.7
60,Miami (OH) (MAC),13,6-7,897,"4,851",5.41,34,35,373.2
61,Central Mich. (MAC),12,4-8,863,"4,492",5.21,41,44,374.3
62,Northwestern (Big Ten),12,1-11,809,"4,497",5.56,41,43,374.8
63,Kansas St. (Big 12),14,10-4,948,"5,252",5.54,36,37,375.1
64,Miami (FL) (ACC),12,5-7,761,"4,519",5.94,38,40,376.6
65,Eastern Mich. (MAC),13,9-4,872,"4,901",5.62,46,47,377
66,Boston College (ACC),12,3-9,806,"4,534",5.63,44,45,377.8
67,Duke (ACC),13,9-4,890,"4,921",5.53,35,36,378.5
68,UCF (AAC),14,9-5,942,"5,320",5.65,39,39,380
69,UConn (FBS Independent),13,6-7,898,"4,946",5.51,39,43,380.5
70,Oregon (Pac-12),13,10-3,855,"4,955",5.80,41,43,381.2
71,UNLV (Mountain West),12,5-7,839,"4,599",5.48,40,41,383.2
72,Western Ky. (CUSA),14,9-5,"1,025","5,372",5.24,38,39,383.7
73,UTSA (CUSA),14,11-3,977,"5,421",5.55,42,44,387.2
74,Ole Miss (SEC),13,8-5,947,"5,042",5.32,40,41,387.8
75,Rice (CUSA),13,5-8,784,"5,080",6.48,50,57,390.8
