Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Clemson (ACC),13,10-3,841,"3,390",4.03,23,27,260.8
2,Penn St. (Big Ten),13,7-6,849,"3,623",4.27,24,27,278.7
3,Stanford (Pac-12),13,8-5,873,"3,671",4.21,24,26,282.4
4,Wisconsin (Big Ten),14,11-3,839,"4,117",4.91,34,35,294.1
5,UCF (AAC),13,9-4,869,"3,881",4.47,27,29,298.5
6,Louisville (ACC),13,9-4,845,"4,011",4.75,26,31,308.5
7,Michigan (Big Ten),12,5-7,783,"3,736",4.77,27,31,311.3
8,Michigan St. (Big Ten),13,11-2,807,"4,105",5.09,35,36,315.8
9,LSU (SEC),13,8-5,845,"4,119",4.87,26,27,316.8
10,Arkansas (SEC),13,7-6,821,"4,204",5.12,30,33,323.4
11,Boston College (ACC),13,7-6,822,"4,215",5.13,34,34,324.2
12,Alabama (SEC),14,12-2,945,"4,598",4.87,24,27,328.4
13,Ole Miss (),13,9-4,915,"4,277",4.67,21,24,329
14,Miami (FL) (ACC),13,6-7,895,"4,285",4.79,35,40,329.6
15,Florida (SEC),12,7-5,869,"3,957",4.55,25,30,329.8
16,San Diego St. (Mountain West),13,7-6,877,"4,322",4.93,32,33,332.5
17,Georgia (SEC),13,10-3,905,"4,384",4.84,36,36,337.2
18,TCU (Big 12),13,12-1,953,"4,443",4.66,26,28,341.8
19,Ohio St. (Big Ten),15,14-1,"1,032","5,136",4.98,41,43,342.4
20,Houston (AAC),13,8-5,915,"4,464",4.88,33,33,343.4
21,Virginia Tech (ACC),13,7-6,868,"4,469",5.15,28,30,343.8
22,Iowa (Big Ten),13,7-6,847,"4,475",5.28,37,41,344.2
23,Missouri (SEC),14,11-3,"1,005","4,850",4.83,36,36,346.4
24,Temple (AAC),12,6-6,876,"4,165",4.75,21,24,347.1
25,Texas (Big 12),13,6-7,968,"4,531",4.68,30,39,348.5
26,Syracuse (ACC),12,3-9,838,"4,190",5.00,28,33,349.2
27,Memphis (AAC),13,10-3,959,"4,544",4.74,30,32,349.5
28,Virginia (ACC),12,5-7,825,"4,238",5.14,30,36,353.2
29,Central Mich. (MAC),13,7-6,849,"4,621",5.44,39,40,355.5
30,Utah St. (Mountain West),14,10-4,"1,047","4,985",4.76,32,33,356.1
31,Marshall (C-USA),14,13-1,"1,056","4,999",4.73,36,36,357.1
32,San Jose St. (Mountain West),12,3-9,777,"4,287",5.52,41,45,357.3
33,Pittsburgh (),13,6-7,837,"4,677",5.59,43,45,359.8
34,Louisiana Tech (C-USA),14,9-5,"1,028","5,075",4.94,38,41,362.5
35,FIU (C-USA),12,4-8,812,"4,365",5.38,35,37,363.8
36,Tennessee (SEC),13,7-6,892,"4,740",5.31,39,41,364.6
37,East Carolina (AAC),13,8-5,937,"4,775",5.10,36,41,367.3
38,UTEP (C-USA),13,7-6,760,"4,785",6.30,45,49,368.1
39,Minnesota (Big Ten),13,8-5,882,"4,786",5.43,38,40,368.2
40,Wake Forest (ACC),12,3-9,849,"4,431",5.22,32,38,369.3
41,Kansas St. (Big 12),13,9-4,879,"4,801",5.46,37,39,369.3
42,North Texas (C-USA),12,4-8,809,"4,433",5.48,41,48,369.4
43,UTSA (C-USA),12,4-8,848,"4,436",5.23,32,36,369.7
44,Akron (MAC),12,5-7,859,"4,453",5.18,34,35,371.1
45,Western Mich. (MAC),13,8-5,882,"4,825",5.47,37,40,371.2
