Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
46,NC State (ACC),13,8-5,926,"4,850",5.24,40,44,373.1
47,ULM (Sun Belt),12,4-8,844,"4,479",5.31,38,41,373.3
48,Boise St. (Mountain West),14,12-2,"1,004","5,256",5.24,42,46,375.4
49,UConn (AAC),12,2-10,871,"4,543",5.22,39,45,378.6
50,Baylor (Big 12),13,11-2,941,"4,964",5.28,41,43,381.8
51,Oklahoma (Big 12),13,8-5,968,"4,974",5.14,38,43,382.6
52,Nebraska (Big Ten),13,9-4,929,"4,988",5.37,40,44,383.7
53,Northwestern (Big Ten),12,5-7,878,"4,611",5.25,35,39,384.3
54,Rice (C-USA),13,8-5,874,"5,017",5.74,46,48,385.9
55,Tulane (AAC),12,3-9,824,"4,654",5.65,34,41,387.8
56,BYU (FBS Independent),13,8-5,"1,032","5,090",4.93,44,44,391.5
57,NIU (MAC),14,11-3,997,"5,483",5.50,42,45,391.6
58,Utah (Pac-12),13,9-4,957,"5,115",5.34,35,40,393.5
59,Ohio (MAC),12,6-6,848,"4,732",5.58,35,38,394.3
60,Air Force (Mountain West),13,10-3,895,"5,132",5.73,37,39,394.8
61,Florida St. (ACC),14,13-1,"1,008","5,557",5.51,43,44,396.9
62,Buffalo (MAC),11,5-6,746,"4,375",5.86,46,47,397.7
63,UCLA (Pac-12),13,10-3,"1,002","5,181",5.17,41,45,398.5
64,Auburn (SEC),13,8-5,914,"5,185",5.67,44,45,398.8
65,South Alabama (Sun Belt),13,6-7,927,"5,186",5.59,41,43,398.9
66,West Virginia (Big 12),13,7-6,957,"5,192",5.43,38,42,399.4
67,Duke (ACC),13,9-4,985,"5,196",5.28,33,34,399.7
68,Vanderbilt (SEC),12,3-9,844,"4,825",5.72,42,50,402.1
69,South Fla. (AAC),12,4-8,849,"4,833",5.69,38,41,402.8
70,Navy (FBS Independent),13,8-5,901,"5,250",5.83,40,45,403.8
71,Notre Dame (FBS Independent),13,8-5,938,"5,254",5.60,44,49,404.2
72,Louisiana (Sun Belt),13,9-4,898,"5,276",5.88,40,43,405.8
73,UAB (C-USA),12,6-6,858,"4,873",5.68,42,49,406.1
74,Oregon St. (Pac-12),12,5-7,847,"4,875",5.76,44,47,406.3
75,Kentucky (SEC),12,5-7,888,"4,883",5.50,42,48,406.9
76,Toledo (MAC),13,9-4,912,"5,303",5.81,50,51,407.9
76,Southern California (Pac-12),13,9-4,"1,001","5,303",5.30,40,42,407.9
78,Washington (Pac-12),14,8-6,"1,068","5,749",5.38,40,41,410.6
79,Georgia Tech (ACC),14,11-3,911,"5,758",6.32,43,44,411.3
80,Purdue (Big Ten),12,3-9,894,"4,992",5.58,45,48,416
81,Arizona St. (Pac-12),13,10-3,964,"5,422",5.62,39,46,417.1
82,Hawaii (Mountain West),13,4-9,958,"5,436",5.67,45,47,418.2
83,Arkansas St. (Sun Belt),13,7-6,975,"5,476",5.62,52,54,421.2
84,Mississippi St. (SEC),13,10-3,977,"5,517",5.65,34,35,424.4
85,Colorado St. (Mountain West),13,10-3,962,"5,525",5.74,41,41,425
86,Ball St. (MAC),12,5-7,877,"5,146",5.87,40,42,428.8
87,Oregon (Pac-12),15,13-2,"1,168","6,445",5.52,43,43,429.7
88,Kent St. (MAC),11,2-9,823,"4,733",5.75,37,39,430.3
89,Wyoming (Mountain West),12,4-8,790,"5,169",6.54,46,51,430.8
90,Army West Point (FBS Independent),12,4-8,798,"5,170",6.48,50,50,430.8
91,Oklahoma St. (Big 12),13,7-6,970,"5,616",5.79,47,51,432
92,South Carolina (SEC),13,7-6,904,"5,625",6.22,45,48,432.7
93,Indiana (Big Ten),12,4-8,890,"5,205",5.85,46,48,433.8
94,Miami (OH) (MAC),12,2-10,864,"5,211",6.03,47,50,434.3
95,Maryland (Big Ten),13,7-6,"1,040","5,671",5.45,43,46,436.2
96,Cincinnati (AAC),13,9-4,955,"5,708",5.98,40,42,439.1
97,Washington St. (Pac-12),12,3-9,859,"5,307",6.18,51,59,442.3
98,Rutgers (Big Ten),13,8-5,901,"5,756",6.39,50,51,442.8
99,Texas St. (Sun Belt),12,7-5,938,"5,353",5.71,39,42,446.1
100,Nevada (Mountain West),13,7-6,991,"5,812",5.86,43,45,447.1
101,Massachusetts (MAC),12,3-9,934,"5,370",5.75,49,51,447.5
102,Texas A&M (SEC),13,8-5,992,"5,860",5.91,42,45,450.8
103,Arizona (Pac-12),14,10-4,"1,115","6,314",5.66,47,49,451
104,Southern Miss. (C-USA),12,3-9,845,"5,417",6.41,51,56,451.4
105,Middle Tenn. (C-USA),12,6-6,927,"5,427",5.85,45,48,452.3
106,Kansas (Big 12),12,3-9,865,"5,438",6.29,44,47,453.2
107,Troy (Sun Belt),12,3-9,854,"5,448",6.38,54,56,454
108,Fresno St. (Mountain West),14,6-8,"1,018","6,384",6.27,56,58,456
109,Illinois (Big Ten),13,6-7,987,"5,933",6.01,51,56,456.4
110,Fla. Atlantic (C-USA),12,3-9,887,"5,529",6.23,52,53,460.8
111,Colorado (Pac-12),12,2-10,845,"5,532",6.55,56,60,461
112,Idaho (Sun Belt),11,1-10,734,"5,090",6.93,50,54,462.7
113,New Mexico St. (Sun Belt),12,2-10,893,"5,813",6.51,56,61,484.4
114,Tulsa (AAC),12,2-10,841,"5,841",6.95,59,62,486.8
115,Bowling Green (MAC),14,8-6,"1,156","6,910",5.98,62,62,493.6
116,Georgia St. (Sun Belt),12,1-11,908,"5,965",6.57,64,67,497.1
117,North Carolina (ACC),13,6-7,991,"6,472",6.53,64,67,497.8
118,Eastern Mich. (MAC),12,2-10,887,"5,985",6.75,61,65,498.8
119,SMU (AAC),12,1-11,905,"5,993",6.62,59,63,499.4
120,Western Ky. (C-USA),13,8-5,996,"6,629",6.66,66,70,509.9
121,California (Pac-12),12,5-7,980,"6,141",6.27,61,63,511.8
122,Texas Tech (Big 12),12,4-8,986,"6,152",6.24,63,63,512.7
123,UNLV (Mountain West),13,2-11,"1,014","6,675",6.58,62,63,513.5
124,New Mexico (Mountain West),12,4-8,913,"6,228",6.82,58,58,519
125,Iowa St. (Big 12),12,2-10,972,"6,347",6.53,55,58,528.9
