Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
69,FIU (C-USA),13,6-7,898,"5,117",5.70,42,43,393.6
70,Tulsa (AAC),12,4-8,835,"4,737",5.67,43,48,394.8
71,South Fla. (AAC),12,4-8,887,"4,777",5.39,42,45,398.1
72,NC State (ACC),12,4-8,857,"4,787",5.59,45,46,398.9
73,Mississippi St. (SEC),13,6-7,824,"5,189",6.30,47,49,399.2
74,West Virginia (Big 12),12,5-7,874,"4,792",5.48,40,43,399.3
75,Nevada (Mountain West),13,7-6,857,"5,201",6.07,49,52,400.1
76,Ohio (MAC),13,7-6,882,"5,248",5.95,42,43,403.7
77,Illinois (Big Ten),13,6-7,949,"5,310",5.60,40,41,408.5
78,Southern California (Pac-12),13,8-5,928,"5,313",5.73,43,47,408.7
79,South Alabama (Sun Belt),12,2-10,850,"4,905",5.77,39,44,408.8
80,Liberty (FBS Independent),13,8-5,926,"5,319",5.74,45,46,409.2
81,North Texas (C-USA),12,4-8,860,"4,931",5.73,45,50,410.9
82,Oklahoma St. (Big 12),13,8-5,926,"5,360",5.79,41,43,412.3
83,Akron (MAC),12,0-12,871,"4,967",5.70,51,56,413.9
84,Wake Forest (ACC),13,8-5,936,"5,414",5.78,42,47,416.5
85,Ole Miss (SEC),12,4-8,859,"5,001",5.82,36,39,416.8
86,Texas St. (Sun Belt),12,3-9,875,"5,005",5.72,49,51,417.1
87,Western Mich. (MAC),13,7-6,932,"5,456",5.85,39,40,419.7
88,Fresno St. (Mountain West),12,4-8,879,"5,037",5.73,44,46,419.8
89,Georgia Tech (ACC),12,3-9,870,"5,075",5.83,45,49,422.9
90,Florida St. (ACC),13,6-7,"1,039","5,514",5.31,37,40,424.2
91,Ball St. (MAC),12,5-7,876,"5,096",5.82,45,47,424.7
92,UTSA (C-USA),12,4-8,790,"5,149",6.52,49,51,429.1
93,Stanford (Pac-12),12,4-8,819,"5,163",6.30,44,45,430.3
94,Eastern Mich. (MAC),13,6-7,922,"5,596",6.07,51,52,430.5
95,UTEP (C-USA),12,1-11,765,"5,170",6.76,52,54,430.8
96,Hawaii (Mountain West),15,10-5,"1,029","6,470",6.29,60,61,431.3
97,Texas (Big 12),13,8-5,918,"5,609",6.11,41,42,431.5
98,Rutgers (Big Ten),12,2-10,837,"5,203",6.22,54,59,433.6
99,Troy (Sun Belt),12,5-7,840,"5,210",6.20,50,53,434.2
100,Purdue (Big Ten),12,4-8,869,"5,235",6.02,45,46,436.3
101,Vanderbilt (SEC),12,3-9,798,"5,239",6.57,48,50,436.6
102,Louisville (ACC),13,8-5,904,"5,719",6.33,58,58,439.9
103,Utah St. (Mountain West),13,7-6,"1,016","5,727",5.64,49,53,440.5
104,Colorado (Pac-12),12,5-7,815,"5,303",6.51,49,50,441.9
105,UNLV (Mountain West),12,4-8,848,"5,308",6.26,44,49,442.3
106,San Jose St. (Mountain West),12,5-7,918,"5,325",5.80,46,49,443.8
107,SMU (AAC),13,10-3,"1,004","5,785",5.76,50,53,445
108,Oregon St. (Pac-12),12,5-7,884,"5,348",6.05,49,52,445.7
109,Maryland (Big Ten),12,3-9,906,"5,390",5.95,50,53,449.2
110,Arkansas (SEC),12,2-10,827,"5,408",6.54,54,57,450.7
111,Washington St. (Pac-12),13,6-7,886,"5,882",6.64,50,53,452.5
112,Georgia St. (Sun Belt),13,7-6,886,"5,922",6.68,60,62,455.5
113,UCLA (Pac-12),12,4-8,816,"5,475",6.71,53,55,456.3
114,Middle Tenn. (C-USA),12,4-8,888,"5,512",6.21,42,43,459.3
115,Syracuse (ACC),12,5-7,918,"5,569",6.07,47,47,464.1
116,UConn (AAC),12,2-10,800,"5,602",7.00,62,67,466.8
117,Bowling Green (MAC),12,3-9,798,"5,606",7.03,60,62,467.2
118,Houston (AAC),12,4-8,824,"5,610",6.81,53,54,467.5
119,East Carolina (AAC),12,4-8,864,"5,632",6.52,52,53,469.3
120,Arizona (Pac-12),12,4-8,889,"5,657",6.36,53,54,471.4
121,Kent St. (MAC),13,7-6,974,"6,155",6.32,52,52,473.5
122,Kansas (Big 12),12,3-9,927,"5,702",6.15,54,56,475.2
123,Toledo (MAC),12,6-6,862,"5,708",6.62,50,50,475.7
124,Arkansas St. (Sun Belt),13,8-5,"1,018","6,218",6.11,55,56,478.3
125,Boston College (ACC),13,6-7,983,"6,223",6.33,48,49,478.7
126,New Mexico St. (FBS Independent),12,2-10,875,"5,759",6.58,56,61,479.9
127,Texas Tech (Big 12),12,4-8,874,"5,764",6.59,45,46,480.3
128,ULM (Sun Belt),12,5-7,865,"5,802",6.71,56,61,483.5
129,New Mexico (Mountain West),12,2-10,868,"5,828",6.71,56,59,485.7
130,Massachusetts (FBS Independent),12,1-11,867,"6,734",7.77,82,86,561.2
