Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Ohio St. (Big Ten),14,13-1,881,"3,636",4.13,23,23,259.7
2,Utah (Pac-12),14,11-3,813,"3,769",4.64,25,25,269.2
3,Georgia (SEC),14,12-2,900,"3,860",4.29,18,20,275.7
4,Wisconsin (Big Ten),14,10-4,839,"4,020",4.79,29,30,287.1
5,San Diego St. (Mountain West),13,10-3,804,"3,741",4.65,18,19,287.8
6,Clemson (ACC),15,14-1,970,"4,325",4.46,24,24,288.3
7,Buffalo (MAC),13,8-5,780,"3,795",4.87,33,35,291.9
8,UAB (C-USA),14,9-5,897,"4,226",4.71,35,38,301.9
9,Florida (SEC),13,11-2,809,"3,963",4.90,23,23,304.8
10,Minnesota (Big Ten),13,11-2,787,"3,986",5.06,32,37,306.6
11,Michigan (Big Ten),13,9-4,846,"3,994",4.72,36,37,307.2
12,Iowa (Big Ten),13,10-3,835,"4,007",4.80,20,21,308.2
13,Miami (FL) (ACC),13,6-7,849,"4,028",4.74,29,30,309.8
14,Missouri (SEC),12,6-6,771,"3,744",4.86,27,28,312
15,Pittsburgh (ACC),13,8-5,905,"4,068",4.50,31,33,312.9
16,Navy (AAC),13,11-2,777,"4,084",5.26,32,36,314.2
17,Air Force (Mountain West),13,11-2,752,"4,155",5.53,32,34,319.6
18,Michigan St. (Big Ten),13,7-6,843,"4,181",4.96,35,37,321.6
18,Notre Dame (FBS Independent),13,11-2,894,"4,181",4.68,25,26,321.6
20,Alabama (SEC),13,11-2,877,"4,217",4.81,24,26,324.4
21,Kentucky (SEC),13,8-5,796,"4,220",5.30,30,32,324.6
22,Oregon (Pac-12),14,12-2,973,"4,607",4.73,23,24,329.1
23,Tennessee (SEC),13,8-5,868,"4,348",5.01,31,34,334.5
24,Western Ky. (C-USA),13,9-4,835,"4,361",5.22,28,32,335.5
25,Northwestern (Big Ten),12,3-9,796,"4,028",5.06,31,34,335.7
26,App State (Sun Belt),14,13-1,940,"4,705",5.01,34,35,336.1
27,TCU (Big 12),12,5-7,769,"4,043",5.26,38,39,336.9
28,Auburn (SEC),13,9-4,905,"4,381",4.84,31,32,337
29,Texas A&M (SEC),13,8-5,842,"4,423",5.25,32,35,340.2
30,Army West Point (FBS Independent),13,5-8,789,"4,450",5.64,37,38,342.3
31,LSU (SEC),15,15-0,"1,008","5,153",5.11,39,42,343.5
32,UCF (AAC),13,10-3,985,"4,499",4.57,31,36,346.1
33,Boise St. (Mountain West),14,12-2,928,"4,848",5.22,39,39,346.3
34,Penn St. (Big Ten),13,11-2,935,"4,504",4.82,23,23,346.5
35,Washington (Pac-12),13,8-5,887,"4,532",5.11,28,30,348.6
36,Indiana (Big Ten),13,8-5,853,"4,579",5.37,37,39,352.2
37,Southern Miss. (C-USA),13,7-6,803,"4,583",5.71,41,44,352.5
38,Oklahoma (Big 12),14,12-2,886,"4,990",5.63,47,48,356.4
39,Baylor (Big 12),14,11-3,"1,032","5,046",4.89,31,32,360.4
40,Cincinnati (AAC),14,11-3,987,"5,060",5.13,32,34,361.4
41,Central Mich. (MAC),14,8-6,938,"5,082",5.42,45,49,363
42,Virginia Tech (ACC),13,8-5,898,"4,723",5.26,39,41,363.3
43,Wyoming (Mountain West),13,8-5,941,"4,729",5.03,25,25,363.8
44,Kansas St. (Big 12),13,8-5,776,"4,789",6.17,31,31,368.4
45,Iowa St. (Big 12),13,7-6,896,"4,801",5.36,35,39,369.3
46,Old Dominion (C-USA),12,1-11,787,"4,453",5.66,42,45,371.1
47,Louisiana (Sun Belt),14,11-3,955,"5,205",5.45,32,33,371.8
48,Virginia (ACC),14,9-5,906,"5,206",5.75,46,48,371.9
49,North Carolina (ACC),13,7-6,893,"4,851",5.43,37,38,373.2
50,Fla. Atlantic (C-USA),14,11-3,979,"5,239",5.35,40,41,374.2
51,Tulane (AAC),13,7-6,892,"4,901",5.49,41,43,377
52,Colorado St. (Mountain West),12,4-8,811,"4,529",5.58,42,47,377.4
53,Louisiana Tech (C-USA),13,10-3,941,"4,910",5.22,33,35,377.7
54,Temple (AAC),13,8-5,996,"4,912",4.93,40,43,377.8
55,Ga. Southern (Sun Belt),13,7-6,871,"4,929",5.66,46,47,379.2
56,Duke (ACC),12,5-7,852,"4,555",5.35,40,43,379.6
57,Marshall (C-USA),13,8-5,891,"4,935",5.54,39,41,379.6
58,Rice (C-USA),12,3-9,764,"4,563",5.97,37,40,380.3
59,Charlotte (C-USA),13,7-6,824,"4,952",6.01,50,56,380.9
60,Miami (OH) (MAC),14,8-6,"1,014","5,347",5.27,50,52,381.9
61,Memphis (AAC),14,12-2,999,"5,369",5.37,42,45,383.5
62,Coastal Carolina (Sun Belt),12,5-7,761,"4,603",6.05,48,50,383.6
63,NIU (MAC),12,5-7,763,"4,638",6.08,43,43,386.5
64,Nebraska (Big Ten),12,5-7,832,"4,666",5.61,39,41,388.8
65,California (Pac-12),13,8-5,945,"5,076",5.37,32,32,390.5
66,South Carolina (SEC),12,4-8,854,"4,719",5.53,32,37,393.3
67,Arizona St. (Pac-12),13,8-5,928,"5,113",5.51,39,39,393.3
68,BYU (FBS Independent),13,7-6,914,"5,116",5.60,36,40,393.5
