Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Wisconsin (Big Ten),13,9-4,746,"3,108",4.17,19,25,239.1
2,Georgia (SEC),15,14-1,970,"4,034",4.16,13,16,268.9
3,Minnesota (Big Ten),13,9-4,745,"3,624",4.86,26,28,278.8
4,Air Force (Mountain West),13,10-3,737,"3,855",5.23,33,34,296.5
5,Oklahoma St. (Big 12),14,12-2,908,"4,170",4.59,26,30,297.9
6,Houston (AAC),14,12-2,856,"4,217",4.93,31,36,301.2
7,Alabama (SEC),15,13-2,956,"4,561",4.77,34,36,304.1
8,Clemson (ACC),13,10-3,895,"4,033",4.51,19,22,310.2
9,Iowa St. (Big 12),13,7-6,798,"4,039",5.06,30,34,310.7
10,Cincinnati (AAC),14,13-1,996,"4,457",4.47,27,28,318.4
11,Liberty (FBS Independent),13,8-5,874,"4,163",4.76,33,35,320.2
12,San Diego St. (Mountain West),14,12-2,960,"4,541",4.73,32,34,324.4
13,Arizona St. (Pac-12),13,8-5,853,"4,238",4.97,31,31,326
14,Texas A&M (SEC),12,8-4,844,"3,930",4.66,19,21,327.5
15,Army West Point (FBS Independent),13,9-4,739,"4,269",5.78,34,37,328.4
16,UAB (C-USA),13,9-4,851,"4,274",5.02,40,41,328.8
17,Iowa (Big Ten),14,10-4,976,"4,604",4.72,31,31,328.9
18,Western Mich. (MAC),13,8-5,741,"4,283",5.78,40,46,329.5
19,Syracuse (ACC),12,5-7,776,"3,964",5.11,34,37,330.3
20,Michigan (Big Ten),14,12-2,939,"4,631",4.93,28,28,330.8
21,NC State (ACC),12,9-3,804,"3,979",4.95,28,29,331.6
22,Louisiana (Sun Belt),14,13-1,949,"4,684",4.94,33,33,334.6
23,Washington (Pac-12),12,4-8,806,"4,043",5.02,27,30,336.9
24,Troy (Sun Belt),12,5-7,799,"4,055",5.08,34,38,337.9
25,Coastal Carolina (Sun Belt),13,11-2,836,"4,412",5.28,36,36,339.4
26,Kentucky (SEC),13,10-3,804,"4,421",5.50,32,34,340.1
27,Utah (Pac-12),14,10-4,912,"4,783",5.24,33,38,341.6
28,Boston College (ACC),12,6-6,760,"4,131",5.44,29,32,344.2
29,Kansas St. (Big 12),13,8-5,835,"4,481",5.37,29,31,344.7
30,Mississippi St. (SEC),13,7-6,807,"4,482",5.55,36,41,344.8
31,Baylor (Big 12),14,12-2,940,"4,843",5.15,29,29,345.9
