Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
32,Fresno St. (Mountain West),13,10-3,858,"4,512",5.26,32,32,347.1
33,App State (Sun Belt),14,10-4,923,"4,868",5.27,36,37,347.7
34,Navy (AAC),12,4-8,699,"4,183",5.98,40,43,348.6
35,UTEP (C-USA),13,7-6,868,"4,542",5.23,38,40,349.4
36,Toledo (MAC),13,7-6,933,"4,546",4.87,28,29,349.7
37,West Virginia (Big 12),13,6-7,820,"4,551",5.55,32,36,350.1
38,Penn St. (Big Ten),13,7-6,965,"4,583",4.75,23,24,352.5
39,Pittsburgh (ACC),14,11-3,977,"4,950",5.07,41,43,353.6
40,South Alabama (Sun Belt),12,5-7,787,"4,256",5.41,34,40,354.7
41,South Carolina (SEC),13,7-6,821,"4,625",5.63,34,36,355.8
42,Southern Miss. (C-USA),12,3-9,742,"4,302",5.80,31,42,358.5
43,Notre Dame (FBS Independent),13,11-2,888,"4,674",5.26,26,28,359.5
44,New Mexico (Mountain West),12,3-9,815,"4,357",5.35,36,39,363.1
45,Boise St. (Mountain West),12,7-5,801,"4,373",5.46,26,26,364.4
46,Illinois (Big Ten),12,5-7,841,"4,387",5.22,28,30,365.6
47,Nebraska (Big Ten),12,3-9,828,"4,392",5.30,26,31,366
48,Purdue (Big Ten),13,9-4,857,"4,766",5.56,36,36,366.6
49,California (Pac-12),12,5-7,829,"4,400",5.31,33,33,366.7
50,Arkansas (SEC),13,9-4,884,"4,780",5.41,33,35,367.7
51,Florida (SEC),13,6-7,873,"4,782",5.48,38,43,367.8
52,Miami (OH) (MAC),13,7-6,866,"4,794",5.54,39,39,368.8
53,UCF (AAC),13,9-4,945,"4,801",5.08,36,40,369.3
54,San Jose St. (Mountain West),12,5-7,868,"4,440",5.12,32,36,370
55,Wyoming (Mountain West),13,7-6,892,"4,815",5.40,38,38,370.4
56,Tulsa (AAC),13,7-6,885,"4,821",5.45,34,42,370.8
57,Arizona (Pac-12),12,1-11,756,"4,452",5.89,42,48,371
58,UTSA (C-USA),14,12-2,924,"5,218",5.65,42,44,372.7
59,Middle Tenn. (C-USA),13,7-6,940,"4,848",5.16,40,42,372.9
59,Ohio St. (Big Ten),13,11-2,909,"4,848",5.33,38,39,372.9
61,Auburn (SEC),13,6-7,919,"4,860",5.29,31,32,373.8
62,Bowling Green (MAC),12,4-8,848,"4,487",5.29,45,47,373.9
63,Washington St. (Pac-12),13,7-6,889,"4,905",5.52,36,38,377.3
64,Colorado St. (Mountain West),12,3-9,829,"4,528",5.46,41,43,377.3
65,LSU (SEC),13,6-7,891,"4,908",5.51,45,46,377.5
66,Florida St. (ACC),12,5-7,875,"4,533",5.18,40,41,377.8
67,Central Mich. (MAC),13,9-4,889,"4,963",5.58,40,42,381.8
68,North Texas (C-USA),13,6-7,875,"4,977",5.69,43,46,382.8
69,Old Dominion (C-USA),13,6-7,940,"4,994",5.31,40,44,384.2
70,UCLA (Pac-12),12,8-4,842,"4,613",5.48,39,39,384.4
71,Indiana (Big Ten),12,2-10,818,"4,615",5.64,47,51,384.6
72,Oregon (Pac-12),14,10-4,989,"5,398",5.46,46,48,385.6
73,Oregon St. (Pac-12),13,7-6,883,"5,036",5.70,41,41,387.4
74,BYU (FBS Independent),13,10-3,881,"5,047",5.73,38,38,388.2
75,Miami (FL) (ACC),12,7-5,865,"4,675",5.40,37,40,389.6
76,Oklahoma (Big 12),13,11-2,887,"5,080",5.73,41,43,390.8
77,Utah St. (Mountain West),14,11-3,947,"5,498",5.81,36,39,392.7
78,Virginia Tech (ACC),13,6-7,872,"5,113",5.86,40,42,393.3
79,Marshall (C-USA),13,7-6,"1,004","5,122",5.10,36,39,394
80,East Carolina (AAC),12,7-5,790,"4,737",6.00,37,41,394.8
81,Rutgers (Big Ten),13,5-8,865,"5,154",5.96,41,43,396.5
82,Temple (AAC),12,3-9,860,"4,780",5.56,58,59,398.3
83,Georgia St. (Sun Belt),13,8-5,962,"5,241",5.45,40,43,403.2
84,Louisville (ACC),13,6-7,903,"5,243",5.81,43,43,403.3
85,Maryland (Big Ten),13,7-6,910,"5,256",5.78,46,50,404.3
86,Texas Tech (Big 12),13,7-6,898,"5,265",5.86,47,50,405
87,Nevada (Mountain West),13,8-5,952,"5,285",5.55,42,43,406.5
88,UNLV (Mountain West),12,2-10,799,"4,901",6.13,45,49,408.4
89,Southern California (Pac-12),12,4-8,767,"4,907",6.40,48,52,408.9
90,Fla. Atlantic (C-USA),12,5-7,842,"4,910",5.83,36,39,409.2
91,Wake Forest (ACC),14,11-3,988,"5,786",5.86,49,51,413.3
92,SMU (AAC),12,8-4,841,"4,978",5.92,42,44,414.8
93,Buffalo (MAC),12,4-8,788,"4,986",6.33,47,47,415.5
94,North Carolina (ACC),13,6-7,889,"5,434",6.11,50,52,418
95,Memphis (AAC),12,6-6,926,"5,018",5.42,44,44,418.2
96,Ball St. (MAC),13,6-7,925,"5,452",5.89,39,44,419.4
97,Ole Miss (SEC),13,10-3,992,"5,468",5.51,39,40,420.6
98,Colorado (Pac-12),12,4-8,834,"5,051",6.06,39,40,420.9
99,Tennessee (SEC),13,7-6,"1,010","5,482",5.43,47,48,421.7
100,Texas (Big 12),12,5-7,847,"5,107",6.03,42,44,425.6
101,Northwestern (Big Ten),12,3-9,839,"5,154",6.14,42,43,429.5
102,Tulane (AAC),12,2-10,888,"5,156",5.81,53,53,429.7
103,Texas St. (Sun Belt),12,4-8,891,"5,165",5.80,47,50,430.4
104,Ohio (MAC),12,3-9,865,"5,170",5.98,42,42,430.8
105,Missouri (SEC),13,6-7,886,"5,644",6.37,57,57,434.2
106,Louisiana Tech (C-USA),12,3-9,854,"5,212",6.10,50,53,434.3
107,Eastern Mich. (MAC),13,7-6,901,"5,661",6.28,46,50,435.5
108,Rice (C-USA),12,4-8,782,"5,226",6.68,53,57,435.5
109,Western Ky. (C-USA),14,9-5,"1,083","6,101",5.63,51,53,435.8
110,Ga. Southern (Sun Belt),12,3-9,823,"5,302",6.44,45,48,441.8
111,Michigan St. (Big Ten),13,11-2,"1,025","5,745",5.60,37,39,441.9
112,ULM (Sun Belt),12,4-8,869,"5,314",6.12,51,53,442.8
113,Hawaii (Mountain West),13,6-7,"1,008","5,802",5.76,48,51,446.3
114,Stanford (Pac-12),12,3-9,835,"5,415",6.49,48,50,451.2
115,NIU (MAC),14,9-5,925,"6,334",6.85,60,61,452.4
116,UConn (FBS Independent),12,1-11,916,"5,439",5.94,57,59,453.2
117,Georgia Tech (ACC),12,3-9,826,"5,463",6.61,47,50,455.2
118,Vanderbilt (SEC),12,2-10,812,"5,492",6.76,51,54,457.7
119,TCU (Big 12),12,5-7,768,"5,541",7.21,54,55,461.8
120,Charlotte (C-USA),12,5-7,781,"5,580",7.14,54,55,465
121,Virginia (ACC),12,6-6,844,"5,592",6.63,47,48,466
122,Akron (MAC),12,2-10,783,"5,628",7.19,58,62,469
123,South Fla. (AAC),12,2-10,809,"5,647",6.98,54,55,470.6
124,Kent St. (MAC),14,7-7,"1,066","6,601",6.19,63,65,471.5
125,Massachusetts (FBS Independent),12,1-11,794,"5,820",7.33,67,70,485
126,Kansas (Big 12),12,2-10,810,"5,841",7.21,67,68,486.8
127,New Mexico St. (FBS Independent),12,2-10,797,"5,862",7.36,58,64,488.5
128,FIU (C-USA),12,1-11,882,"5,896",6.68,58,62,491.3
129,Arkansas St. (Sun Belt),12,2-10,840,"6,069",7.22,58,62,505.8
130,Duke (ACC),12,3-9,873,"6,215",7.12,58,60,517.9
