Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Mississippi St. (SEC),13,8-5,829,"3,420",4.13,15,15,263.1
2,Michigan (Big Ten),13,10-3,781,"3,577",4.58,29,32,275.2
3,Southern Miss. (C-USA),11,6-5,672,"3,062",4.56,23,27,278.4
4,Miami (FL) (ACC),13,7-6,843,"3,626",4.30,26,28,278.9
5,Clemson (ACC),15,15-0,"1,023","4,288",4.19,21,23,285.9
6,App State (Sun Belt),13,11-2,845,"3,744",4.43,20,21,288
7,Iowa (Big Ten),13,9-4,837,"3,817",4.56,28,28,293.6
8,Army West Point (FBS Independent),13,11-2,688,"3,842",5.58,29,30,295.5
9,UAB (C-USA),14,11-3,875,"4,189",4.79,27,28,299.2
10,Michigan St. (Big Ten),13,7-6,869,"3,941",4.54,22,24,303.2
11,Cincinnati (AAC),13,11-2,840,"3,946",4.70,28,28,303.5
12,Washington (Pac-12),14,10-4,918,"4,287",4.67,25,26,306.2
13,Georgia (SEC),14,11-3,890,"4,400",4.94,31,32,314.3
14,Utah (Pac-12),14,9-5,956,"4,418",4.62,32,35,315.6
15,California (Pac-12),13,7-6,898,"4,123",4.59,26,32,317.2
16,Alabama (SEC),15,14-1,981,"4,793",4.89,33,35,319.5
17,Fresno St. (Mountain West),14,12-2,954,"4,503",4.72,23,23,321.6
18,BYU (FBS Independent),13,7-6,891,"4,213",4.73,35,37,324.1
19,Wyoming (Mountain West),12,6-6,818,"3,914",4.78,32,33,326.2
20,Virginia (ACC),13,8-5,815,"4,297",5.27,27,30,330.5
21,San Diego St. (Mountain West),13,7-6,854,"4,350",5.09,34,35,334.6
22,Charlotte (C-USA),12,5-7,700,"4,048",5.78,37,42,337.3
23,Kentucky (SEC),13,10-3,838,"4,393",5.24,26,27,337.9
24,TCU (Big 12),13,7-6,906,"4,397",4.85,36,38,338.2
25,LSU (SEC),13,10-3,915,"4,403",4.81,33,35,338.7
25,Marshall (C-USA),13,9-4,913,"4,403",4.82,31,33,338.7
27,Louisiana Tech (C-USA),13,8-5,880,"4,437",5.04,39,39,341.3
28,Florida (SEC),13,10-3,872,"4,463",5.12,29,30,343.3
29,Wisconsin (Big Ten),13,8-5,814,"4,474",5.50,31,33,344.2
30,Notre Dame (FBS Independent),13,12-1,957,"4,516",4.72,26,28,347.4
31,Troy (Sun Belt),13,10-3,896,"4,523",5.05,35,38,347.9
32,Texas A&M (SEC),13,9-4,785,"4,529",5.77,40,43,348.4
33,Iowa St. (Big 12),13,8-5,898,"4,539",5.05,33,37,349.2
34,Penn St. (Big Ten),13,9-4,965,"4,556",4.72,30,34,350.5
35,Eastern Mich. (MAC),13,7-6,922,"4,599",4.99,31,34,353.8
36,Central Mich. (MAC),12,1-11,860,"4,264",4.96,39,42,355.3
37,Buffalo (MAC),14,10-4,949,"4,975",5.24,46,48,355.4
38,Auburn (SEC),13,8-5,897,"4,620",5.15,25,26,355.4
39,Boise St. (Mountain West),13,10-3,820,"4,627",5.64,33,35,355.9
40,NIU (MAC),14,8-6,"1,046","4,998",4.78,33,35,357
41,Ga. Southern (Sun Belt),13,10-3,851,"4,642",5.45,35,35,357.1
42,Washington St. (Pac-12),13,11-2,838,"4,674",5.58,38,38,359.5
43,Air Force (Mountain West),12,5-7,732,"4,331",5.92,40,42,360.9
44,Miami (OH) (MAC),12,6-6,843,"4,418",5.24,40,42,368.2
45,Arkansas St. (Sun Belt),13,8-5,862,"4,804",5.57,44,45,369.5
46,Georgia Tech (ACC),13,7-6,805,"4,805",5.97,46,50,369.6
47,Temple (AAC),13,8-5,"1,036","4,843",4.67,45,47,372.5
48,North Texas (C-USA),13,9-4,915,"4,870",5.32,38,38,374.6
49,Tennessee (SEC),12,5-7,799,"4,529",5.67,41,42,377.4
50,Middle Tenn. (C-USA),14,8-6,965,"5,290",5.48,44,47,377.9
51,Utah St. (Mountain West),13,11-2,986,"4,933",5.00,30,33,379.5
52,Colorado (Pac-12),12,5-7,871,"4,563",5.24,35,39,380.3
53,Texas St. (Sun Belt),12,3-9,869,"4,607",5.30,34,39,383.9
54,Minnesota (Big Ten),13,7-6,845,"5,015",5.93,41,42,385.8
55,Oregon (Pac-12),13,9-4,956,"5,017",5.25,37,38,385.9
56,FIU (C-USA),13,9-4,887,"5,022",5.66,39,42,386.3
57,Western Mich. (MAC),13,7-6,813,"5,026",6.18,57,60,386.6
58,Nevada (Mountain West),13,8-5,959,"5,038",5.25,42,46,387.5
59,Pittsburgh (ACC),14,7-7,929,"5,426",5.84,48,50,387.6
60,Southern California (Pac-12),12,5-7,868,"4,656",5.36,40,42,388
61,Akron (MAC),12,4-8,898,"4,657",5.19,37,41,388.1
62,Missouri (SEC),13,8-5,889,"5,050",5.68,35,39,388.5
63,Maryland (Big Ten),12,5-7,843,"4,685",5.56,39,42,390.4
64,Northwestern (Big Ten),14,9-5,983,"5,472",5.57,35,38,390.9
65,Ohio (MAC),13,9-4,834,"5,082",6.09,41,42,390.9
66,NC State (ACC),13,9-4,859,"5,104",5.94,36,39,392.6
67,Texas (Big 12),14,10-4,982,"5,499",5.60,44,44,392.8
68,UTEP (C-USA),12,1-11,797,"4,736",5.94,43,49,394.7
69,Rutgers (Big Ten),12,1-11,845,"4,818",5.70,46,49,401.5
70,Boston College (ACC),12,7-5,935,"4,834",5.17,36,41,402.8
71,Kansas St. (Big 12),12,5-7,814,"4,841",5.95,34,37,403.4
72,Ohio St. (Big Ten),14,13-1,979,"5,648",5.77,44,46,403.4
73,Arizona St. (Pac-12),13,7-6,921,"5,257",5.71,37,40,404.4
74,West Virginia (Big 12),12,8-4,839,"4,876",5.81,39,41,406.3
75,Tulane (AAC),13,7-6,951,"5,288",5.56,45,46,406.8
76,Tulsa (AAC),12,3-9,869,"4,892",5.63,37,43,407.7
77,Duke (ACC),13,8-5,964,"5,314",5.51,44,48,408.8
78,Stanford (Pac-12),13,9-4,942,"5,331",5.66,31,33,410.1
